time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2696,2695.813,17.547263,24.444927,40.206335,59.146239,1317,1514,0.465207
2.000,6.668,5432,2715.646,16.859135,25.460735,44.531711,59.604991,2603,2861,0.476391
3.000,10.001,8279,2759.280,16.162815,25.083903,45.154303,59.604991,4092,4321,0.486390
4.001,13.335,10855,2713.406,15.802367,25.657343,50.102271,254.935039,5269,5618,0.483972
5.001,16.669,13369,2673.497,16.646143,25.509887,46.825471,254.935039,6353,7076,0.473081
6.001,20.002,15558,2592.677,17.301503,25.575423,44.400639,254.935039,7100,8515,0.454691
7.001,23.336,17679,2525.267,17.661951,25.477119,41.549823,254.935039,7688,10037,0.433738
8.001,26.670,19677,2459.354,17.940479,25.493503,40.370175,254.935039,8199,11518,0.415834
9.001,30.003,22705,2522.514,17.727487,25.165823,38.567935,254.935039,9692,13072,0.425760
10.001,33.337,25627,2562.444,17.580031,25.034751,38.993919,254.935039,11178,14541,0.434620
11.001,36.670,28706,2609.385,17.350655,24.903679,37.781503,254.935039,12709,16083,0.441407
12.001,40.004,31738,2644.568,17.235967,24.805375,36.634623,254.935039,14274,17541,0.448656
13.001,43.338,34315,2639.357,17.203199,25.214975,36.372479,254.935039,15555,18823,0.452470
14.001,46.671,36968,2640.313,17.186815,25.427967,35.749887,254.935039,16837,20180,0.454845
15.001,50.005,39644,2642.681,17.154047,25.559039,35.487743,254.935039,18169,21536,0.457600
16.002,53.338,42732,2670.499,16.990207,25.411583,35.061759,254.935039,19698,23097,0.460287
17.002,56.672,45854,2697.046,16.752639,25.313279,34.766847,254.935039,21255,24664,0.462880
18.002,60.005,48467,2692.368,16.760831,25.444351,34.865151,254.935039,22545,25992,0.464491
19.002,63.339,51389,2704.444,16.728063,25.362431,34.537471,254.935039,23997,27468,0.466278
20.002,66.673,53961,2697.813,16.695295,25.559039,34.766847,254.935039,25296,28738,0.468150
21.002,70.006,56526,2691.481,16.637951,25.722879,35.356671,254.935039,26585,30011,0.469733
22.002,73.340,59210,2691.133,16.547839,25.821183,36.143103,254.935039,27966,31322,0.471697
23.002,76.673,62026,2696.557,16.449535,25.788415,36.405247,254.935039,29393,32725,0.473180
24.002,80.007,65152,2714.442,16.343039,25.690111,36.110335,254.935039,30946,34279,0.474450
25.002,83.340,68353,2733.896,16.211967,25.575423,35.913727,254.935039,32546,35856,0.475805
26.002,86.674,71639,2755.123,16.080895,25.460735,35.586047,254.935039,34218,37485,0.477219
27.002,90.007,74599,2762.704,16.031743,25.395199,35.913727,254.935039,35688,38962,0.478071
28.002,93.341,77639,2772.600,16.015359,25.329663,35.618815,254.935039,37188,40507,0.478641
29.002,96.674,80591,2778.780,16.023551,25.247743,35.454975,254.935039,38658,42010,0.479223
30.002,100.000,83533,2784.214,15.990783,25.231359,35.323903,254.935039,40159,43447,0.480336
