time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.002,3.341,579208,577803.995,0.001023,0.015871,0.297983,40.796159,591713,1105,0.998136
2.009,6.697,2031526,1011092.371,0.001023,0.015871,0.292351,40.796159,2035929,1105,0.999458
3.012,10.039,3437878,1141477.721,0.001023,0.015359,0.277503,40.796159,3440329,1105,0.999679
4.013,13.377,4858265,1210597.068,0.001023,0.015871,0.280063,40.796159,4859300,1105,0.999773
5.014,16.714,6279738,1252418.367,0.001023,0.015871,0.282111,40.796159,6280557,1105,0.999824
6.015,20.048,7649531,1271844.689,0.001023,0.016383,0.282623,40.796159,7654276,1105,0.999856
7.016,23.388,9028681,1286797.311,0.001023,0.016383,0.280063,40.796159,9033419,1105,0.999878
8.017,26.724,10403538,1297659.947,0.001023,0.016383,0.280063,40.796159,10406014,1105,0.999894
9.017,30.058,11805241,1309181.639,0.001023,0.016383,0.280063,40.796159,11814048,1105,0.999906
10.018,33.393,13166342,1314278.369,0.001023,0.016383,0.278015,40.796159,13168212,1105,0.999916
11.020,36.733,14530389,1318571.000,0.001023,0.016383,0.276991,40.796159,14532388,1105,0.999924
12.020,40.066,15918556,1324354.024,0.001023,0.016383,0.278015,40.796159,15922100,1105,0.999931
13.020,43.400,17276977,1326962.094,0.001023,0.016383,0.277503,40.796159,17278056,1105,0.999936
14.020,46.733,18649690,1330219.622,0.001023,0.016383,0.278015,40.796159,18650498,1105,0.999941
15.020,50.067,20064625,1335846.422,0.001023,0.016383,0.279039,40.796159,20073547,1105,0.999945
16.020,53.401,21442830,1338481.413,0.001023,0.016383,0.279551,40.796159,21448554,1105,0.999948
17.020,56.734,22793470,1339190.837,0.001023,0.016383,0.279039,40.796159,22795696,1105,0.999952
18.021,60.069,24143307,1339763.496,0.001023,0.016383,0.278527,40.796159,24145023,1105,0.999954
19.021,63.402,25486267,1339919.467,0.001023,0.016383,0.279039,40.796159,25491088,1105,0.999957
20.021,66.737,26852014,1341189.729,0.001023,0.016383,0.279039,40.796159,26859560,1105,0.999959
21.021,70.071,28188988,1340964.045,0.001023,0.016383,0.278015,40.796159,28191357,1105,0.999961
22.022,73.405,29508931,1340002.648,0.001023,0.016383,0.278015,40.796159,29511572,1105,0.999963
23.022,76.741,30850975,1340050.637,0.001023,0.016383,0.277503,40.796159,30850591,1105,0.999964
24.023,80.075,32224048,1341406.622,0.001023,0.016383,0.278015,40.796159,32226093,1105,0.999966
25.023,83.409,33569330,1341557.428,0.001023,0.016383,0.278015,40.796159,33571153,1105,0.999967
26.023,86.743,34907965,1341428.547,0.001023,0.016383,0.277503,40.796159,34909514,1105,0.999968
27.023,90.077,36278621,1342499.376,0.001023,0.016383,0.278015,40.796159,36280094,1105,0.999970
28.023,93.411,37650953,1343561.967,0.001023,0.016383,0.278527,40.796159,37651439,1105,0.999971
29.024,96.746,39006217,1343943.594,0.001023,0.016383,0.279039,40.796159,39007986,1105,0.999972
30.024,100.000,40347499,1343841.272,0.001023,0.016383,0.279039,40.796159,40353759,1105,0.999973
