time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3481,3480.764,28.573695,38.961151,55.246847,74.121215,1756,1891,0.481492
2.000,6.667,7414,3706.771,26.279935,37.978111,49.283071,74.121215,3651,3829,0.488102
3.000,10.001,11027,3675.440,26.771455,38.010879,46.399487,74.121215,5424,5667,0.489045
4.000,13.334,14364,3590.779,27.967487,37.683199,45.252607,74.121215,6884,7573,0.476171
5.000,16.668,17283,3456.388,28.639231,38.535167,46.399487,74.121215,8095,9333,0.464482
6.000,20.001,21202,3533.452,28.213247,38.240255,45.907967,74.121215,10276,11237,0.477665
7.000,23.335,32423,4631.559,0.001023,37.027839,45.481983,74.121215,19772,13112,0.601265
8.001,26.668,49205,6150.234,0.000511,35.487743,44.171263,74.121215,34664,15064,0.697072
9.001,30.002,67410,7489.495,0.000511,34.570239,43.286527,74.121215,51169,16955,0.751116
10.001,33.336,86027,8602.086,0.000511,33.914879,42.631167,74.121215,67802,18845,0.782508
11.001,36.669,105222,9564.964,0.000511,33.308671,42.008575,74.121215,85078,20770,0.803775
12.001,40.003,124168,10346.593,0.000511,32.882687,41.713663,74.121215,102231,22651,0.818621
13.001,43.336,142386,10951.973,0.000511,32.571391,41.713663,74.121215,118723,24490,0.828996
14.001,46.670,160853,11488.662,0.000511,32.309247,41.451519,74.121215,134980,26376,0.836535
15.001,50.004,178626,11907.541,0.000511,32.161791,41.484287,74.121215,151174,28218,0.842702
16.001,53.337,195917,12243.857,0.000511,32.079871,41.549823,74.121215,166509,29979,0.847426
17.001,56.671,214668,12626.558,0.000511,31.916031,41.451519,74.121215,183482,31812,0.852239
18.001,60.005,233135,12950.943,0.000511,31.735807,41.320447,74.121215,200084,33673,0.855949
19.001,63.338,251107,13215.148,0.000511,31.621119,41.254911,74.121215,216138,35527,0.858832
20.002,66.672,269009,13449.433,0.000511,31.490047,41.254911,74.121215,232177,37360,0.861392
21.002,70.005,287749,13701.306,0.000511,31.342591,41.091071,74.121215,249228,39295,0.863806
22.002,73.339,306613,13935.876,0.000511,31.178751,40.959999,74.121215,266047,41215,0.865864
23.002,76.673,324898,14124.916,0.000511,31.031295,40.992767,74.121215,282616,43086,0.867713
24.002,80.006,343604,14315.734,0.000511,30.916607,40.861695,74.121215,299247,45022,0.869224
25.002,83.340,362427,14495.978,0.000511,30.834687,40.796159,74.121215,316225,46904,0.870834
26.002,86.673,380004,14614.436,0.000511,30.785535,40.828927,74.121215,331853,48706,0.872015
27.002,90.007,398275,14749.821,0.000511,30.736383,40.763391,74.121215,348312,50561,0.873240
28.002,93.340,416815,14885.107,0.000511,30.654463,40.697855,74.121215,364931,52471,0.874291
29.002,96.674,434633,14986.208,0.000511,30.605311,40.763391,74.121215,381066,54253,0.875372
30.002,100.000,453225,15106.343,0.000511,30.556159,40.697855,74.121215,397675,56103,0.876365
