time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.002,3.339,620313,619332.219,0.001535,0.023039,0.569343,61.210623,626483,1099,0.998249
2.002,6.672,1871495,934986.906,0.001535,0.025599,0.548351,61.210623,1873105,1099,0.999414
3.002,10.007,3089799,1029234.957,0.001535,0.024575,0.546815,61.210623,3093975,1099,0.999645
4.002,13.341,4362463,1090018.388,0.001535,0.024575,0.543743,61.210623,4364560,1099,0.999748
5.003,16.676,5661306,1131608.315,0.001535,0.024575,0.542719,61.210623,5662664,1099,0.999806
6.004,20.013,6845325,1140134.369,0.001535,0.023551,0.538623,61.210623,6856415,1099,0.999840
7.005,23.350,8119248,1159068.982,0.001535,0.021503,0.540159,61.210623,8126690,1099,0.999865
8.005,26.683,9384588,1172335.485,0.001535,0.019455,0.545279,61.210623,9405724,1099,0.999883
9.005,30.017,10648297,1182474.404,0.001023,0.017919,0.536575,61.210623,10655569,1099,0.999897
10.005,33.351,11863030,1185691.491,0.001023,0.017407,0.530431,61.210623,11865393,1099,0.999907
11.005,36.684,13060090,1186718.089,0.001023,0.016895,0.527871,61.210623,13067683,1099,0.999916
12.005,40.018,14347380,1195089.178,0.001023,0.016383,0.521215,61.210623,14355295,1099,0.999923
13.005,43.351,15606894,1200031.993,0.001023,0.016383,0.524799,61.210623,15610452,1099,0.999930
14.006,46.687,16857042,1203562.081,0.001023,0.016895,0.527359,61.210623,16857743,1099,0.999935
15.006,50.021,18122425,1207662.575,0.001023,0.017407,0.528383,61.210623,18132252,1099,0.999939
16.007,53.356,19419758,1213208.586,0.001023,0.017407,0.527871,61.210623,19433272,1099,0.999943
17.007,56.691,20715676,1218052.987,0.001023,0.017919,0.528383,61.210623,20720611,1099,0.999947
18.008,60.026,21969066,1219984.318,0.001023,0.018431,0.529407,61.210623,21976209,1099,0.999950
19.008,63.359,23246504,1223002.429,0.001023,0.018431,0.528383,61.210623,23255053,1099,0.999953
20.008,66.694,24502508,1224630.692,0.001023,0.018431,0.531967,61.210623,24511917,1099,0.999955
21.008,70.027,25785245,1227392.727,0.001023,0.018943,0.531967,61.210623,25793337,1099,0.999957
22.008,73.361,27032986,1228312.827,0.001535,0.018943,0.530431,61.210623,27038463,1099,0.999959
23.008,76.695,28302971,1230116.015,0.001535,0.018943,0.529407,61.210623,28309947,1099,0.999961
24.008,80.028,29556005,1231066.900,0.001535,0.018943,0.528383,61.210623,29562858,1099,0.999963
25.009,83.362,30825512,1232599.268,0.001535,0.019455,0.527871,61.210623,30836355,1099,0.999964
26.009,86.695,32101941,1234281.580,0.001535,0.019455,0.529919,61.210623,32102540,1099,0.999966
27.009,90.031,33370660,1235527.167,0.001535,0.019967,0.530431,61.210623,33376062,1099,0.999967
28.009,93.365,34631931,1236440.508,0.001535,0.019967,0.528895,61.210623,34639425,1099,0.999968
29.010,96.700,35889345,1237143.277,0.001535,0.019967,0.529919,61.210623,35895881,1099,0.999969
30.010,100.000,37182518,1239007.021,0.001535,0.020479,0.532479,61.210623,37191566,1099,0.999970
