time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,1225.600,1225.445,9.146,13.309,20.051,70.671,584.600,649.400,0.474,3.334,1199.461,1199.340,8.704,12.703,16.903,32.902,583.920,623.498,0.464,3.334,1251.739,1251.550,9.587,13.915,23.198,108.440,585.280,675.302,0.484
2,6.667,2537.400,1268.564,9.037,13.235,18.330,70.815,1241.000,1324.800,0.484,6.667,2420.298,1210.042,8.521,12.552,16.465,33.405,1172.996,1271.184,0.476,6.668,2654.502,1327.087,9.554,13.918,20.196,108.225,1309.004,1378.416,0.491
3,10.001,3922.600,1307.377,8.733,13.110,17.392,70.815,1917.000,2013.800,0.488,10.001,3786.577,1262.039,8.177,12.459,15.911,33.405,1849.565,1939.512,0.483,10.002,4058.623,1352.715,9.290,13.762,18.872,108.225,1984.435,2088.088,0.493
4,13.335,5266.000,1316.347,8.774,13.070,17.008,71.120,2580.400,2700.000,0.489,13.334,5086.375,1271.424,8.464,12.498,16.006,34.467,2492.122,2602.259,0.485,13.335,5445.625,1361.270,9.083,13.641,18.010,107.772,2668.678,2797.741,0.492
5,16.668,6626.000,1325.060,8.686,13.065,16.867,71.120,3272.800,3381.000,0.492,16.668,6402.635,1280.372,8.208,12.511,15.968,34.467,3122.018,3259.134,0.489,16.669,6849.365,1369.748,9.164,13.618,17.766,107.772,3423.582,3502.866,0.495
6,20.002,7997.800,1332.832,8.528,13.086,16.962,71.821,3952.000,4054.000,0.494,20.002,7759.046,1293.028,8.093,12.574,16.218,36.894,3848.872,3917.526,0.491,20.002,8236.554,1372.637,8.963,13.597,17.707,106.748,4055.128,4190.474,0.496
7,23.336,9335.600,1333.522,8.545,13.070,17.049,71.821,4610.600,4733.200,0.493,23.336,9018.770,1288.262,8.014,12.574,16.260,36.894,4444.778,4578.481,0.491,23.336,9652.430,1378.781,9.076,13.565,17.838,106.748,4776.422,4887.919,0.496
8,26.669,10678.800,1334.719,8.490,13.079,17.154,71.821,5281.600,5405.200,0.494,26.669,10356.879,1294.479,8.123,12.579,16.118,36.894,5126.763,5236.253,0.493,26.670,11000.721,1374.959,8.857,13.580,18.190,106.748,5436.437,5574.147,0.496
9,30.003,11880.200,1319.891,8.756,13.119,17.406,71.821,5820.600,6067.600,0.490,30.003,11564.849,1284.849,8.392,12.633,16.452,36.894,5680.527,5891.402,0.488,30.003,12195.551,1354.932,9.119,13.605,18.361,106.748,5960.673,6243.798,0.491
10,33.336,13023.600,1302.234,9.018,13.142,17.385,71.821,6297.600,6746.200,0.483,33.336,12681.908,1268.062,8.694,12.633,16.233,36.894,6171.243,6539.828,0.480,33.337,13365.292,1336.406,9.341,13.650,18.537,106.748,6423.957,6952.572,0.486
11,36.670,14097.400,1281.458,9.206,13.166,17.436,71.821,6685.400,7422.200,0.474,36.670,13759.465,1250.734,8.874,12.650,16.408,36.894,6571.948,7194.488,0.470,36.671,14435.335,1312.181,9.538,13.682,18.464,106.748,6798.852,7649.912,0.477
12,40.004,15112.800,1259.280,9.381,13.191,17.442,71.821,7021.000,8103.400,0.464,40.004,14764.991,1230.294,9.065,12.697,16.536,36.894,6900.844,7867.581,0.461,40.004,15460.609,1288.265,9.698,13.684,18.348,106.748,7141.156,8339.219,0.467
13,43.338,16109.000,1239.032,9.522,13.206,17.416,71.821,7328.400,8792.000,0.455,43.337,15737.019,1210.422,9.222,12.711,16.528,36.894,7209.282,8533.699,0.451,43.338,16480.981,1267.642,9.822,13.700,18.305,106.748,7447.518,9050.301,0.458
14,46.671,17067.600,1218.995,9.653,13.224,17.469,71.821,7610.600,9468.200,0.446,46.671,16702.610,1192.924,9.386,12.738,16.776,36.894,7514.138,9196.106,0.442,46.671,17432.590,1245.066,9.921,13.709,18.162,106.748,7707.062,9740.294,0.450
15,50.005,17981.800,1198.670,9.768,13.258,17.511,71.821,7852.400,10141.800,0.436,50.005,17573.393,1171.443,9.507,12.762,16.776,36.894,7743.354,9845.084,0.433,50.005,18390.207,1225.897,10.029,13.754,18.246,106.748,7961.446,10438.516,0.440
16,53.338,18889.600,1180.488,9.858,13.305,17.629,71.821,8102.800,10797.800,0.429,53.338,18483.431,1155.104,9.604,12.848,16.972,36.894,8000.775,10493.668,0.425,53.339,19295.769,1205.872,10.113,13.762,18.286,106.748,8204.825,11101.932,0.433
17,56.672,19809.000,1165.125,9.924,13.320,17.724,71.821,8357.000,11469.600,0.422,56.672,19356.218,1138.492,9.673,12.902,17.046,36.894,8192.817,11174.513,0.420,56.673,20261.782,1191.758,10.174,13.738,18.402,106.748,8521.183,11764.687,0.423
