time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2209,2208.860,10.108927,15.327231,27.508735,74.317823,1096,1129,0.492584
2.000,6.667,4283,2141.237,10.428415,16.138239,25.985023,74.317823,2193,2209,0.498183
3.000,10.001,6680,2226.439,10.174463,15.351807,25.395199,74.317823,3293,3404,0.491713
4.000,13.335,9045,2261.043,10.027007,15.302655,25.067519,74.317823,4492,4569,0.495751
5.000,16.668,11275,2254.808,10.223615,15.212543,24.821759,74.317823,5556,5735,0.492073
6.001,20.002,13319,2219.590,10.534911,15.171583,24.887295,74.317823,6515,6888,0.486085
7.001,23.336,15270,2181.205,10.772479,15.204351,24.985599,74.317823,7245,8041,0.473963
8.001,26.669,17079,2134.667,10.919935,15.491071,25.067519,74.317823,7962,9133,0.465750
9.001,30.003,18876,2097.138,11.010047,15.695871,25.313279,74.317823,8677,10215,0.459295
10.001,33.336,22500,2249.798,10.199039,15.359999,24.985599,74.317823,11195,11410,0.495244
11.001,36.670,27932,2539.051,0.001023,14.925823,24.854527,234.094591,15713,12337,0.560178
12.001,40.004,36654,3054.204,0.000511,14.376959,24.166399,234.094591,23235,13507,0.632383
13.001,43.337,47142,3625.962,0.000511,13.918207,23.576575,234.094591,32676,14684,0.689949
14.001,46.671,58154,4153.430,0.000511,13.590527,23.052287,234.094591,42436,15857,0.727978
15.002,50.005,69070,4604.206,0.000511,13.402111,22.757375,234.094591,52220,16963,0.754810
16.002,53.339,81015,5062.895,0.000511,13.148159,22.331391,234.094591,63047,18160,0.776374
17.002,56.673,91764,5397.318,0.000511,12.992511,22.167551,234.094591,72575,19298,0.789949
18.002,60.006,102737,5707.029,0.000511,12.877823,21.970943,234.094591,82506,20368,0.802010
19.002,63.340,115030,6053.607,0.000511,12.730367,21.643263,234.094591,93633,21576,0.812723
20.002,66.673,126405,6319.633,0.000511,12.640255,21.397503,234.094591,103865,22722,0.820503
21.002,70.007,138260,6583.170,0.000511,12.550143,21.184511,234.094591,114490,23908,0.827252
22.002,73.340,149251,6783.478,0.000511,12.484607,21.086207,234.094591,124411,25029,0.832515
23.002,76.674,160654,6984.290,0.000511,12.402687,20.971519,234.094591,134604,26188,0.837131
24.002,80.008,171383,7140.278,0.000511,12.337151,20.905983,234.094591,144186,27331,0.840651
25.002,83.341,182870,7314.107,0.000511,12.279807,20.807679,234.094591,154518,28460,0.844462
26.002,86.675,193263,7432.484,0.000511,12.247039,20.692991,234.094591,163842,29542,0.847237
27.003,90.009,203925,7552.031,0.000511,12.206079,20.692991,234.094591,173575,30592,0.850162
28.003,93.342,216015,7714.070,0.000511,12.148735,20.594687,234.094591,184432,31767,0.853066
29.003,96.676,227155,7832.178,0.000511,12.107775,20.512767,234.094591,194394,32919,0.855182
30.003,100.000,238353,7944.315,0.000511,12.075007,20.463615,234.094591,204427,34026,0.857305
