time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,2145.000,2144.844,10.183,16.327,26.898,64.836,1070.750,1118.000,0.489,3.334,1984.039,1983.864,9.679,14.889,19.076,0.016,989.340,1039.787,0.479,3.334,2305.961,2305.824,10.687,17.764,34.721,129.655,1152.160,1196.213,0.500
2,6.667,4305.000,2152.297,9.978,16.796,25.584,64.836,2167.750,2205.250,0.496,6.667,4167.081,2083.343,9.298,15.938,22.656,0.016,2086.340,2131.806,0.492,6.667,4442.919,2221.251,10.658,17.653,28.511,129.655,2249.160,2278.694,0.499
3,10.001,6592.000,2197.135,9.626,16.574,25.154,64.836,3267.750,3342.000,0.494,10.001,6422.685,2140.732,8.929,15.183,23.516,0.016,3186.340,3248.478,0.491,10.001,6761.315,2253.539,10.323,17.966,26.791,129.655,3349.160,3435.522,0.498
4,13.335,8781.500,2195.163,9.513,17.005,25.186,64.836,4366.750,4431.250,0.496,13.334,8321.217,2080.088,8.963,14.683,22.866,0.016,4127.121,4207.439,0.494,13.335,9241.783,2310.238,10.063,19.326,27.507,129.655,4606.379,4655.061,0.499
5,16.668,10855.000,2170.786,9.777,17.236,25.506,66.998,5370.250,5500.750,0.494,16.667,10263.058,2052.383,9.128,14.626,23.559,4.914,5100.103,5177.456,0.491,16.669,11446.942,2289.189,10.427,19.846,27.453,129.082,5640.397,5824.044,0.497
6,20.002,12788.250,2131.155,10.181,17.392,25.731,73.695,6262.000,6571.250,0.488,20.002,12037.706,2006.094,9.645,14.645,23.471,16.086,5930.272,6132.947,0.484,20.002,13538.794,2256.217,10.716,20.139,27.991,131.305,6593.728,7009.553,0.492
7,23.336,14665.250,2094.830,10.469,17.478,25.539,73.695,7001.000,7681.000,0.477,23.335,13888.320,1983.863,10.009,14.849,23.647,16.086,6684.886,7220.091,0.473,23.337,15442.180,2205.797,10.930,20.106,27.430,131.305,7317.114,8141.909,0.481
8,26.669,16475.000,2059.181,10.660,17.594,25.530,73.695,7737.250,8765.250,0.469,26.669,15671.274,1958.733,10.232,15.113,23.796,16.086,7416.556,8269.904,0.465,26.669,17278.726,2159.629,11.088,20.076,27.264,131.305,8057.944,9260.596,0.473
9,30.003,18309.000,2034.148,10.781,17.674,25.539,73.695,8473.250,9860.250,0.462,30.003,17569.257,1951.964,10.379,15.411,23.963,16.086,8197.918,9389.623,0.458,30.003,19048.743,2116.333,11.182,19.937,27.114,131.305,8748.582,10330.877,0.466
10,33.336,20688.500,2068.664,10.590,17.603,25.420,102.105,9776.500,10958.500,0.471,33.335,18526.847,1852.516,10.131,15.037,23.749,-39.514,8117.491,10384.483,0.442,33.337,22850.153,2284.813,11.049,20.168,27.090,243.724,11435.509,11532.517,0.499
11,36.670,25986.750,2362.225,0.001,16.896,25.014,142.049,14084.500,12013.750,0.539,36.670,23071.480,2097.216,0.001,14.426,23.588,-27.417,11660.721,11528.476,0.506,36.670,28902.020,2627.233,0.001,19.366,26.441,311.516,16508.279,12499.024,0.571
12,40.004,33637.250,2802.854,0.001,15.978,24.572,143.008,20622.500,13131.500,0.610,40.003,29354.409,2445.991,0.000,13.917,23.279,-24.328,16894.832,12598.578,0.577,40.004,37920.091,3159.716,0.001,18.040,25.865,310.343,24350.168,13664.422,0.643
13,43.337,42961.500,3304.442,0.001,15.174,24.142,143.008,28899.000,14232.250,0.669,43.337,37109.733,2854.357,0.000,13.480,22.897,-24.328,23699.606,13610.874,0.639,43.337,48813.267,3754.527,0.001,16.867,25.387,310.343,34098.394,14853.626,0.699
14,46.671,53322.250,3808.396,0.001,14.514,23.757,143.008,38105.500,15347.250,0.712,46.670,47061.470,3361.275,0.001,13.305,22.627,-24.328,32498.525,14690.079,0.691,46.671,59583.030,4255.517,0.001,15.723,24.886,310.343,43712.475,16004.421,0.733
15,50.004,63904.250,4259.902,0.001,14.092,23.421,143.008,47603.250,16451.500,0.743,50.003,57262.975,3817.231,0.001,13.160,22.369,-24.328,41608.378,15778.848,0.727,50.005,70545.525,4702.574,0.001,15.025,24.473,310.343,53598.122,17124.152,0.759
16,53.338,74937.500,4683.151,0.001,13.783,23.134,143.008,57580.750,17552.750,0.766,53.337,66807.292,4175.114,0.001,12.869,22.023,-24.328,50280.578,16739.833,0.751,53.339,83067.708,5191.188,0.001,14.697,24.246,310.343,64880.922,18365.667,0.780
