time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1683,1682.896,10.330111,18.087935,27.394047,319.553535,786,914,0.462353
2.000,6.667,1227634,613769.770,0.001535,0.022015,0.106495,319.553535,1227302,1025,0.999166
3.000,10.001,2558010,852609.354,0.001535,0.022015,0.107007,319.553535,2560248,1025,0.999600
4.000,13.334,3873981,968426.231,0.001535,0.022015,0.106495,319.553535,3873628,1025,0.999735
5.000,16.668,5179352,1035792.902,0.001535,0.021503,0.107007,319.553535,5178900,1025,0.999802
6.001,20.002,6470195,1078274.822,0.001535,0.022015,0.107007,319.553535,6470584,1025,0.999842
7.001,23.335,7783766,1111876.555,0.001535,0.022015,0.107007,319.553535,7783170,1025,0.999868
8.001,26.669,9072840,1134014.024,0.001535,0.022015,0.107519,319.553535,9071818,1025,0.999887
9.001,30.002,10372422,1152400.267,0.001535,0.022015,0.107519,319.553535,10371649,1025,0.999901
10.001,33.337,11666585,1166524.923,0.001535,0.022015,0.108031,319.553535,11667851,1025,0.999912
11.001,36.671,12946180,1176796.327,0.001535,0.022015,0.108031,319.553535,12946214,1025,0.999921
12.001,40.004,14222449,1185079.190,0.001535,0.022015,0.108031,319.553535,14222673,1025,0.999928
13.001,43.338,15500210,1192199.968,0.001535,0.021503,0.108031,319.553535,15499632,1025,0.999934
14.001,46.671,16780769,1198505.174,0.001535,0.022015,0.108031,319.553535,16780392,1025,0.999939
15.002,50.005,18065535,1204247.462,0.001535,0.022015,0.108031,319.553535,18065319,1025,0.999943
16.002,53.339,19334586,1208291.621,0.001535,0.021503,0.108543,319.553535,19334089,1025,0.999947
17.002,56.672,20584015,1210706.858,0.001535,0.021503,0.108543,319.553535,20583432,1025,0.999950
18.002,60.006,21850108,1213778.891,0.001535,0.022015,0.108543,319.553535,21850138,1025,0.999953
19.002,63.339,23122380,1216853.262,0.001535,0.022015,0.109055,319.553535,23122304,1025,0.999956
20.002,66.673,24404685,1220121.833,0.001535,0.022015,0.109055,319.553535,24404815,1025,0.999958
21.002,70.006,25673150,1222419.367,0.001535,0.022015,0.109055,319.553535,25675268,1025,0.999960
22.002,73.340,26922370,1223633.462,0.001535,0.022015,0.109055,319.553535,26923125,1025,0.999962
23.002,76.674,28205427,1226211.782,0.001535,0.022015,0.109055,319.553535,28204966,1025,0.999964
24.002,80.007,29481043,1228267.001,0.001535,0.022015,0.109567,319.553535,29482043,1025,0.999965
25.002,83.341,30743955,1229645.094,0.001535,0.022015,0.109567,319.553535,30743470,1025,0.999967
26.002,86.675,32024207,1231588.479,0.001535,0.022015,0.109567,319.553535,32026922,1025,0.999968
27.002,90.008,33307691,1233507.676,0.001535,0.022015,0.109567,319.553535,33307196,1025,0.999969
28.002,93.342,34565646,1234377.178,0.001535,0.022015,0.109567,319.553535,34565958,1025,0.999970
29.003,96.675,35831129,1235446.620,0.001535,0.022015,0.109567,319.553535,35830916,1025,0.999971
30.003,100.000,37091379,1236270.959,0.001535,0.022015,0.109567,319.553535,37090872,1025,0.999972
