time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
1,626.143,612.726,639.560,1225.445,1199.340,1251.550,2741.303,1854.555,3628.050,2383.129,2008.474,2757.784,2589.187,2017.514,3160.861,626.200,612.789,639.611,1225.600,1199.461,1251.739,2741.600,1854.887,3628.313,2383.400,2008.793,2758.007,2589.400,2017.713,3161.087
2,646.329,607.189,685.469,1268.564,1210.042,1327.087,2858.679,1933.631,3783.727,2481.790,2205.563,2758.016,2749.310,2243.828,3254.793,1292.800,1214.546,1371.054,2537.400,2420.298,2654.502,5718.000,3867.797,7568.203,4964.200,4411.709,5516.691,5499.000,4487.965,6510.035
3,660.394,609.742,711.047,1307.377,1262.039,1352.715,2794.595,1796.014,3793.175,2540.891,2249.657,2832.125,2808.068,2291.650,3324.486,1981.400,1829.399,2133.401,3922.600,3786.577,4058.623,8384.600,5388.609,11380.591,7623.600,6749.684,8497.516,8424.800,6875.458,9974.142
4,669.236,617.704,720.768,1316.347,1271.424,1361.270,2746.821,1664.705,3828.937,2544.328,2225.938,2862.717,2815.880,2358.570,3273.189,2677.200,2471.047,2883.353,5266.000,5086.375,5445.625,10988.400,6659.535,15317.265,10178.400,8904.562,11452.238,11264.400,9435.137,13093.663
5,666.892,622.886,710.899,1325.060,1280.372,1369.748,2701.072,1748.566,3653.577,2506.513,2200.390,2812.635,2732.055,2337.123,3126.987,3334.800,3114.717,3554.883,6626.000,6402.635,6849.365,13506.800,8743.818,18269.782,12533.800,11002.901,14064.699,13661.400,11686.831,15635.969
6,666.530,624.187,708.872,1332.832,1293.028,1372.637,2641.384,1801.058,3481.711,2435.163,2153.872,2716.453,2624.190,2277.918,2970.462,3999.600,3745.462,4253.738,7997.800,7759.046,8236.554,15850.000,10807.516,20892.484,14612.400,12924.291,16300.509,15746.400,13668.878,17823.922
7,661.531,614.642,708.420,1333.522,1288.262,1378.781,2610.730,1814.138,3407.321,2373.461,2132.964,2613.958,2549.343,2184.798,2913.888,4631.200,4302.921,4959.479,9335.600,9018.770,9652.430,18277.200,12700.426,23853.974,16615.800,14931.943,18299.657,17847.200,15295.446,20398.954
8,666.306,625.419,707.193,1334.719,1294.479,1374.959,2629.350,1767.962,3490.737,2306.505,2061.531,2551.478,2479.679,2035.466,2923.892,5331.000,5003.870,5658.130,10678.800,10356.879,11000.721,21037.200,14145.420,27928.980,18453.800,16493.665,20413.935,19839.400,16285.864,23392.936
9,668.128,628.426,707.830,1319.891,1284.849,1354.932,2607.448,1661.758,3553.139,2303.738,1986.683,2620.793,2489.263,1987.030,2991.496,6013.800,5656.491,6371.109,11880.200,11564.849,12195.551,23469.800,14957.604,31981.996,20735.600,17881.840,23589.360,22405.600,17885.419,26925.781
10,671.927,630.449,713.404,1302.234,1268.062,1336.406,2661.872,1752.839,3570.906,2321.324,1952.407,2690.242,2522.991,1997.098,3048.884,6720.000,6305.223,7134.777,13023.600,12681.908,13365.292,26621.800,17530.571,35713.029,23215.400,19525.955,26904.845,25232.400,19973.408,30491.392
11,673.421,637.885,708.956,1281.458,1250.734,1312.181,2704.946,1802.604,3607.288,2356.019,1973.600,2738.438,2556.807,2035.670,3077.944,7408.400,7017.515,7799.285,14097.400,13759.465,14435.335,29757.800,19831.112,39684.488,25918.600,21711.801,30125.399,28127.600,22394.980,33860.220
12,676.278,639.259,713.298,1259.280,1230.294,1288.265,2728.324,1837.446,3619.203,2380.945,1981.312,2780.578,2597.014,2075.116,3118.913,8116.200,7671.975,8560.425,15112.800,14764.991,15460.609,32743.600,22052.001,43435.199,28574.000,23778.186,33369.814,31167.200,24904.370,37430.030
13,675.530,637.167,713.892,1239.032,1210.422,1267.642,2762.260,1920.922,3603.597,2396.776,1995.132,2798.419,2629.082,2110.631,3147.533,8782.800,8284.102,9281.498,16109.000,15737.019,16480.981,35913.400,24974.890,46851.910,31161.000,25939.531,36382.469,34181.400,27441.427,40921.373
14,677.745,644.954,710.536,1218.995,1192.924,1245.066,2804.254,2019.718,3588.789,2404.593,2008.225,2800.961,2641.081,2119.631,3162.532,9489.400,9030.340,9948.460,17067.600,16702.610,17432.590,39264.000,28279.289,50248.711,33667.400,28118.091,39216.709,36979.000,29679.044,44278.956
15,678.023,643.628,712.419,1198.670,1171.443,1225.897,2835.665,2085.061,3586.269,2419.661,2014.056,2825.266,2647.639,2118.773,3176.504,10171.400,9655.494,10687.306,17981.800,17573.393,18390.207,42539.800,31279.422,53800.178,36298.200,30213.909,42382.491,39718.600,31785.938,47651.262
16,677.392,647.831,706.954,1180.488,1155.104,1205.872,2859.851,2151.151,3568.550,2429.212,2023.319,2835.105,2661.024,2129.966,3192.082,10839.400,10366.452,11312.348,18889.600,18483.431,19295.769,45762.800,34422.344,57103.256,38871.000,32376.348,45365.652,42580.600,34083.971,51077.229
17,674.249,646.716,701.782,1165.125,1138.492,1191.758,2883.024,2201.062,3564.985,2446.423,2035.498,2857.347,2664.365,2128.314,3200.415,11463.400,10995.385,11931.415,19809.000,19356.218,20261.782,49016.800,37422.199,60611.401,41593.000,34606.921,48579.079,45298.600,36186.020,54411.180
18,670.465,643.908,697.023,1171.313,1138.012,1204.613,2904.992,2241.696,3568.288,2457.809,2046.158,2869.460,2670.416,2138.266,3202.567,12069.600,11591.624,12547.576,21085.600,20486.178,21685.022,52295.600,40355.127,64236.073,44244.600,36834.519,51654.681,48072.200,38493.570,57650.830
19,667.636,642.400,692.873,1181.405,1149.286,1213.524,2924.589,2276.813,3572.364,2471.029,2058.737,2883.320,2680.162,2156.541,3203.783,12686.400,12206.963,13165.837,22448.800,21838.479,23059.121,55573.200,43264.309,67882.091,46953.800,39119.916,54787.684,50928.000,40979.213,60876.787
20,662.676,638.298,687.055,1190.989,1159.907,1222.071,2944.703,2316.409,3572.997,2471.734,2061.810,2881.659,2682.078,2174.451,3189.704,13255.000,12767.632,13742.368,23822.000,23200.235,24443.765,58900.400,46333.351,71467.449,49439.200,41240.277,57638.123,53646.800,43494.385,63799.215
21,656.994,632.346,681.643,1199.116,1170.187,1228.046,2960.799,2350.514,3571.084,2478.093,2077.202,2878.984,2687.240,2187.902,3186.577,13798.400,13280.981,14315.819,25183.800,24576.196,25791.404,62183.400,49366.267,75000.533,52044.800,43625.603,60463.997,56437.600,45951.782,66923.418
22,651.765,627.847,675.682,1204.324,1173.923,1234.725,2979.359,2384.805,3573.913,2487.278,2087.410,2887.146,2690.270,2202.100,3178.440,14340.400,13814.395,14866.405,26497.600,25828.615,27166.585,65552.800,52471.444,78634.156,54725.200,45927.689,63522.711,59191.800,48452.463,69931.137
23,646.634,624.436,668.833,1208.504,1175.942,1241.066,2996.768,2410.731,3582.806,2500.119,2096.579,2903.658,2696.917,2208.931,3184.904,14874.200,14363.813,15384.587,27798.200,27049.077,28547.323,68933.000,55452.949,82413.051,57508.000,48226.163,66789.837,62035.200,50811.889,73258.511
24,640.015,617.119,662.912,1216.149,1183.261,1249.037,2997.595,2436.734,3558.456,2514.653,2115.351,2913.955,2696.533,2206.335,3186.731,15362.000,14812.649,15911.351,29190.400,28400.789,29980.011,71950.000,58487.968,85412.032,60357.200,50773.440,69940.960,64723.200,52958.923,76487.477
25,635.237,613.029,657.446,1224.136,1192.661,1255.611,3004.514,2459.644,3549.384,2524.658,2132.373,2916.943,2699.000,2202.281,3195.718,15882.600,15327.538,16437.662,30606.400,29819.340,31393.460,75120.800,61497.694,88743.906,63122.200,53314.502,72929.898,67481.600,55064.091,79899.109
26,628.726,606.608,650.844,1231.266,1200.713,1261.819,3017.368,2469.973,3564.762,2534.470,2149.854,2919.085,2701.855,2204.423,3199.287,16348.600,15773.631,16923.569,32016.000,31221.416,32810.584,78459.800,64226.117,92693.483,65902.200,55901.609,75902.791,70255.000,57322.218,83187.782
