time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
1,631.118,619.730,642.505,1173.710,1028.093,1319.328,2726.508,1674.210,3778.806,3655.503,3372.909,3938.097,2577.638,1950.769,3204.508,631.200,619.774,642.626,1173.800,1028.179,1319.421,2726.800,1674.481,3779.119,3655.800,3373.143,3938.457,2577.800,1950.884,3204.716
2,636.427,621.846,651.008,1254.896,1183.116,1326.676,2835.277,2126.196,3544.358,3738.479,3499.424,3977.533,2958.501,2478.786,3438.216,1273.000,1243.845,1302.155,2510.000,2366.454,2653.546,5671.200,4252.922,7089.478,7477.600,6999.320,7955.880,5917.400,4957.685,6877.115
3,659.132,622.166,696.099,1291.225,1227.824,1354.626,3007.845,2533.871,3481.818,3676.628,3396.375,3956.881,3088.379,2619.513,3557.245,1977.600,1866.721,2088.479,3874.000,3683.754,4064.246,9024.600,7602.563,10446.637,11030.800,10189.867,11871.733,9265.800,7858.944,10672.656
4,671.229,646.592,695.866,1304.727,1245.698,1363.757,3045.576,2663.501,3427.651,3425.904,3130.192,3721.615,3112.576,2784.816,3440.337,2685.200,2586.637,2783.763,5219.400,4983.238,5455.562,12183.600,10655.174,13712.026,13704.800,12521.741,14887.859,12451.200,11139.957,13762.443
5,659.815,621.859,697.772,1320.678,1268.833,1372.522,2937.313,2601.893,3272.734,3251.619,3051.760,3451.478,3047.740,2783.661,3311.819,3299.400,3109.674,3489.126,6604.000,6344.779,6863.221,14688.200,13010.846,16365.554,16259.600,15259.825,17259.375,15239.800,13919.251,16560.349
6,667.337,634.582,700.092,1320.946,1283.899,1357.993,2842.731,2581.754,3103.708,3131.943,2967.627,3296.259,2942.358,2684.409,3200.307,4004.400,3807.922,4200.878,7926.400,7704.016,8148.784,17058.200,15492.177,18624.223,18793.400,17806.895,19779.905,17655.400,16107.509,19203.291
7,670.165,640.591,699.738,1321.278,1296.453,1346.104,2743.144,2433.460,3052.828,3143.158,2905.033,3381.283,2878.965,2504.075,3253.854,4691.600,4484.620,4898.580,9249.800,9075.815,9423.785,19204.000,17036.232,21371.768,22004.200,20336.600,23671.800,20154.200,17529.714,22778.686
8,674.682,643.155,706.210,1316.326,1283.380,1349.272,2740.867,2286.629,3195.106,3172.658,2972.363,3372.954,2922.246,2521.368,3323.125,5398.000,5145.792,5650.208,10531.600,10267.955,10795.245,21929.200,18295.203,25563.197,25383.600,23780.576,26986.624,23380.800,20170.217,26591.383
9,673.842,646.194,701.490,1308.077,1283.004,1333.150,2741.415,2166.486,3316.345,3183.352,2993.053,3373.651,2965.609,2524.560,3406.658,6065.200,5816.368,6314.032,11773.800,11548.037,11999.563,24675.200,19500.587,29849.813,28652.800,26939.979,30365.621,26693.600,22720.718,30666.482
10,675.271,653.237,697.304,1283.965,1256.138,1311.791,2742.271,2051.960,3432.582,3174.593,2924.094,3425.092,2966.565,2498.236,3434.894,6753.400,6533.173,6973.627,12841.000,12562.534,13119.466,27425.400,20521.845,34328.955,31748.800,29243.474,34254.126,29669.000,24982.348,34355.652
11,664.878,653.300,676.457,1262.904,1232.418,1293.390,2704.940,1943.343,3466.536,3169.261,2974.838,3363.684,3004.875,2559.411,3450.339,7314.400,7187.195,7441.605,13893.400,13557.791,14229.009,29757.200,21379.040,38135.360,34865.000,32726.208,37003.792,33057.200,28153.644,37960.756
