time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
1,475.940,140.654,811.226,1175.483,981.606,1369.360,328766.464,39382.630,618150.299,615306.504,560931.221,669681.787,459376.159,292692.537,626059.782,476.000,140.670,811.330,1175.600,981.737,1369.463,328837.600,39385.645,618289.555,615724.400,561761.224,669687.576,459667.800,292955.582,626380.018
2,550.639,334.156,767.122,316802.184,220147.883,413456.486,842763.899,687267.409,998260.389,1024143.731,1003507.244,1044780.218,940522.586,858370.492,1022674.681,1101.400,668.393,1534.407,633709.800,440395.975,827023.625,1685767.800,1374723.442,1996812.158,2050489.200,2011449.430,2089528.970,1882274.200,1718632.579,2045915.821
3,9438.696,-12044.597,30921.988,679055.722,611304.518,746806.926,1013984.576,921466.611,1106502.541,1154400.685,1136870.467,1171930.903,1091417.160,1018351.174,1164483.147,28318.400,-36136.735,92773.535,2037447.400,1834228.668,2240666.132,3042512.400,2764580.366,3320444.434,3466424.600,3417457.559,3515391.641,3276285.200,3056497.713,3496072.687
4,307877.409,88774.601,526980.217,860204.661,806023.140,914386.182,1100466.173,1036610.810,1164321.537,1220275.738,1200037.375,1240514.101,1167471.703,1105629.549,1229313.857,1231744.000,355153.559,2108334.441,3441237.200,3224565.068,3657909.332,4402638.200,4146700.253,4658576.147,4884997.000,4806522.799,4963471.201,4672268.600,4424322.439,4920214.761
5,554263.523,350373.745,758153.301,967263.756,923125.279,1011402.233,1150994.905,1102309.754,1199680.056,1257383.683,1235994.368,1278772.999,1212333.741,1158597.392,1266070.090,2771769.200,1752155.109,3791383.291,4836878.200,4616217.308,5057539.092,5755866.800,5511885.832,5999847.768,6291557.400,6186089.845,6397024.955,6064327.200,5795181.712,6333472.688
6,741761.869,582307.245,901216.493,1036280.381,997192.810,1075367.951,1184228.778,1142370.899,1226086.657,1282498.729,1260209.076,1304788.382,1240124.175,1192994.498,1287253.852,4451229.800,3494334.398,5408125.202,6218487.600,5983944.615,6453030.585,7106389.000,6854725.687,7358052.313,7700224.000,7568760.283,7831687.717,7443724.200,7160029.914,7727418.486
7,873804.942,742576.106,1005033.777,1087617.274,1052233.409,1123001.138,1207523.933,1168472.342,1246575.524,1300587.107,1277890.403,1323283.810,1261227.846,1218132.522,1304323.170,6117473.000,5198664.944,7036281.056,7614237.000,7366547.391,7861926.609,8453820.400,8179987.901,8727652.899,9110751.400,8955508.965,9265993.835,8831701.800,8529114.288,9134289.312
8,967975.142,857118.099,1078832.185,1122367.249,1089067.321,1155667.176,1224844.205,1185097.123,1264591.287,1312099.979,1289655.055,1334544.902,1278274.426,1235748.698,1320800.154,7744817.600,6857761.194,8631874.006,8979970.400,8713648.335,9246292.465,9800018.800,9481586.796,10118450.804,10504714.000,10326957.756,10682470.244,10230385.400,9889371.482,10571399.318
9,1040884.797,947618.493,1134151.100,1151214.212,1118476.004,1183952.420,1239469.522,1199006.999,1279932.046,1321772.494,1300582.439,1342962.549,1289478.271,1250507.850,1328448.692,9369122.800,8529519.130,10208726.470,10362211.600,10067546.642,10656876.558,11156675.200,10792140.118,11521210.282,11904049.200,11714753.599,12093344.801,11610461.000,11260060.667,11960861.333
10,1095799.057,1018246.945,1173351.168,1173570.695,1141567.045,1205574.345,1250279.714,1210366.497,1290192.930,1328392.018,1306146.173,1350637.864,1299089.020,1261976.229,1336201.811,10959283.200,10183629.834,11734936.566,11737099.000,11417086.867,12057111.133,12504409.800,12104979.770,12903839.830,13292505.600,13071619.616,13513391.584,12996661.200,12625391.380,13367931.020
11,1143079.772,1075994.238,1210165.305,1191100.032,1159142.562,1223057.502,1260038.445,1219796.645,1300280.244,1333813.846,1311423.140,1356204.552,1306644.069,1268817.717,1344470.420,12575424.000,11837358.801,13313489.199,13103705.800,12752353.674,13455057.926,13862831.800,13419684.771,14305978.829,14681152.000,14437391.171,14924912.829,14382553.000,13969914.613,14795191.387
12,1183749.121,1126576.235,1240922.007,1205219.966,1172908.629,1237531.304,1268023.905,1227090.228,1308957.582,1339057.179,1317070.984,1361043.374,1312805.966,1275693.752,1349918.180,14206667.200,13520467.549,14892866.851,14464358.000,14076875.132,14851840.868,15218798.400,14727035.355,15710561.445,16078373.600,15816905.993,16339841.207,15763394.800,15321438.488,16205351.112
13,1217341.560,1169497.054,1265186.067,1217771.204,1184959.999,1250582.409,1273383.457,1232290.360,1314476.554,1342564.879,1321379.660,1363750.098,1317434.040,1283390.337,1351477.743,15827241.800,15205208.252,16449275.348,15832847.000,15406571.183,16259122.817,16556749.600,16022147.268,17091351.932,17463151.600,17190869.553,17735433.647,17136944.200,16697307.999,17576580.401
14,1245932.580,1204108.942,1287756.218,1228834.467,1195880.893,1261788.042,1277676.124,1236452.692,1318899.556,1345025.129,1324239.926,1365810.332,1322502.398,1289973.255,1355031.542,17444975.400,16859525.882,18030424.918,17205601.000,16744540.262,17666661.738,17890333.000,17312743.582,18467922.418,18840781.200,18552804.936,19128757.464,18526020.200,18074343.485,18977696.915
15,1271075.468,1231643.336,1310507.600,1238121.199,1205157.601,1271084.796,1281272.865,1239497.649,1323048.080,1347869.744,1328426.263,1367313.224,1325310.609,1291527.868,1359093.350,19068225.200,18476756.177,19659694.223,18573871.000,18079684.249,19068057.751,19222048.400,18594916.817,19849179.983,20228898.400,19939409.204,20518387.596,19891983.600,19388118.388,20395848.812
16,1290616.722,1257242.044,1323991.400,1245831.236,1211619.366,1280043.107,1285681.249,1243499.289,1327863.209,1350001.635,1330194.896,1369808.374,1329854.853,1296582.574,1363127.132,20652075.800,20118050.830,21186100.770,19935474.400,19388404.983,20482543.817,20573976.600,19898548.775,21249404.425,21611128.000,21296163.359,21926092.641,21290485.200,20760984.905,21819985.495
17,1307964.355,1278939.872,1336988.838,1252385.079,1216331.923,1288438.234,1288292.569,1245543.930,1331041.207,1351600.883,1330675.030,1372526.737,1333841.739,1301212.185,1366471.294,22237719.000,21744208.167,22731229.833,21293005.200,20680183.924,21905826.476,21904140.800,21176875.451,22631406.149,22988620.400,22634597.762,23342643.038,22688798.200,22137198.509,23240397.891
18,1324231.589,1300601.207,1347861.971,1259172.209,1222612.174,1295732.245,1290505.996,1248047.373,1332964.618,1352506.864,1331620.671,1373393.057,1336784.144,1305617.843,1367950.445,23838638.400,23413163.964,24264112.836,22667700.200,22009746.067,23325654.333,23232363.200,22467548.010,23997178.390,24356836.600,23982831.350,24730841.850,24075917.200,23517780.739,24634053.661
19,1336597.256,1317383.274,1355811.237,1264258.250,1227557.986,1300958.514,1292333.074,1248399.703,1336266.446,1352871.914,1332380.941,1373362.887,1338773.287,1307066.273,1370480.300,25398111.400,25032897.646,25763325.154,24023625.800,23326456.704,24720794.896,24557800.600,23722640.331,25392960.869,25716657.800,25329409.698,26103905.902,25451501.200,24851046.284,26051956.116
20,1348505.904,1332764.578,1364247.230,1269400.365,1233043.630,1305757.101,1294508.756,1250686.413,1338331.099,1354062.436,1334429.922,1373694.949,1340872.594,1309302.488,1372442.700,26973003.400,26658386.283,27287620.517,25390921.600,24663992.242,26117850.958,25893970.600,25017441.992,26770499.208,27093557.800,26703186.310,27483929.290,26834201.600,26206383.387,27462019.813
21,1359730.751,1344134.781,1375326.722,1274143.037,1239046.203,1309239.871,1296003.417,1252182.277,1339824.558,1353973.778,1334638.480,1373309.076,1342871.235,1311534.993,1374207.477,28557589.800,28230834.724,28884344.876,26760031.000,26023233.793,27496828.207,27219964.400,26299644.629,28140284.171,28445975.000,28042482.663,28849467.337,28217770.800,27562708.535,28872833.065
22,1369169.989,1353808.509,1384531.469,1278188.034,1244089.824,1312286.244,1297242.953,1253347.506,1341138.401,1354653.108,1335300.148,1374006.069,1343912.907,1312579.471,1375246.342,30125104.800,29787862.854,30462346.746,28123316.400,27373359.382,28873273.418,28543332.800,27577542.014,29509123.586,29815171.600,29392650.917,30237692.283,29584010.400,28897500.148,30270520.652
23,1377123.671,1361190.438,1393056.904,1282128.899,1248874.792,1315383.006,1298612.361,1254145.793,1343078.930,1355327.926,1336032.620,1374623.233,1345445.827,1314304.524,1376587.130,31677322.600,31311751.418,32042893.782,29492277.000,28727603.425,30256950.575,29872226.600,28849387.699,30895065.501,31185789.800,30745922.681,31625656.919,30963976.800,30251291.167,31676662.433
24,1386325.285,1372907.671,1399742.899,1285408.031,1252794.241,1318021.822,1299630.387,1255387.921,1343872.853,1356268.406,1337950.192,1374586.620,1346725.117,1316303.833,1377146.400,33275404.400,32954279.084,33596529.716,30853194.200,30070635.192,31635753.208,31195376.400,30133421.836,32257330.964,32563862.400,32128485.114,32999239.686,32341019.200,31614666.295,33067372.105
25,1394895.511,1383235.225,1406555.797,1288623.562,1256204.259,1321042.865,1300937.566,1256829.955,1345045.177,1356167.813,1338711.768,1373623.858,1347688.378,1317818.748,1377558.008,34876140.000,34585446.729,35166833.271,32219081.600,31408773.290,33029389.910,32527921.200,31424856.128,33630986.272,33918377.000,33485686.315,34351067.685,33712354.400,32969135.981,34455572.819
