time_s,throughput_c4,throughput_c4_ci_lower,throughput_c4_ci_upper,throughput_c8,throughput_c8_ci_lower,throughput_c8_ci_upper,throughput_c16,throughput_c16_ci_lower,throughput_c16_ci_upper,throughput_c32,throughput_c32_ci_lower,throughput_c32_ci_upper,throughput_c64,throughput_c64_ci_lower,throughput_c64_ci_upper,txns_c4,txns_c4_ci_lower,txns_c4_ci_upper,txns_c8,txns_c8_ci_lower,txns_c8_ci_upper,txns_c16,txns_c16_ci_lower,txns_c16_ci_upper,txns_c32,txns_c32_ci_lower,txns_c32_ci_upper,txns_c64,txns_c64_ci_lower,txns_c64_ci_upper
1,630.320,604.975,655.666,1122.471,1025.445,1219.498,141113.247,-41547.318,323773.813,513855.166,339809.943,687900.389,490487.763,409085.433,571890.094,630.400,605.070,655.730,1122.600,1025.596,1219.604,141129.400,-41550.294,323809.094,514042.400,339872.099,688212.701,491220.800,408919.546,573522.054
2,622.737,550.903,694.571,232562.122,164424.330,300699.915,729970.576,594146.843,865794.310,915667.532,831369.866,999965.199,922073.318,865579.100,978567.536,1245.600,1101.947,1389.253,465171.200,328879.535,601462.865,1460112.800,1188491.657,1731733.943,1832433.000,1663761.820,2001104.180,1845804.600,1731450.590,1960158.610
3,614.143,579.563,648.722,597428.287,551611.167,643245.407,935284.197,843784.632,1026783.763,1055358.827,1014233.575,1096484.080,1067327.789,1019522.127,1115133.451,1842.600,1738.874,1946.326,1792469.400,1654958.266,1929980.534,2806148.800,2531708.609,3080588.991,3167690.000,3044417.114,3290962.886,3204265.200,3059353.710,3349176.690
4,350539.980,294556.297,406523.663,776302.091,737835.766,814768.416,1033275.233,960964.520,1105585.946,1126383.224,1100038.231,1152728.216,1144171.195,1102629.377,1185713.014,1402281.200,1178340.619,1626221.781,3105501.200,2951542.498,3259459.902,4133512.400,3844319.261,4422705.539,4507505.400,4402662.354,4612348.446,4580284.000,4411524.427,4749043.573
5,594293.179,550185.389,638400.968,881895.773,844481.419,919310.127,1089898.534,1023757.462,1156039.605,1167145.813,1151970.422,1182321.204,1186078.494,1147561.557,1224595.431,2971710.400,2751185.420,3192235.380,4409892.600,4222710.898,4597074.302,5450057.000,5119447.794,5780666.206,5837982.200,5762811.321,5913153.079,5936242.200,5743321.628,6129162.772
6,758027.047,713381.502,802672.591,953123.858,918541.241,987706.476,1127586.828,1063837.244,1191336.412,1192066.058,1181604.716,1202527.400,1216687.686,1179205.640,1254169.731,4548521.400,4280672.861,4816369.939,5719275.800,5511720.514,5926831.086,6766171.000,6383777.740,7148564.260,7155365.000,7092049.577,7218680.423,7306940.000,7081758.668,7532121.332
7,873997.179,823560.749,924433.609,1002539.295,965422.281,1039656.310,1153323.001,1090412.340,1216233.663,1212888.635,1204824.182,1220953.089,1233290.787,1201999.310,1264582.265,6118446.000,5765423.577,6471468.423,7018467.000,6758562.103,7278371.897,8074067.200,7633722.797,8514411.603,8494039.600,8435951.429,8552127.771,8640599.200,8421037.522,8860160.878
8,957009.388,899630.579,1014388.197,1041667.987,1006478.991,1076856.983,1173546.404,1110515.101,1236577.708,1227105.591,1219314.613,1234896.570,1245535.612,1214755.522,1276315.702,7656671.800,7197715.956,8115627.644,8334159.000,8052550.511,8615767.489,9389271.000,8885052.015,9893489.985,9820957.400,9756470.862,9885443.938,9974457.800,9727632.373,10221283.227
9,1025177.764,964828.159,1085527.370,1068509.402,1032082.105,1104936.699,1191096.779,1132267.310,1249926.248,1238622.688,1231664.060,1245581.316,1256366.412,1225705.692,1287027.132,9227303.400,8684229.735,9770377.065,9617742.200,9289737.524,9945746.876,10720901.400,10191489.775,11250313.025,11152147.800,11087535.149,11216760.451,11317959.200,11041066.712,11594851.688
10,1079710.441,1015705.333,1143715.549,1092307.514,1056426.005,1128189.023,1205466.623,1149880.671,1261052.574,1246635.480,1239405.134,1253865.825,1264024.542,1234080.232,1293968.853,10797927.200,10157953.249,11437901.151,10924688.600,10565812.248,11283564.952,12055784.000,11499966.508,12611601.492,12471079.400,12397015.641,12545143.159,12651714.600,12351458.576,12951970.624
