time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,8.959,8959,8957.876,1.594367,2.539519,5.492735,45.580287,0,0,0.000000
2.000,17.336,17336,8667.094,1.659903,2.744319,5.488639,45.580287,0,0,0.000000
3.000,25.953,25953,8650.184,1.681407,2.760703,5.312511,45.580287,0,0,0.000000
4.000,34.440,34440,8609.230,1.694719,2.801663,5.275647,45.580287,0,0,0.000000
5.000,42.532,42532,8505.633,1.712127,2.846719,5.361663,45.580287,0,0,0.000000
6.001,51.263,51263,8543.097,1.713151,2.822143,5.287935,45.580287,0,0,0.000000
7.001,60.106,60106,8585.703,1.712127,2.799615,5.214207,45.580287,0,0,0.000000
8.001,68.927,68927,8615.039,1.710079,2.785279,5.193727,45.580287,0,0,0.000000
9.001,77.570,77570,8618.069,1.712127,2.779135,5.185535,45.580287,0,0,0.000000
10.001,86.166,86166,8615.805,1.712127,2.783231,5.197823,45.580287,0,0,0.000000
11.001,94.768,94768,8614.502,1.716223,2.779135,5.181439,45.580287,0,0,0.000000
11.625,100.000,100000,8602.183,1.718271,2.783231,5.210111,45.580287,0,0,0.000000
