time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,8.876,8876,8874.809,1.602559,2.551807,5.226495,66.486271,0,0,0.000000
2.000,17.410,17410,8704.154,1.653759,2.723839,5.033983,66.486271,0,0,0.000000
3.000,25.867,25867,8621.604,1.682431,2.762751,4.972543,66.486271,0,0,0.000000
4.000,34.442,34442,8609.802,1.701887,2.775039,4.927487,66.486271,0,0,0.000000
5.000,42.881,42881,8575.517,1.711103,2.793471,4.984831,66.486271,0,0,0.000000
6.000,51.420,51420,8569.343,1.721343,2.797567,4.907007,66.486271,0,0,0.000000
7.001,59.951,59951,8563.780,1.719295,2.811903,4.984831,66.486271,0,0,0.000000
8.001,68.452,68452,8555.848,1.723391,2.813951,5.017599,66.486271,0,0,0.000000
9.001,77.033,77033,8558.586,1.725439,2.822143,4.993023,66.486271,0,0,0.000000
10.001,85.563,85563,8555.655,1.726463,2.824191,5.042175,66.486271,0,0,0.000000
11.001,94.013,94013,8545.997,1.728511,2.826239,5.050367,66.486271,0,0,0.000000
11.721,100.000,100000,8531.719,1.730559,2.836479,5.058559,66.486271,0,0,0.000000
