time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,9.486,9486,9483.919,1.580031,2.328575,4.468735,68.747263,451,9099,0.047225
2.000,19.078,19078,9537.623,1.609727,2.426879,4.427775,68.747263,933,18163,0.048858
3.001,28.647,28647,9547.354,1.626111,2.455551,4.268031,68.747263,1421,27251,0.049561
4.001,37.691,37691,9421.343,1.638399,2.527231,4.538367,68.747263,1900,35817,0.050375
5.001,46.927,46927,9384.148,1.648639,2.541567,4.530175,68.747263,2393,44558,0.050968
6.001,56.190,56190,9363.869,1.655807,2.549759,4.542463,68.747263,2854,53362,0.050768
7.001,65.379,65379,9338.786,1.665023,2.564095,4.489215,68.747263,3310,62091,0.050611
8.001,74.683,74683,9334.365,1.670143,2.564095,4.476927,68.747263,3773,70938,0.050501
9.001,83.858,83858,9316.585,1.677311,2.568191,4.452351,68.747263,4226,79664,0.050375
10.001,92.789,92789,9277.962,1.682431,2.582527,4.489215,68.747263,4694,88112,0.050579
10.814,100.000,100000,9246.885,1.685503,2.600959,4.517887,68.747263,5022,94978,0.050220
