time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,5.701,5701,5700.467,0.770047,0.936959,1.232895,44.630015,485,5222,0.084983
2.000,11.678,11678,5838.493,0.769535,0.943103,1.232895,44.630015,1073,10609,0.091851
3.000,17.632,17632,5876.868,0.769535,0.944639,1.245183,44.630015,1661,15976,0.094177
4.000,23.637,23637,5908.775,0.769023,0.945151,1.241087,44.630015,2272,21369,0.096104
5.000,29.573,29573,5914.150,0.769535,0.945663,1.235967,44.630015,2823,26754,0.095446
6.000,35.576,35576,5928.900,0.769535,0.945151,1.236991,44.630015,3439,32142,0.096653
7.000,41.547,41547,5934.862,0.769023,0.944127,1.239039,44.630015,4047,37504,0.097398
8.001,47.326,47326,5915.334,0.769535,0.949247,1.258495,44.630015,4625,42708,0.097712
9.001,53.270,53270,5918.474,0.769535,0.949759,1.259519,44.630015,5242,48032,0.098397
10.001,59.193,59193,5918.877,0.769535,0.950271,1.261567,44.630015,5836,53362,0.098584
11.001,65.084,65084,5916.310,0.770047,0.950783,1.259519,44.630015,6421,58666,0.098653
12.001,70.938,70938,5911.088,0.770559,0.951295,1.262591,44.630015,6991,63952,0.098544
13.001,76.581,76581,5890.441,0.771583,0.954879,1.292287,44.630015,7567,69020,0.098803
14.001,82.394,82394,5884.884,0.772607,0.955903,1.292287,44.630015,8150,74248,0.098910
15.001,87.962,87962,5863.705,0.773119,0.958463,1.312767,44.630015,8717,79249,0.099095
16.001,93.416,93416,5838.074,0.774143,0.965119,1.348607,44.630015,9302,84119,0.099571
17.001,99.163,99163,5832.696,0.774655,0.966655,1.350655,44.630015,9886,89283,0.099688
17.152,100.000,100000,5830.174,0.775167,0.966655,1.351679,44.630015,9972,90028,0.099720
