time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,7.228,7228,7227.479,0.548863,0.934399,1.240063,41.385983,2122,5119,0.293053
2.000,17.657,17657,8827.902,0.491519,0.924159,1.215487,41.385983,7334,10332,0.415148
3.000,28.060,28060,9352.729,0.474111,0.919039,1.220607,41.385983,12544,15527,0.446867
4.000,38.272,38272,9567.249,0.465407,0.920575,1.251327,41.385983,17689,20588,0.462131
5.000,48.305,48305,9660.277,0.459263,0.921087,1.276927,41.385983,22686,25635,0.469485
6.000,58.554,58554,9758.266,0.454655,0.919551,1.272831,41.385983,27816,30749,0.474959
7.001,68.970,68970,9852.137,0.449535,0.918527,1.264639,41.385983,33110,35869,0.480001
8.001,79.103,79103,9887.168,0.446975,0.918015,1.257471,41.385983,38137,40976,0.482057
9.001,89.399,89399,9932.522,0.443391,0.918527,1.256447,41.385983,43367,46044,0.485030
10.001,99.612,99612,9960.509,0.439807,0.919551,1.260543,41.385983,48550,51073,0.487337
10.044,100.000,100000,9956.490,0.439807,0.919551,1.260543,41.385983,48725,51275,0.487250
