time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,0.003,804,803.920,7.122943,30.228479,397.410303,509.870079,567,758,0.427925
2.000,1.234,370099,185035.566,0.001023,0.074239,0.142335,509.870079,369199,1055,0.997151
3.000,3.643,1092950,364291.360,0.001023,0.075263,0.140287,509.870079,1092018,1055,0.999035
4.000,6.061,1818285,454543.959,0.001023,0.074751,0.139263,509.870079,1817375,1055,0.999420
5.000,8.479,2543717,508713.127,0.001023,0.074751,0.138751,509.870079,2542796,1055,0.999585
6.000,10.888,3266382,544364.802,0.001023,0.075263,0.139263,509.870079,3265471,1055,0.999677
7.000,13.312,3993724,570498.267,0.001023,0.075263,0.139263,509.870079,3992802,1055,0.999736
8.000,15.729,4718818,589817.449,0.001023,0.075263,0.139263,509.870079,4717905,1055,0.999776
9.001,18.137,5441100,604531.077,0.001023,0.075263,0.139263,509.870079,5440132,1055,0.999806
10.001,20.549,6164655,616429.259,0.001023,0.075263,0.139263,509.870079,6163742,1055,0.999829
11.001,22.961,6888355,626177.239,0.001023,0.075263,0.139263,509.870079,6887428,1055,0.999847
12.001,25.370,7610860,634201.111,0.001023,0.074751,0.138751,509.870079,7609942,1055,0.999861
13.001,27.794,8338095,641354.345,0.001023,0.075263,0.138751,509.870079,8337195,1055,0.999873
14.001,30.214,9064282,647410.809,0.001023,0.074751,0.138751,509.870079,9063361,1055,0.999884
15.001,32.616,9784796,652281.655,0.001023,0.074751,0.138751,509.870079,9783860,1055,0.999892
16.001,34.999,10499577,656185.276,0.001023,0.075263,0.139263,509.870079,10498661,1055,0.999900
17.001,37.351,11205415,659103.680,0.001023,0.075263,0.139263,509.870079,11204481,1055,0.999906
18.001,39.728,11918411,662095.265,0.001023,0.075263,0.139263,509.870079,11917740,1055,0.999911
19.001,42.132,12639629,665204.804,0.001023,0.075263,0.139263,509.870079,12638723,1055,0.999917
20.001,44.543,13362960,668108.757,0.001023,0.075263,0.139263,509.870079,13362077,1055,0.999921
21.001,46.879,14063831,669666.880,0.001023,0.075263,0.139263,509.870079,14062931,1055,0.999925
22.001,49.257,14777229,671652.762,0.001023,0.075263,0.139263,509.870079,14776318,1055,0.999929
23.001,51.655,15496394,673716.687,0.001023,0.075263,0.139263,509.870079,15495475,1055,0.999932
24.001,54.046,16213777,675534.243,0.001023,0.075263,0.139263,509.870079,16212883,1055,0.999935
25.001,56.446,16933914,677316.704,0.001023,0.075775,0.139263,509.870079,16933004,1055,0.999938
26.002,58.838,17651318,678856.881,0.001023,0.075775,0.139263,509.870079,17650406,1055,0.999940
27.002,61.265,18379458,680680.663,0.001023,0.075775,0.139263,509.870079,18378541,1055,0.999943
28.002,63.676,19102837,682204.138,0.001023,0.075775,0.139263,509.870079,19101935,1055,0.999945
29.002,66.097,19829210,683725.756,0.001023,0.075263,0.139263,509.870079,19828324,1055,0.999947
30.002,68.520,20555893,685156.268,0.001023,0.075263,0.139263,509.870079,20555003,1055,0.999949
31.002,70.910,21272909,686182.548,0.001023,0.075263,0.139263,509.870079,21271997,1055,0.999950
32.002,73.276,21982844,686923.548,0.001023,0.075263,0.139263,509.870079,21981950,1055,0.999952
33.002,75.667,22700109,687841.721,0.001023,0.075263,0.139263,509.870079,22699181,1055,0.999954
34.002,78.042,23412545,688563.874,0.001023,0.075775,0.139263,509.870079,23411638,1055,0.999955
35.002,80.451,24135351,689541.039,0.001023,0.075263,0.139263,509.870079,24134456,1055,0.999956
36.002,82.856,24856825,690426.924,0.001023,0.075263,0.139775,509.870079,24855916,1055,0.999958
37.002,85.263,25578958,691282.715,0.001023,0.075263,0.139775,509.870079,25578070,1055,0.999959
38.002,87.680,26304143,692173.761,0.001023,0.075263,0.139775,509.870079,26303237,1055,0.999960
39.002,90.100,27029993,693036.965,0.001023,0.075263,0.139775,509.870079,27029087,1055,0.999961
40.002,92.491,27747158,693639.139,0.001023,0.075263,0.140287,509.870079,27746231,1055,0.999962
41.002,94.894,28468295,694308.444,0.001023,0.075263,0.140287,509.870079,28467359,1055,0.999963
42.002,97.299,29189712,694952.907,0.001023,0.075263,0.140287,509.870079,29188792,1055,0.999964
43.002,99.708,29912349,695595.751,0.001023,0.075263,0.140287,509.870079,29911423,1055,0.999965
43.124,100.000,30000000,695660.507,0.001023,0.075263,0.140287,509.870079,29998945,1055,0.999965
