time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2422,2421.817,20.447231,27.164671,35.848191,43.319295,1118,1336,0.455583
2.000,6.668,5016,2507.652,19.660799,26.869759,33.095679,43.319295,2405,2643,0.476426
3.000,10.001,7640,2546.352,19.496959,26.689535,32.063487,43.319295,3695,3977,0.481621
4.000,13.335,10170,2542.226,19.513343,26.787839,31.965183,43.319295,4979,5252,0.486658
5.001,16.668,12466,2492.943,20.119551,26.984447,32.604159,43.319295,5973,6525,0.477916
6.001,20.002,14609,2434.600,20.611071,26.869759,32.358399,43.319295,6784,7859,0.463293
7.001,23.336,16470,2352.636,21.118975,26.918911,32.030719,43.319295,7331,9171,0.444249
8.001,26.670,18355,2294.126,21.348351,26.869759,31.784959,43.319295,7892,10522,0.428587
9.001,30.003,19994,2221.324,21.528575,27.066367,33.095679,263.323647,8414,11825,0.415732
10.001,33.337,22402,2239.945,21.037055,27.000831,33.308671,265.289727,9539,12929,0.424559
11.001,36.671,25139,2285.114,20.594687,26.984447,33.374207,265.289727,10940,14281,0.433766
12.001,40.004,27710,2308.924,20.414463,27.099135,33.816575,265.289727,12197,15572,0.439231
13.001,43.338,30420,2339.758,20.201471,27.082751,33.849343,265.289727,13590,16893,0.445822
14.001,46.671,33141,2366.971,19.742719,27.099135,34.078719,265.289727,14959,18254,0.450396
15.002,50.005,35781,2385.161,19.464191,27.115519,34.275327,265.289727,16272,19577,0.453904
16.002,53.339,38623,2413.686,19.169279,26.984447,34.045951,265.289727,17666,21030,0.456533
17.002,56.672,41374,2433.517,18.956287,26.951679,33.849343,265.289727,19032,22413,0.459211
18.002,60.006,44127,2451.251,18.825215,26.869759,33.619967,265.289727,20414,23794,0.461772
19.002,63.340,46816,2463.749,18.546687,26.804223,33.685503,265.289727,21739,25151,0.463617
20.002,66.674,49570,2478.240,18.120703,26.771455,34.013183,265.289727,23091,26554,0.465122
21.002,70.008,52437,2496.726,17.661951,26.738687,33.849343,265.289727,24527,27971,0.467199
22.002,73.341,55194,2508.549,17.399807,26.722303,33.849343,265.289727,25880,29374,0.468382
23.002,76.675,58006,2521.734,17.268735,26.705919,33.652735,265.289727,27352,30714,0.471050
24.002,80.008,60805,2533.280,17.203199,26.673151,33.587199,265.289727,28786,32088,0.472878
25.003,83.342,63450,2537.742,17.203199,26.689535,33.439743,265.289727,30098,33430,0.473775
26.003,86.675,66065,2540.707,17.055743,26.771455,33.980415,265.289727,31423,34708,0.475163
27.003,90.009,68566,2539.225,17.088511,26.787839,34.209791,265.289727,32653,35975,0.475797
28.003,93.343,71809,2564.348,16.310271,26.738687,34.209791,265.289727,34300,37566,0.477277
29.003,96.676,74565,2570.951,16.310271,26.689535,34.111487,265.289727,35685,38947,0.478146
30.003,100.000,77402,2579.802,16.318463,26.623999,33.914879,265.289727,37088,40396,0.478654
