time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.218,1218,1217.755,15.851519,27.607039,122.683391,132.644863
2.000,2.625,2625,1312.330,15.015935,25.214975,104.005631,132.644863
3.000,4.080,4080,1359.850,15.384575,22.937599,80.347135,132.644863
4.000,5.530,5530,1382.366,15.319039,22.446079,60.719103,132.644863
5.000,6.930,6930,1385.862,15.269887,22.020095,74.711039,132.644863
6.001,8.480,8480,1413.201,15.007743,21.774335,59.801599,132.644863
7.001,10.128,10128,1446.709,14.827519,20.856831,51.838975,132.644863
8.001,11.336,11336,1416.837,14.991359,20.742143,58.720255,170.786815
9.001,12.712,12712,1412.267,15.040511,20.692991,63.504383,170.786815
10.001,14.225,14225,1422.311,15.015935,20.545535,61.702143,228.851711
11.001,15.607,15607,1418.633,14.991359,20.447231,67.371007,228.851711
12.001,17.031,17031,1419.073,14.934015,20.381695,73.465855,228.851711
13.002,18.619,18619,1432.059,14.843903,20.299775,67.371007,228.851711
14.002,20.194,20194,1442.247,14.827519,20.185087,59.998207,228.851711
15.002,21.455,21455,1430.146,14.893055,20.299775,69.468159,228.851711
16.002,22.906,22906,1431.444,14.917631,20.299775,63.537151,228.851711
17.002,24.343,24343,1431.752,14.925823,20.283391,69.468159,228.851711
18.002,25.853,25853,1436.093,14.909439,20.217855,64.061439,228.851711
19.002,27.266,27266,1434.873,14.925823,20.201471,63.537151,228.851711
20.003,28.634,28634,1431.516,14.950399,20.217855,66.224127,228.851711
21.003,30.167,30167,1436.334,14.983167,20.168703,62.947327,228.851711
22.003,31.366,31366,1425.543,15.024127,20.267007,69.468159,228.851711
23.003,32.881,32881,1429.420,14.999551,20.250623,67.371007,228.851711
24.003,34.203,34203,1424.924,15.024127,20.332543,68.681727,228.851711
25.003,35.738,35738,1429.323,15.032319,20.283391,65.929215,228.851711
26.004,37.091,37091,1426.377,15.073279,20.316159,63.733759,228.851711
27.004,38.465,38465,1424.427,15.073279,20.316159,64.913407,228.851711
28.004,40.030,40030,1429.443,15.056895,20.283391,63.668223,233.177087
29.004,41.578,41578,1433.521,15.032319,20.234239,62.881791,233.177087
30.004,43.061,43061,1435.160,15.032319,20.267007,61.079551,233.177087
31.004,44.625,44625,1439.313,14.999551,20.267007,58.720255,233.177087
32.004,46.057,46057,1439.082,15.015935,20.316159,58.392575,233.177087
33.005,47.490,47490,1438.889,14.999551,20.365311,58.654719,233.177087
34.005,48.749,48749,1433.595,15.032319,20.496383,58.523647,233.177087
35.005,49.964,49964,1427.341,15.065087,20.643839,61.734911,233.177087
36.005,51.440,51440,1428.690,15.056895,20.643839,60.751871,233.177087
37.005,52.598,52598,1421.366,15.073279,20.692991,63.504383,233.177087
38.005,54.037,54037,1421.827,15.081471,20.709375,61.997055,233.177087
39.005,55.566,55566,1424.572,15.081471,20.676607,60.981247,233.177087
40.005,56.996,56996,1424.705,15.065087,20.692991,60.522495,233.177087
41.006,58.298,58298,1421.710,15.065087,20.742143,62.488575,233.177087
42.006,59.559,59559,1417.877,15.073279,20.807679,63.733759,233.177087
43.006,61.167,61167,1422.296,15.032319,20.758527,63.504383,233.177087
44.006,62.737,62737,1425.646,15.024127,20.742143,61.997055,233.177087
45.006,64.322,64322,1429.178,14.991359,20.692991,61.014015,233.177087
46.006,65.918,65918,1432.802,14.974975,20.676607,60.751871,233.177087
47.007,67.376,67376,1433.332,14.991359,20.692991,59.998207,233.177087
48.007,68.823,68823,1433.610,14.999551,20.676607,59.473919,233.177087
49.007,70.332,70332,1435.144,14.999551,20.676607,58.556415,233.177087
50.007,71.642,71642,1432.640,14.999551,20.692991,58.425343,233.177087
51.007,72.893,72893,1429.068,14.991359,20.725759,60.948479,233.177087
52.008,73.314,73314,1409.681,15.007743,20.856831,68.616191,297.795583
53.008,74.725,74725,1409.700,14.999551,20.824063,69.468159,297.795583
54.008,75.926,75926,1405.831,15.015935,20.905983,70.451199,297.795583
55.008,77.216,77216,1403.720,15.015935,20.889599,69.926911,297.795583
56.008,78.340,78340,1398.725,15.024127,20.938751,71.303167,297.795583
57.008,79.335,79335,1391.641,15.024127,21.020671,73.859071,297.795583
58.008,80.466,80466,1387.147,15.040511,21.102591,75.497471,297.795583
59.008,81.804,81804,1386.313,15.056895,21.102591,73.859071,297.795583
60.008,83.238,83238,1387.107,15.056895,21.102591,74.907647,297.795583
61.008,84.408,84408,1383.547,15.073279,21.102591,73.859071,297.795583
62.009,85.804,85804,1383.743,15.065087,21.102591,73.531391,297.795583
63.009,87.289,87289,1385.345,15.065087,21.069823,73.203711,297.795583
64.009,88.897,88897,1388.821,15.040511,21.004287,72.941567,297.795583
65.009,90.177,90177,1387.146,15.032319,21.004287,73.269247,297.795583
66.009,91.250,91250,1382.385,15.040511,21.053439,76.283903,297.795583
67.009,92.265,92265,1376.900,15.048703,21.151743,76.742655,297.795583
68.009,93.611,93611,1376.445,15.065087,21.184511,76.283903,297.795583
69.009,94.815,94815,1373.944,15.073279,21.200895,76.611583,297.795583
70.009,96.246,96246,1374.758,15.089663,21.200895,75.956223,297.795583
71.009,97.489,97489,1372.901,15.114239,21.233663,75.497471,297.795583
72.010,98.862,98862,1372.901,15.114239,21.233663,73.924607,297.795583
72.732,100.000,100000,1374.915,15.106047,21.217279,73.793535,297.795583
