time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.519,1519,1518.904,15.007743,19.988479,34.832383,40.534015
2.000,3.064,3064,1531.867,14.786559,19.922943,36.044799,40.534015
3.000,4.563,4563,1520.824,14.688255,19.726335,36.143103,231.997439
4.000,6.295,6295,1573.591,14.417919,19.136511,36.012031,231.997439
5.000,7.880,7880,1575.854,14.385151,19.087359,36.077567,231.997439
6.001,9.577,9577,1596.022,14.229503,18.677759,34.930687,231.997439
7.001,11.173,11173,1595.972,14.155775,18.612223,36.044799,231.997439
8.001,12.845,12845,1605.433,14.139391,18.513919,34.045951,231.997439
9.001,14.418,14418,1601.819,14.155775,18.628607,34.832383,231.997439
10.001,15.907,15907,1590.529,14.204927,18.612223,35.782655,231.997439
11.001,17.477,17477,1588.654,14.147583,18.628607,38.010879,231.997439
12.001,19.187,19187,1598.756,14.065663,18.612223,36.044799,231.997439
13.001,20.806,20806,1600.288,14.073855,18.661375,35.651583,231.997439
14.001,22.435,22435,1602.333,14.057471,18.628607,35.749887,231.997439
15.002,24.035,24035,1602.155,14.057471,18.644991,36.044799,231.997439
16.002,25.740,25740,1608.560,14.016511,18.579455,35.028991,231.997439
17.002,27.315,27315,1606.573,14.024703,18.579455,35.913727,231.997439
18.002,29.036,29036,1612.924,13.991935,18.530303,35.323903,231.997439
19.002,30.810,30810,1621.396,13.901823,18.399231,34.865151,231.997439
20.002,32.535,32535,1626.568,13.860863,18.317311,34.865151,231.997439
21.002,34.318,34318,1634.010,13.828095,18.202623,33.521663,231.997439
22.002,36.097,36097,1640.595,13.778943,18.087935,32.718847,231.997439
23.002,37.828,37828,1644.519,13.762559,18.038783,32.686079,231.997439
24.003,39.547,39547,1647.618,13.746175,17.989631,32.423935,231.997439
25.003,41.249,41249,1649.780,13.737983,17.989631,31.784959,231.997439
26.003,42.871,42871,1648.701,13.721599,17.973247,32.129023,231.997439
27.003,44.330,44330,1641.673,13.737983,18.038783,33.619967,231.997439
28.003,45.482,45482,1624.182,13.737983,18.137087,35.946495,231.997439
29.003,46.736,46736,1611.415,13.762559,18.300927,37.519359,231.997439
30.003,47.358,47358,1578.435,13.778943,18.399231,41.222143,480.772095
31.003,49.086,49086,1583.253,13.778943,18.333695,40.665087,480.772095
32.003,50.456,50456,1576.584,13.819903,18.497535,41.123839,480.772095
33.003,51.872,51872,1571.715,13.819903,18.513919,45.907967,480.772095
34.004,53.537,53537,1574.449,13.828095,18.513919,45.481983,480.772095
35.004,55.031,55031,1572.140,13.836287,18.563071,45.613055,480.772095
36.004,56.606,56606,1572.214,13.836287,18.595839,44.466175,480.772095
37.004,58.059,58059,1568.990,13.852671,18.677759,45.514751,480.772095
38.004,59.491,59491,1565.383,13.869055,18.743295,45.875199,480.772095
39.004,60.315,60315,1546.367,13.877247,18.857983,51.412991,480.772095
40.004,60.765,60765,1518.957,13.893631,18.972671,55.410687,480.772095
41.005,62.256,62256,1518.270,13.926399,19.038207,54.886399,480.772095
42.005,63.872,63872,1520.593,13.926399,19.038207,54.165503,480.772095
43.005,65.413,65413,1521.065,13.934591,19.038207,54.657023,480.772095
44.005,66.985,66985,1522.221,13.942783,19.054591,53.477375,480.772095
45.005,68.533,68533,1522.786,13.959167,19.087359,52.428799,480.772095
46.005,70.175,70175,1525.376,13.959167,19.087359,52.133887,480.772095
47.005,71.842,71842,1528.382,13.942783,19.070975,51.380223,480.772095
48.005,73.479,73479,1530.638,13.950975,19.070975,50.298879,480.772095
49.006,75.143,75143,1533.358,13.942783,19.021823,49.479679,480.772095
50.006,76.663,76663,1533.085,13.942783,19.021823,50.724863,480.772095
51.006,78.178,78178,1532.728,13.950975,19.038207,49.971199,480.772095
52.006,79.630,79630,1531.171,13.967359,19.087359,50.266111,480.772095
53.006,81.285,81285,1533.505,13.967359,19.054591,49.545215,480.772095
54.006,82.892,82892,1534.864,13.967359,19.070975,48.889855,480.772095
55.006,83.828,83828,1523.975,13.983743,19.169279,52.330495,480.772095
56.006,85.202,85202,1521.293,14.000127,19.202047,52.461567,480.772095
57.007,86.569,86569,1518.581,14.016511,19.251199,52.527103,480.772095
58.007,88.155,88155,1519.738,14.024703,19.234815,52.428799,480.772095
59.007,89.726,89726,1520.604,14.024703,19.218431,52.494335,480.772095
60.007,91.445,91445,1523.905,14.024703,19.169279,52.199423,480.772095
61.007,93.044,93044,1525.135,14.024703,19.152895,51.773439,480.772095
62.007,94.725,94725,1527.646,14.008319,19.152895,51.314687,480.772095
63.007,96.435,96435,1530.537,14.000127,19.103743,50.298879,480.772095
64.008,98.081,98081,1532.335,13.991935,19.103743,50.036735,480.772095
65.008,99.696,99696,1533.605,14.000127,19.087359,49.217535,480.772095
65.204,100.000,100000,1533.649,14.000127,19.087359,49.151999,480.772095
