time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.038,1038,1037.900,14.401535,20.316159,30.408703,35.651583
2.000,2.117,2117,1058.418,14.049279,19.955711,31.490047,43.974655
3.000,3.177,3177,1058.872,14.237695,19.873791,30.195711,43.974655
4.001,4.124,4124,1030.857,14.229503,20.889599,34.668543,57.573375
5.001,4.905,4905,980.879,14.270463,22.036479,52.166655,146.669567
6.001,5.541,5541,923.396,14.548991,25.427967,59.506687,146.669567
7.001,6.052,6052,864.480,14.581759,25.722879,82.706431,413.138943
8.001,7.037,7037,879.536,14.516223,25.640959,76.283903,413.138943
9.001,7.942,7942,882.357,14.811135,24.657919,73.138175,413.138943
10.001,8.905,8905,890.403,14.909439,23.298047,59.736063,413.138943
11.001,9.869,9869,897.076,14.950399,22.675455,57.573375,413.138943
12.001,10.655,10655,887.806,15.007743,23.298047,57.573375,413.138943
13.002,11.589,11589,891.348,15.196159,22.839295,55.934975,413.138943
14.002,12.539,12539,895.533,15.286271,22.380543,54.820863,413.138943
15.002,13.465,13465,897.558,15.400959,22.102015,54.460415,413.138943
16.002,14.328,14328,895.393,15.597567,22.052863,52.789247,413.138943
17.002,15.213,15213,894.770,15.753215,21.970943,52.133887,413.138943
18.002,16.227,16227,901.383,15.712255,21.741567,50.724863,413.138943
19.003,17.050,17050,897.248,15.998975,21.856255,49.774591,413.138943
20.003,17.964,17964,898.081,16.089087,21.774335,48.562175,413.138943
21.003,18.826,18826,896.360,16.261119,21.708799,46.923775,413.138943
22.003,19.647,19647,892.933,16.490495,21.512191,46.891007,413.138943
23.003,20.641,20641,897.324,16.433151,21.364735,46.235647,413.138943
24.003,21.546,21546,897.642,16.556031,21.299199,46.006271,413.138943
25.003,22.543,22543,901.611,16.490495,21.266431,45.055999,413.138943
26.003,23.449,23449,901.773,16.580607,21.200895,44.171263,413.138943
27.003,24.325,24325,900.811,16.719871,21.200895,43.679743,413.138943
28.004,24.539,24539,876.279,16.793599,21.299199,46.563327,419.954687
29.004,25.078,25078,864.647,16.957439,21.790719,49.938431,419.954687
30.004,25.538,25538,851.159,17.121279,22.298623,54.722559,419.954687
31.004,26.110,26110,842.150,17.268735,22.626303,59.375615,419.954687
32.004,26.850,26850,838.952,17.448959,22.872063,58.916863,419.954687
33.004,27.733,27733,840.285,17.399807,22.888447,57.573375,419.954687
34.004,28.703,28703,844.095,17.285119,22.872063,56.754175,419.954687
35.005,29.815,29815,851.744,17.006591,22.773759,54.886399,419.954687
36.005,30.909,30909,858.470,16.826367,22.642687,54.460415,419.954687
37.005,31.956,31956,863.564,16.695295,22.511615,53.575679,419.954687
38.005,33.026,33026,868.991,16.531455,22.364159,52.264959,419.954687
39.005,34.085,34085,873.860,16.408575,22.265855,51.871743,419.954687
40.005,34.446,34446,861.038,16.441343,22.495231,57.311231,419.954687
41.005,34.617,34617,844.206,16.474111,22.675455,64.913407,419.954687
42.006,35.106,35106,835.745,16.556031,22.904831,73.334783,419.954687
43.006,35.624,35624,828.356,16.678911,23.379967,75.169791,419.954687
44.006,36.020,36020,818.530,16.769023,24.051711,79.691775,419.954687
45.006,36.332,36332,807.274,16.842751,24.969215,80.936959,419.954687
46.006,36.623,36623,796.051,16.908287,25.886719,82.051071,419.954687
47.006,36.756,36756,781.942,16.941055,26.509311,96.731135,419.954687
48.006,36.822,36822,767.025,16.957439,26.722303,109.314047,511.180799
49.006,36.850,36850,751.942,16.957439,26.804223,119.472127,911.736831
50.007,36.870,36870,737.302,16.973823,26.869759,121.831423,911.736831
51.007,36.897,36897,723.373,16.973823,26.968063,128.385023,911.736831
52.007,36.928,36928,710.057,16.990207,27.099135,140.640255,911.736831
53.007,37.045,37045,698.866,17.006591,27.770879,156.631039,911.736831
54.007,37.137,37137,687.627,17.039359,28.180479,170.655743,911.736831
55.008,37.208,37208,676.415,17.055743,28.524543,201.850879,911.736831
56.008,37.234,37234,664.801,17.055743,28.573695,223.739903,911.736831
