time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.195,1195,1194.954,13.000703,16.711679,20.955135,29.523967
2.000,2.393,2393,1196.445,12.877823,16.244735,22.872063,38.273023
3.000,3.509,3509,1169.608,12.918783,16.195583,32.309247,74.252287
4.000,4.638,4638,1159.438,13.008895,16.678911,30.441471,74.252287
5.000,5.900,5900,1179.935,12.894207,16.203775,26.574847,74.252287
6.000,7.127,7127,1187.760,12.820479,16.064511,27.492351,74.252287
7.000,8.359,8359,1194.062,12.787711,15.900671,26.574847,74.252287
8.001,9.469,9469,1183.525,12.845055,16.220159,28.065791,74.252287
9.001,10.688,10688,1187.440,12.836863,16.064511,27.148287,74.252287
10.001,11.883,11883,1188.177,12.845055,16.039935,27.148287,74.252287
11.001,13.064,13064,1187.503,12.820479,15.966207,27.508735,74.252287
12.001,14.163,14163,1180.123,12.812287,16.039935,30.900223,74.252287
13.001,15.397,15397,1184.258,12.779519,15.908863,28.671999,229.638143
14.001,16.485,16485,1177.378,12.795903,16.007167,29.523967,229.638143
15.002,17.455,17455,1163.538,12.877823,16.523263,31.817727,229.638143
16.002,18.267,18267,1141.565,12.976127,18.153471,31.916031,229.638143
17.002,19.337,19337,1137.347,12.967935,18.006015,31.866879,240.386047
18.002,20.395,20395,1132.938,13.008895,18.120703,31.916031,240.386047
19.002,21.535,21535,1133.306,13.017087,18.022399,31.866879,240.386047
20.002,22.759,22759,1137.834,12.984319,17.776639,31.834111,240.386047
21.002,23.781,23781,1132.315,13.033471,18.448383,31.768575,240.386047
22.002,24.718,24718,1123.435,13.090815,19.251199,31.834111,240.386047
23.002,25.815,25815,1122.283,13.099007,19.283967,31.866879,240.386047
24.002,26.996,26996,1124.719,13.090815,19.169279,31.834111,240.386047
25.003,28.102,28102,1123.963,13.099007,19.152895,31.801343,240.386047
26.003,29.260,29260,1125.263,13.090815,18.989055,31.834111,240.386047
27.003,30.450,30450,1127.658,13.082623,18.825215,31.834111,240.386047
28.003,31.633,31633,1129.627,13.066239,18.661375,31.817727,240.386047
29.003,32.530,32530,1121.604,13.115391,19.546111,31.866879,240.386047
30.003,33.182,33182,1105.950,13.164543,19.824639,32.456703,240.386047
31.003,33.870,33870,1092.467,13.156351,19.841023,34.570239,240.386047
32.003,34.529,34529,1078.919,13.139967,19.841023,35.291135,240.386047
33.003,35.299,35299,1069.556,13.123583,19.824639,38.273023,240.386047
34.004,36.128,36128,1062.469,13.099007,19.824639,43.089919,240.386047
35.004,36.901,36901,1054.193,13.090815,19.824639,47.087615,240.386047
36.004,37.602,37602,1044.381,13.090815,19.824639,53.673983,240.386047
37.004,38.351,38351,1036.397,13.066239,19.824639,74.186751,240.386047
38.004,39.082,39082,1028.356,13.058047,19.808255,99.811327,240.386047
39.004,39.848,39848,1021.626,13.058047,19.791871,138.280959,240.386047
40.005,41.026,41026,1025.530,13.058047,19.759103,100.073471,240.386047
41.005,42.001,42001,1024.293,13.066239,19.759103,99.876863,240.386047
42.005,43.228,43228,1029.117,13.049855,19.693567,97.452031,240.386047
43.005,44.424,44424,1032.996,13.033471,19.628031,92.471295,240.386047
44.005,45.599,45599,1036.220,13.025279,19.529727,89.653247,240.386047
45.005,46.782,46782,1039.479,13.017087,19.431423,83.755007,240.386047
