time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,2.005,2005,2004.870,0.008191,19.955711,44.236799,87.949311
2.000,5.405,5405,2702.295,0.003071,19.742719,24.739839,87.949311
3.000,10.692,10692,3563.750,0.002047,16.261119,23.150591,232.914943
4.000,18.931,18931,4732.426,0.002559,13.746175,21.594111,232.914943
5.000,30.644,30644,6128.392,0.002559,12.730367,20.479999,232.914943
6.000,42.645,42645,7106.990,0.003071,12.255231,20.119551,232.914943
7.001,51.697,51697,7384.734,0.003071,12.214271,20.250623,232.914943
8.001,59.708,59708,7462.831,0.003583,12.206079,20.332543,232.914943
9.001,70.297,70297,7809.975,0.003583,12.034047,20.217855,232.914943
10.001,81.692,81692,8168.364,0.004095,11.837439,20.119551,232.914943
11.001,90.144,90144,8194.090,0.004095,11.845631,20.152319,232.914943
12.001,97.285,97285,8106.222,0.004607,11.886591,20.185087,232.914943
12.379,100.000,100000,8077.990,0.004607,11.894783,20.185087,232.914943
