time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.613,1613,1612.908,14.622719,18.726911,25.444351,27.770879
2.000,3.323,3323,1661.270,14.213119,17.907711,23.511039,27.770879
3.000,4.968,4968,1655.830,14.262271,17.973247,23.281663,27.770879
4.000,6.549,6549,1637.098,14.311423,18.399231,24.690687,30.670847
5.000,8.183,8183,1636.459,14.360575,18.284543,23.838719,30.670847
6.000,9.808,9808,1634.533,14.376959,18.382847,23.592959,30.670847
7.001,11.396,11396,1627.872,14.434303,18.563071,24.051711,30.670847
8.001,12.839,12839,1604.723,14.622719,18.923519,24.641535,40.435711
9.001,14.418,14418,1601.829,14.671871,18.939903,24.297471,40.435711
10.001,15.245,15245,1524.321,14.696447,18.989055,25.739263,597.688319
11.001,16.495,16495,1499.369,14.737407,19.120127,26.542079,597.688319
12.001,18.048,18048,1503.830,14.761983,19.136511,26.378239,597.688319
13.001,19.586,19586,1506.452,14.786559,19.202047,25.952255,597.688319
14.001,21.151,21151,1510.627,14.811135,19.185663,25.640959,597.688319
15.002,22.713,22713,1514.045,14.827519,19.202047,25.313279,597.688319
16.002,24.271,24271,1516.772,14.852095,19.202047,25.067519,597.688319
17.002,25.836,25836,1519.590,14.860287,19.185663,24.920063,597.688319
18.002,27.459,27459,1525.317,14.827519,19.136511,24.788991,597.688319
19.002,29.112,29112,1532.024,14.794751,19.087359,24.641535,597.688319
20.002,30.137,30137,1506.671,14.811135,19.234815,27.295743,597.688319
21.003,31.681,31681,1508.429,14.786559,19.251199,27.836415,597.688319
22.003,33.296,33296,1513.259,14.778367,19.218431,27.672575,597.688319
23.003,34.885,34885,1516.547,14.770175,19.218431,27.377663,597.688319
24.003,36.508,36508,1520.973,14.761983,19.202047,27.295743,597.688319
25.003,38.132,38132,1525.080,14.753791,19.169279,26.869759,597.688319
26.003,39.731,39731,1527.917,14.745599,19.185663,26.673151,597.688319
27.003,41.271,41271,1528.361,14.745599,19.251199,26.771455,597.688319
28.003,42.024,42024,1500.670,14.770175,19.447807,39.190527,597.688319
29.004,43.538,43538,1501.116,14.786559,19.546111,35.848191,597.688319
30.004,45.186,45186,1506.001,14.761983,19.496959,34.865151,597.688319
31.004,46.822,46822,1510.184,14.737407,19.447807,34.734079,597.688319
32.004,48.462,48462,1514.234,14.721023,19.398655,34.471935,597.688319
33.004,50.154,50154,1519.617,14.696447,19.316735,32.358399,597.688319
34.004,51.766,51766,1522.331,14.688255,19.316735,30.507007,597.688319
35.005,53.373,53373,1524.746,14.680063,19.300351,29.868031,597.688319
36.005,55.013,55013,1527.942,14.671871,19.267583,28.868607,597.688319
37.005,56.634,56634,1530.454,14.663679,19.251199,28.540927,597.688319
38.005,58.211,58211,1531.677,14.671871,19.234815,28.229631,597.688319
39.005,59.813,59813,1533.477,14.671871,19.234815,27.836415,597.688319
40.005,61.300,61300,1532.313,14.688255,19.316735,27.721727,597.688319
41.005,62.791,62791,1531.304,14.704639,19.398655,27.803647,597.688319
42.005,64.404,64404,1533.241,14.696447,19.382271,27.672575,597.688319
43.005,66.051,66051,1535.882,14.680063,19.333119,27.475967,597.688319
44.005,67.584,67584,1535.814,14.688255,19.365887,27.475967,597.688319
45.005,68.587,68587,1523.973,14.696447,19.365887,27.951103,597.688319
46.005,69.812,69812,1517.472,14.696447,19.382271,27.721727,597.688319
47.006,71.348,71348,1517.858,14.696447,19.415039,27.754495,597.688319
48.006,72.817,72817,1516.834,14.712831,19.464191,27.688959,597.688319
49.006,74.386,74386,1517.895,14.712831,19.464191,27.639807,597.688319
50.006,75.916,75916,1518.134,14.729215,19.464191,27.525119,597.688319
51.006,77.400,77400,1517.456,14.745599,19.513343,27.443199,597.688319
52.006,78.902,78902,1517.157,14.753791,19.529727,27.377663,597.688319
53.007,80.442,80442,1517.586,14.761983,19.529727,27.361279,597.688319
54.007,82.008,82008,1518.477,14.770175,19.529727,27.328511,597.688319
55.007,83.515,83515,1518.262,14.778367,19.529727,27.443199,597.688319
56.007,84.032,84032,1500.381,14.778367,19.546111,28.033023,597.688319
57.007,85.575,85575,1501.123,14.778367,19.562495,27.967487,597.688319
58.007,87.124,87124,1501.947,14.786559,19.562495,27.836415,597.688319
59.007,88.619,88619,1501.828,14.802943,19.578879,27.754495,597.688319
60.008,90.105,90105,1501.559,14.811135,19.611647,28.246015,597.688319
61.008,91.657,91657,1502.381,14.811135,19.611647,28.033023,597.688319
62.008,93.199,93199,1503.015,14.819327,19.628031,27.967487,597.688319
63.008,94.715,94715,1503.216,14.827519,19.644415,27.836415,597.688319
64.008,96.231,96231,1503.413,14.835711,19.644415,27.803647,597.688319
65.008,97.728,97728,1503.313,14.843903,19.677183,27.754495,597.688319
66.008,99.307,99307,1504.458,14.843903,19.660799,27.656191,597.688319
66.464,100.000,100000,1504.564,14.843903,19.660799,27.623423,597.688319
