time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,0.989,989,988.941,14.573567,20.725759,64.389119,67.895295
2.000,1.774,1774,886.948,14.811135,20.922367,96.796671,132.972543
3.000,2.870,2870,956.609,14.270463,20.578303,72.876031,132.972543
4.000,3.958,3958,989.416,14.196735,19.709951,71.041023,132.972543
5.001,5.158,5158,1031.490,13.844479,19.152895,66.781183,132.972543
6.001,6.117,6117,1019.371,14.073855,20.004863,61.472767,132.972543
7.001,6.848,6848,978.169,14.352383,20.299775,68.485119,132.972543
8.001,7.802,7802,975.141,14.483455,20.348927,66.846719,132.972543
9.001,8.721,8721,968.894,14.688255,20.447231,65.011711,132.972543
10.001,9.342,9342,934.096,14.917631,21.020671,68.091903,132.972543
11.001,10.213,10213,928.344,15.212543,20.905983,66.846719,132.972543
12.002,11.209,11209,933.966,15.196159,20.774911,66.256895,132.972543
13.002,12.088,12088,929.724,15.384575,20.856831,64.421887,132.972543
14.002,12.933,12933,923.659,15.695871,20.824063,60.686335,132.972543
15.002,13.923,13923,928.069,15.720447,20.742143,58.458111,132.972543
16.002,14.653,14653,915.685,16.015359,20.807679,61.210623,132.972543
17.002,15.549,15549,914.524,16.121855,20.824063,60.817407,132.972543
18.002,16.332,16332,907.210,16.023551,20.922367,66.322431,251.658239
19.003,17.461,17461,918.879,15.695871,20.791295,65.175551,251.658239
20.003,18.390,18390,919.379,15.843327,20.742143,64.389119,251.658239
21.003,19.295,19295,918.692,15.974399,20.692991,60.784639,251.658239
22.003,20.225,20225,919.200,16.048127,20.643839,60.686335,251.658239
23.003,21.035,21035,914.445,16.015359,20.676607,65.470463,251.658239
24.003,21.801,21801,908.258,16.113663,20.774911,65.503231,251.658239
25.003,22.608,22608,904.206,16.400383,20.725759,65.011711,251.658239
26.003,23.520,23520,904.502,16.482303,20.692991,61.538303,251.658239
27.003,24.320,24320,900.626,16.809983,20.660223,60.784639,251.658239
28.004,25.138,25138,897.672,17.055743,20.627455,60.719103,251.658239
29.004,25.986,25986,895.954,17.219583,20.611071,60.653567,251.658239
30.004,26.977,26977,899.117,17.137663,20.578303,58.425343,251.658239
31.004,27.721,27721,894.111,17.334271,20.594687,61.505535,251.658239
32.004,28.366,28366,886.324,17.268735,20.627455,67.436543,251.658239
33.004,29.248,29248,886.191,17.367039,20.611071,66.846719,251.658239
34.004,30.124,30124,885.886,17.498111,20.611071,66.256895,251.658239
35.005,31.078,31078,887.827,17.481727,20.611071,65.077247,251.658239
36.005,31.896,31896,885.885,17.727487,20.594687,63.864831,251.658239
37.005,32.773,32773,885.640,17.842175,20.578303,61.767679,251.658239
38.005,33.729,33729,887.490,17.793023,20.561919,61.210623,251.658239
39.005,34.661,34661,888.627,17.645567,20.578303,63.111167,251.658239
40.005,35.170,35170,879.133,17.629183,20.578303,68.026367,254.410751
41.005,36.190,36190,882.567,17.481727,20.561919,66.846719,254.410751
42.006,37.163,37163,884.715,17.416191,20.545535,66.256895,254.410751
43.006,38.090,38090,885.695,17.432575,20.545535,65.077247,254.410751
44.006,38.929,38929,884.631,17.596415,20.545535,64.421887,254.410751
45.006,39.826,39826,884.904,17.629183,20.545535,63.111167,254.410751
46.006,40.698,40698,884.622,17.711103,20.529151,61.734911,254.410751
47.006,41.498,41498,882.820,17.924095,20.529151,60.817407,254.410751
48.006,42.042,42042,875.760,17.956863,20.561919,66.322431,254.410751
49.006,42.915,42915,875.701,18.087935,20.561919,66.158591,254.410751
50.007,43.746,43746,874.803,18.235391,20.545535,65.568767,254.410751
51.007,44.621,44621,874.803,18.350079,20.529151,65.503231,254.410751
52.007,45.511,45511,875.092,18.399231,20.529151,65.110015,254.410751
53.007,46.351,46351,874.430,18.579455,20.512767,64.487423,254.410751
54.007,47.310,47310,875.995,18.481151,20.512767,63.864831,254.410751
55.007,48.128,48128,874.937,18.743295,20.512767,61.767679,254.410751
56.008,49.015,49015,875.149,18.792447,20.512767,61.472767,254.410751
57.008,49.882,49882,875.003,18.726911,20.529151,61.472767,254.410751
58.008,50.765,50765,875.137,18.644991,20.529151,61.210623,254.410751
59.008,51.601,51601,874.468,18.710527,20.545535,60.784639,254.410751
60.009,52.566,52566,875.974,18.513919,20.545535,60.686335,254.410751
61.009,53.441,53441,875.957,18.563071,20.561919,60.588031,254.410751
62.009,54.353,54353,876.535,18.431999,20.561919,60.686335,254.410751
63.009,55.345,55345,878.365,18.284543,20.561919,60.588031,254.410751
64.009,56.343,56343,880.233,18.169855,20.561919,59.375615,254.410751
65.009,57.103,57103,878.383,18.186239,20.594687,60.588031,254.410751
66.010,57.928,57928,877.569,18.104319,20.611071,60.686335,254.410751
67.010,58.842,58842,878.110,18.055167,20.627455,60.653567,254.410751
68.010,59.734,59734,878.311,18.055167,20.643839,60.588031,254.410751
69.010,60.471,60471,876.262,18.104319,20.660223,60.686335,254.410751
70.010,61.407,61407,877.115,18.038783,20.660223,60.620799,254.410751
71.010,62.318,62318,877.591,18.022399,20.676607,60.293119,254.410751
72.010,63.337,63337,879.553,17.907711,20.660223,59.375615,254.410751
73.011,64.422,64422,882.366,17.760255,20.660223,58.982399,254.410751
74.011,65.536,65536,885.495,17.612799,20.643839,58.458111,254.410751
75.011,66.721,66721,889.487,17.416191,20.611071,58.359807,254.410751
76.011,67.833,67833,892.413,17.285119,20.594687,56.262655,254.410751
77.011,68.795,68795,893.314,17.219583,20.594687,55.508991,254.410751
78.011,69.858,69858,895.489,17.121279,20.594687,54.657023,254.410751
79.011,70.953,70953,898.013,17.006591,20.578303,54.296575,254.410751
