time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,1.165,1165,1164.747,13.336575,17.219583,22.691839,27.197439
2.000,2.259,2259,1129.343,13.385727,17.137663,25.870335,87.490559
3.000,2.835,2835,944.844,14.090239,25.608191,52.101119,87.490559
4.001,3.742,3742,935.365,14.516223,25.542655,49.872895,87.490559
5.001,4.529,4529,905.684,14.753791,25.935871,63.832063,89.653247
6.001,5.169,5169,861.399,15.196159,27.197439,65.634303,89.653247
7.001,6.036,6036,862.178,15.925247,26.263551,63.799295,89.653247
8.001,7.004,7004,875.391,15.933439,24.281087,63.176703,89.653247
9.001,7.988,7988,887.452,15.630335,23.773183,61.702143,89.653247
10.001,8.964,8964,896.286,15.720447,23.003135,59.080703,89.653247
11.001,9.830,9830,893.517,15.884287,22.970367,58.392575,89.653247
12.002,10.734,10734,894.386,15.990783,22.691839,58.261503,89.653247
13.002,11.584,11584,890.968,16.416767,22.298623,57.245695,89.653247
14.002,12.564,12564,897.322,16.383999,21.905407,56.459263,89.653247
15.002,13.613,13613,907.421,16.203775,21.561343,54.394879,89.653247
16.002,14.591,14591,911.816,16.171007,21.430271,53.772287,89.653247
17.002,15.424,15424,907.173,16.441343,21.315583,53.870591,99.418111
18.002,16.400,16400,910.994,16.310271,21.217279,52.199423,99.418111
19.002,17.354,17354,913.254,16.326655,21.118975,52.133887,99.418111
20.002,18.219,18219,910.837,16.539647,21.020671,51.576831,99.418111
21.003,19.123,19123,910.509,16.728063,20.955135,51.085311,99.418111
22.003,20.076,20076,912.433,16.744447,20.807679,51.150847,99.418111
23.003,20.988,20988,912.411,16.793599,20.725759,50.757631,99.418111
24.003,21.972,21972,915.386,16.752639,20.660223,49.807359,99.418111
25.003,22.925,22925,916.883,16.769023,20.578303,47.513599,99.418111
26.003,23.880,23880,918.341,16.777215,20.545535,47.316991,99.418111
27.004,24.789,24789,917.991,16.736255,20.578303,49.872895,99.418111
28.004,25.847,25847,922.989,16.572415,20.512767,49.709055,99.418111
29.004,26.818,26818,924.642,16.539647,20.496383,47.448063,99.418111
30.004,27.711,27711,923.586,16.711679,20.479999,47.087615,99.418111
31.004,28.741,28741,927.016,16.580607,20.447231,45.219839,99.418111
32.004,29.664,29664,926.884,16.662527,20.430847,44.892159,99.418111
33.004,30.686,30686,929.760,16.556031,20.414463,44.335103,99.418111
34.004,31.650,31650,930.762,16.564223,20.398079,44.269567,99.418111
35.004,32.648,32648,932.681,16.474111,20.398079,43.646975,99.418111
36.005,33.667,33667,935.077,16.416767,20.398079,43.384831,99.418111
37.005,34.479,34479,931.747,16.416767,20.430847,44.761087,118.489087
38.005,35.200,35200,926.200,16.465919,20.479999,47.087615,118.489087
39.005,36.088,36088,925.216,16.506879,20.479999,45.285375,118.489087
40.005,37.100,37100,927.381,16.457727,20.463615,45.121535,118.489087
41.005,38.075,38075,928.537,16.457727,20.447231,44.761087,118.489087
42.005,38.861,38861,925.143,16.474111,20.447231,45.121535,172.359679
43.006,39.833,39833,926.230,16.441343,20.463615,45.219839,172.359679
44.006,40.823,40823,927.677,16.424959,20.463615,45.055999,172.359679
45.006,41.762,41762,927.928,16.457727,20.447231,44.695551,172.359679
46.006,42.757,42757,929.383,16.424959,20.447231,44.302335,172.359679
47.006,43.752,43752,930.775,16.408575,20.430847,44.236799,172.359679
48.006,44.738,44738,931.921,16.392191,20.430847,43.515903,172.359679
49.006,45.782,45782,934.204,16.343039,20.414463,43.352063,172.359679
50.007,46.787,46787,935.618,16.310271,20.398079,43.155455,172.359679
51.007,47.752,47752,936.193,16.310271,20.398079,42.893311,172.359679
52.007,48.738,48738,937.149,16.285695,20.381695,42.500095,172.359679
53.007,49.723,49723,938.051,16.277503,20.398079,42.434559,172.359679
54.007,50.509,50509,935.232,16.261119,20.414463,42.926079,172.359679
55.007,51.447,51447,935.279,16.285695,20.414463,42.663935,172.359679
56.007,52.452,52452,936.520,16.252927,20.414463,42.467327,172.359679
57.008,53.376,53376,936.297,16.293887,20.414463,42.401791,172.359679
58.008,54.177,54177,933.964,16.310271,20.430847,43.024383,172.359679
59.008,55.160,55160,934.794,16.302079,20.414463,42.762239,172.359679
60.008,56.081,56081,934.563,16.326655,20.430847,42.467327,172.359679
61.008,57.085,57085,935.698,16.293887,20.430847,42.401791,172.359679
62.008,58.059,58059,936.313,16.302079,20.414463,41.877503,172.359679
63.008,58.886,58886,934.575,16.318463,20.430847,42.926079,172.359679
64.009,59.713,59713,932.891,16.408575,20.430847,42.663935,172.359679
65.009,60.734,60734,934.246,16.383999,20.414463,42.467327,172.359679
66.009,61.685,61685,934.499,16.367615,20.414463,42.434559,172.359679
67.009,62.744,62744,936.356,16.310271,20.398079,42.336255,172.359679
68.009,63.388,63388,932.054,16.367615,20.430847,44.204031,172.359679
69.009,63.675,63675,922.704,16.400383,20.463615,49.741823,172.359679
70.009,64.464,64464,920.791,16.424959,20.479999,50.855935,172.359679
71.010,65.347,65347,920.256,16.474111,20.479999,50.757631,172.359679
72.010,66.298,66298,920.683,16.482303,20.479999,49.938431,172.359679
73.010,67.274,67274,921.439,16.474111,20.463615,49.774591,172.359679
74.010,68.132,68132,920.579,16.474111,20.496383,50.331647,172.359679
75.010,69.133,69133,921.649,16.457727,20.479999,49.840127,172.359679
76.010,69.812,69812,918.456,16.457727,20.496383,52.166655,172.359679
77.010,70.731,70731,918.461,16.474111,20.496383,52.101119,172.359679
78.011,71.655,71655,918.529,16.482303,20.496383,51.314687,172.359679
79.011,72.519,72519,917.838,16.539647,20.496383,51.150847,172.359679
80.011,73.395,73395,917.315,16.564223,20.496383,51.281919,172.359679
81.011,74.333,74333,917.568,16.588799,20.479999,51.085311,172.359679
82.011,75.080,75080,915.486,16.646143,20.496383,51.937279,172.359679
83.011,75.886,75886,914.165,16.637951,20.512767,52.985855,172.359679
84.012,76.767,76767,913.767,16.687103,20.496383,52.166655,172.359679
85.012,77.628,77628,913.146,16.687103,20.512767,53.116927,172.359679
86.012,78.566,78566,913.434,16.695295,20.512767,52.985855,172.359679
87.012,79.457,79457,913.176,16.703487,20.512767,52.166655,172.359679
88.012,80.380,80380,913.287,16.703487,20.529151,52.101119,172.359679
