time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max
1.000,0.975,975,974.940,14.516223,20.021247,29.523967,239.992831
2.000,2.063,2063,1031.418,13.803519,19.496959,70.516735,239.992831
3.000,3.164,3164,1054.540,13.631487,19.283967,41.123839,239.992831
4.001,4.280,4280,1069.819,13.451263,18.939903,42.500095,239.992831
5.001,5.469,5469,1093.639,13.311999,18.628607,38.436863,239.992831
6.001,6.631,6631,1105.020,13.221887,18.333695,38.404095,239.992831
7.001,7.705,7705,1100.580,13.295615,18.366463,38.469631,239.992831
8.001,8.884,8884,1110.355,13.213695,18.186239,39.288831,239.992831
9.001,9.911,9911,1101.068,13.320191,18.874367,38.404095,239.992831
10.001,10.814,10814,1081.241,13.492223,19.791871,38.699007,239.992831
11.002,11.767,11767,1069.564,13.565951,19.922943,40.042495,239.992831
12.002,12.748,12748,1062.179,13.639679,19.988479,39.288831,239.992831
13.002,13.897,13897,1068.852,13.557759,19.955711,39.845887,239.992831
14.002,15.142,15142,1081.428,13.459455,19.873791,38.436863,239.992831
15.002,16.305,16305,1086.860,13.402111,19.841023,37.486591,239.992831
16.002,16.983,16983,1061.301,13.443071,19.922943,46.596095,239.992831
17.002,18.130,18130,1066.329,13.410303,19.890175,46.628863,239.992831
18.002,19.318,19318,1073.075,13.393919,19.791871,46.137343,239.992831
19.003,20.495,20495,1078.541,13.344767,19.742719,46.137343,239.992831
20.003,21.688,21688,1084.260,13.303807,19.660799,46.137343,239.992831
21.003,22.861,22861,1088.482,13.271039,19.595263,44.662783,239.992831
22.003,24.075,24075,1094.184,13.230079,19.546111,44.007423,239.992831
23.003,24.937,24937,1084.089,13.295615,19.742719,44.597247,239.992831
24.003,25.900,25900,1079.041,13.344767,19.841023,44.040191,239.992831
25.003,26.879,26879,1075.036,13.344767,19.857407,44.662783,239.992831
26.003,28.101,28101,1080.685,13.311999,19.791871,44.040191,239.992831
27.003,29.245,29245,1083.022,13.271039,19.742719,44.597247,239.992831
28.003,30.279,30279,1081.264,13.271039,19.791871,44.662783,239.992831
29.004,31.370,31370,1081.591,13.279231,19.759103,46.071807,239.992831
30.004,32.572,32572,1085.601,13.262847,19.709951,44.597247,239.992831
31.004,33.751,33751,1088.612,13.246463,19.660799,44.204031,239.992831
32.004,34.807,34807,1087.590,13.262847,19.660799,44.433407,239.992831
33.004,35.973,35973,1089.964,13.246463,19.628031,44.007423,239.992831
34.004,36.972,36972,1087.283,13.246463,19.611647,45.252607,239.992831
35.004,38.144,38144,1089.697,13.230079,19.578879,44.793855,239.992831
36.004,39.297,39297,1091.449,13.221887,19.529727,44.695551,239.992831
37.005,40.447,40447,1093.028,13.213695,19.496959,44.466175,239.992831
