time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,5839,5837.679,2.435071,6.299647,9.289727,91.815935,2849,3010,0.486260
2.000,6.667,12406,6202.276,2.424831,6.082559,8.888319,91.815935,6032,6393,0.485473
3.000,10.001,17472,5823.311,2.758655,6.103039,8.839167,91.815935,7678,9814,0.438944
4.001,13.335,22707,5676.001,2.852863,6.209535,8.904703,91.815935,9746,12998,0.428509
5.001,16.669,28839,5767.090,2.795519,6.299647,8.921087,91.815935,12824,16074,0.443768
6.001,20.002,35726,5953.648,2.721791,6.209535,8.798207,91.815935,16291,19476,0.455476
7.001,23.336,42370,6052.185,2.678783,6.160383,8.765439,91.815935,19570,22823,0.461633
8.001,26.670,49024,6127.345,2.637823,6.131711,8.634367,91.815935,22884,26191,0.466307
9.001,30.003,54436,6047.806,2.623487,6.242303,9.175039,91.815935,25581,28889,0.469635
10.001,33.337,59540,5953.378,2.607103,6.393855,9.822207,91.815935,28185,31389,0.473109
11.001,36.671,65293,5935.103,2.590719,6.455295,9.986047,91.815935,31099,34270,0.475745
12.001,40.004,71514,5958.887,2.566143,6.463487,9.936895,91.815935,34216,37350,0.478104
13.001,43.338,77930,5994.007,2.553855,6.443007,9.854975,91.815935,37384,40596,0.479405
14.001,46.671,84154,6010.401,2.531327,6.455295,9.830399,91.815935,40535,43671,0.481379
15.001,50.005,90200,6012.733,2.514943,6.475775,9.814015,91.815935,43566,46661,0.482849
16.002,53.339,96985,6060.945,2.496511,6.438911,9.682943,91.815935,46988,50044,0.484253
17.002,56.673,103785,6104.363,2.469887,6.414335,9.601023,91.815935,50453,53377,0.485919
18.002,60.006,109745,6096.311,2.457599,6.434815,9.691135,91.815935,53415,56363,0.486573
19.002,63.340,115117,6058.157,2.451455,6.479871,9.994239,91.815935,56105,59042,0.487247
20.002,66.674,120847,6041.724,2.443263,6.508543,10.051583,91.815935,58972,61904,0.487872
21.002,70.007,127419,6066.941,2.445311,6.479871,10.010623,91.815935,62178,65282,0.487824
22.002,73.341,134239,6101.137,2.435071,6.451199,9.936895,91.815935,65574,68689,0.488400
23.002,76.675,139612,6069.458,2.430975,6.483967,10.067967,91.815935,68293,71362,0.489012
24.003,80.009,145213,6049.828,2.420735,6.512639,10.199039,91.815935,71133,74121,0.489715
25.003,83.343,149140,5964.904,2.414591,6.590463,10.747903,91.815935,73127,76050,0.490203
26.003,86.677,155272,5971.307,2.408447,6.590463,10.690559,91.815935,76211,79111,0.490665
27.003,90.010,161648,5986.276,2.404351,6.578175,10.616831,91.815935,79371,82319,0.490884
28.003,93.344,168570,6019.682,2.398207,6.541311,10.534911,91.815935,82820,85788,0.491199
29.003,96.677,175312,6044.567,2.377727,6.516735,10.477567,91.815935,86265,89092,0.491939
30.003,100.000,181473,6048.422,2.367487,6.524927,10.461183,91.815935,89406,92122,0.492519
