time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,7808.600,7807.136,1.895,4.687,7.008,87.759,3850.600,4005.000,0.490,3.334,6644.662,6643.343,1.727,3.793,4.881,45.835,3266.402,3414.025,0.488,3.334,8972.538,8970.928,2.063,5.581,9.135,129.683,4434.798,4595.975,0.492
2,6.667,15188.400,7593.129,2.119,4.704,6.940,87.759,7000.600,8220.400,0.461,6.667,13719.738,6859.105,2.025,4.028,5.413,45.835,6503.076,7245.488,0.448,6.668,16657.062,8327.152,2.214,5.379,8.468,129.683,7498.124,9195.312,0.473
3,10.001,21736.200,7244.420,2.312,4.787,7.048,87.759,9346.000,12439.000,0.429,10.001,18915.813,6304.531,2.103,3.991,5.237,45.835,8104.808,10863.691,0.424,10.002,24556.587,8184.310,2.521,5.584,8.858,129.683,10587.192,14014.309,0.434
4,13.335,29709.800,7426.466,2.236,4.855,7.313,87.759,13272.000,16481.400,0.445,13.335,24672.088,6167.305,1.940,3.840,4.705,45.835,10726.326,13998.060,0.433,13.336,34747.512,8685.628,2.532,5.871,9.921,129.683,15817.674,18964.740,0.457
5,16.669,37512.400,7501.424,2.183,4.919,7.597,87.759,17166.200,20387.800,0.456,16.669,30889.604,6177.077,1.899,3.838,4.804,45.835,13867.324,17061.336,0.448,16.669,44135.196,8825.771,2.466,6.001,10.390,129.683,20465.076,23714.264,0.465
6,20.003,45269.800,7543.942,2.152,5.009,7.793,87.759,21021.800,24294.600,0.463,20.002,36181.404,6029.441,1.855,3.674,4.352,45.835,16530.472,19705.983,0.456,20.003,54358.196,9058.443,2.448,6.345,11.234,129.683,25513.128,28883.217,0.470
7,23.336,53105.800,7585.534,2.127,5.090,7.923,87.759,24952.800,28196.800,0.468,23.336,41190.843,5883.598,1.811,3.502,4.002,45.835,18981.328,22248.903,0.460,23.337,65020.757,9287.470,2.443,6.677,11.845,129.683,30924.272,34144.697,0.477
8,26.670,60719.000,7588.874,2.110,5.170,8.031,87.759,28771.000,31988.600,0.473,26.670,46290.041,5785.453,1.784,3.402,3.903,45.835,21539.739,24798.111,0.464,26.671,75147.959,9392.295,2.435,6.939,12.160,129.683,36002.261,39179.089,0.481
9,30.004,68676.800,7629.695,2.093,5.182,7.993,87.759,32744.600,35973.600,0.476,30.004,52017.115,5778.927,1.768,3.344,3.906,45.835,24405.295,27655.247,0.468,30.005,85336.485,9480.462,2.418,7.020,12.080,129.683,41083.905,44291.953,0.483
10,33.338,76954.200,7694.368,2.070,5.153,7.962,87.759,36905.800,40087.200,0.478,33.337,58479.643,5847.220,1.747,3.348,3.891,45.835,27628.041,30896.067,0.471,33.339,95428.757,9541.515,2.394,6.958,12.033,129.683,46183.559,49278.333,0.486
11,36.672,85343.000,7757.374,2.040,5.114,7.913,87.759,41122.800,44256.000,0.481,36.670,65528.227,5956.377,1.740,3.401,3.959,45.835,31170.716,34399.957,0.475,36.673,105157.773,9558.370,2.341,6.827,11.866,129.683,51074.884,54112.043,0.487
12,40.005,93981.200,7830.702,2.010,5.061,7.840,87.759,45512.000,48515.800,0.483,40.004,73170.026,6096.763,1.735,3.452,4.005,45.835,35059.368,38159.258,0.478,40.007,114792.374,9564.641,2.285,6.670,11.674,129.683,55964.632,58872.342,0.488
13,43.339,102440.800,7879.021,1.991,5.030,7.792,87.759,49743.000,52745.800,0.485,43.338,80316.218,6177.442,1.727,3.481,4.048,45.835,38623.386,41762.872,0.480,43.341,124565.382,9580.600,2.254,6.579,11.537,129.683,60862.614,63728.728,0.490
14,46.673,110825.800,7915.101,1.977,5.008,7.766,87.759,53925.600,56944.200,0.486,46.671,87160.532,6225.036,1.718,3.494,4.067,45.835,42048.058,45187.178,0.482,46.674,134491.068,9605.165,2.236,6.522,11.465,129.683,65803.142,68701.222,0.490
15,50.007,119088.200,7938.170,1.965,4.993,7.737,87.759,58041.000,61085.400,0.487,50.005,94392.999,6292.158,1.723,3.523,4.092,45.835,45696.913,48733.837,0.484,50.008,143783.401,9584.181,2.206,6.462,11.381,129.683,70385.087,73436.963,0.490
16,53.340,127620.600,7975.265,1.952,4.965,7.697,87.759,62315.400,65345.000,0.488,53.338,101684.957,6354.615,1.717,3.546,4.127,45.835,49347.799,52387.273,0.485,53.342,153556.243,9595.914,2.186,6.385,11.267,129.683,75283.001,78302.727,0.491
17,56.674,136125.400,8006.369,1.936,4.942,7.676,87.759,66623.000,69552.800,0.489,56.672,109104.913,6417.255,1.711,3.572,4.158,45.835,53090.474,56072.152,0.486,56.675,163145.887,9595.484,2.161,6.311,11.194,129.683,80155.526,83033.448,0.492
18,60.007,144713.200,8038.632,1.924,4.915,7.642,87.759,70909.200,73850.600,0.490,60.006,116887.686,6493.085,1.708,3.609,4.198,45.835,56979.910,59960.893,0.487,60.009,172538.714,9584.179,2.141,6.221,11.087,129.683,84838.490,87740.307,0.492
19,63.341,153087.600,8056.259,1.914,4.904,7.632,87.759,75099.600,78028.800,0.490,63.339,124069.325,6529.280,1.705,3.621,4.219,45.835,60574.791,63540.543,0.488,63.342,182105.875,9583.239,2.124,6.187,11.045,129.683,89624.409,92517.057,0.492
20,66.675,161736.400,8085.820,1.903,4.887,7.597,87.759,79458.600,82314.400,0.491,66.673,131553.796,6576.972,1.696,3.632,4.230,45.835,64320.126,67272.892,0.489,66.676,191919.004,9594.668,2.109,6.141,10.964,129.683,94597.074,97355.908,0.493
21,70.008,170061.200,8097.157,1.894,4.889,7.593,87.759,83663.400,86442.200,0.492,70.007,138054.937,6573.326,1.682,3.626,4.240,45.835,67555.962,70569.320,0.489,70.010,202067.463,9620.988,2.105,6.151,10.946,129.683,99770.838,102315.080,0.494
22,73.342,178459.600,8110.811,1.886,4.887,7.582,87.759,87864.000,90632.000,0.492,73.341,144873.933,6584.463,1.675,3.617,4.244,45.835,70934.252,73981.115,0.489,73.344,212045.267,9637.158,2.097,6.156,10.919,129.683,104793.748,107282.885,0.495
23,76.676,187109.800,8134.208,1.873,4.872,7.557,87.759,92261.600,94888.400,0.493,76.674,152284.368,6620.345,1.664,3.630,4.269,45.835,74679.502,77664.840,0.490,76.678,221935.232,9648.072,2.082,6.114,10.845,129.683,109843.698,112111.960,0.495
24,80.010,195524.800,8145.859,1.863,4.866,7.546,87.759,96541.800,99024.800,0.493,80.008,159489.841,6644.658,1.656,3.645,4.303,45.835,78353.133,81192.735,0.491,80.012,231559.759,9647.060,2.070,6.087,10.790,129.683,114730.467,116856.865,0.496
25,83.344,204054.200,8161.157,1.854,4.857,7.537,87.759,100845.400,103246.400,0.494,83.342,166961.813,6677.725,1.650,3.659,4.312,45.835,82104.562,84893.483,0.492,83.345,241146.587,9644.590,2.058,6.055,10.761,129.683,119586.238,121599.317,0.496
26,86.677,212431.400,8169.433,1.848,4.850,7.529,87.759,105038.800,107433.200,0.494,86.675,174255.181,6701.376,1.645,3.676,4.337,45.835,85736.327,88576.441,0.492,86.679,250607.619,9637.490,2.052,6.025,10.722,129.683,124341.273,126289.959,0.496
27,90.011,220982.800,8183.547,1.842,4.837,7.512,87.759,109316.000,111707.400,0.494,90.009,182064.159,6742.361,1.649,3.693,4.372,45.835,89704.294,92405.337,0.492,90.013,259901.441,9624.733,2.036,5.982,10.652,129.683,128927.706,131009.463,0.496
28,93.345,229612.800,8199.457,1.837,4.820,7.491,87.759,113639.400,116011.200,0.495,93.343,190041.249,6786.428,1.653,3.714,4.393,45.835,93780.493,96303.876,0.493,93.346,269184.351,9612.487,2.021,5.926,10.589,129.683,133498.307,135718.524,0.496
29,96.678,238056.600,8207.844,1.833,4.809,7.482,87.759,117867.800,120234.800,0.495,96.677,197566.936,6811.871,1.654,3.732,4.434,45.835,97584.858,100029.424,0.494,96.680,278546.264,9603.816,2.012,5.885,10.529,129.683,138150.742,140440.176,0.496
30,100.000,245918.400,8196.288,1.829,4.803,7.467,103.206,121807.800,124150.800,0.495,100.000,204806.732,6826.110,1.646,3.735,4.453,63.489,101171.706,103677.439,0.494,100.000,287030.068,9566.465,2.012,5.871,10.481,142.923,142443.894,144624.161,0.497
