time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,7636,7635.375,1.894399,4.620287,6.758399,96.468991,3791,3864,0.495232
2.000,6.667,15618,7808.373,2.140159,4.493311,6.266879,96.468991,7402,8239,0.473243
3.000,10.001,29107,9701.378,0.001535,4.345855,6.103039,96.468991,16736,12509,0.572269
4.000,13.335,67695,16922.170,0.001023,3.907583,5.615615,96.468991,51115,16832,0.752278
5.000,16.668,110464,22090.690,0.001023,3.653631,5.361663,96.468991,89512,21143,0.808929
6.001,20.002,151323,25218.067,0.001023,3.526655,5.300223,96.468991,126253,25272,0.833216
7.001,23.336,191917,27414.080,0.001023,3.411967,5.251071,96.468991,162638,29423,0.846804
8.001,26.669,233544,29190.167,0.001023,3.291135,5.246975,96.468991,200170,33527,0.856536
9.001,30.003,274319,30476.967,0.001023,3.186687,5.201919,96.468991,236833,37740,0.862550
10.001,33.336,315384,31535.434,0.001023,3.084287,5.181439,96.468991,273632,41918,0.867159
11.001,36.670,356069,32366.930,0.001023,2.990079,5.173247,96.468991,310162,46063,0.870691
12.001,40.004,395434,32949.786,0.001023,2.899967,5.193727,96.468991,345530,50052,0.873473
13.001,43.337,436371,33563.872,0.001023,2.807807,5.185535,96.468991,382356,54205,0.875836
14.001,46.671,476942,34064.130,0.001023,2.738175,5.193727,96.468991,419015,58260,0.877932
15.001,50.005,511255,34080.557,0.001023,2.703359,5.287935,96.468991,449702,61709,0.879336
16.001,53.338,546723,34167.005,0.001023,2.674687,5.345279,96.468991,481543,65376,0.880465
17.002,56.672,584195,34361.133,0.001023,2.633727,5.378047,96.468991,515180,69151,0.881658
18.002,60.006,623795,34651.902,0.001023,2.586623,5.378047,96.468991,550900,73143,0.882792
19.002,63.340,661015,34786.756,0.001023,2.566143,5.390335,96.468991,584191,76994,0.883552
20.002,66.673,700023,34997.635,0.001023,2.545663,5.390335,96.468991,619201,80960,0.884369
21.002,70.007,737729,35126.463,0.001023,2.527231,5.398527,96.468991,653030,84857,0.885000
22.002,73.341,771899,35082.799,0.001023,2.514943,5.455871,96.468991,683802,88309,0.885627
23.002,76.674,797620,34675.691,0.001023,2.512895,5.595135,96.468991,706908,90917,0.886044
24.002,80.008,829623,34564.229,0.001023,2.506751,5.660671,96.468991,735504,94249,0.886413
25.002,83.342,865882,34631.879,0.001023,2.488319,5.693439,96.468991,768341,97797,0.887088
26.003,86.675,893789,34373.112,0.001023,2.486271,5.820415,96.468991,793296,100622,0.887437
27.003,90.009,924185,34225.623,0.001023,2.480127,5.906431,96.468991,820801,103632,0.887897
28.003,93.343,958308,34221.784,0.001023,2.473983,5.939199,96.468991,851383,107128,0.888235
29.003,96.676,992213,34210.769,0.001023,2.467839,5.959679,96.468991,881859,110554,0.888601
30.003,100.000,1018596,33949.745,0.001023,2.467839,6.062079,96.468991,905446,113269,0.888812
