time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,7520.400,7519.511,1.927,4.821,7.089,89.077,3752.400,3808.400,0.496,3.334,6618.657,6618.006,1.693,3.961,5.567,73.101,3274.490,3358.888,0.493,3.334,8422.143,8421.016,2.161,5.681,8.610,105.052,4230.310,4257.912,0.499
2,6.667,15026.000,7512.315,2.147,4.850,6.887,89.077,7163.200,7885.200,0.476,6.667,13486.628,6742.724,1.989,4.010,5.505,73.101,6535.329,6974.203,0.469,6.668,16565.372,8281.906,2.305,5.691,8.269,105.052,7791.071,8796.197,0.484
3,10.001,26998.400,8998.624,0.512,4.705,6.849,89.077,15106.000,12012.800,0.550,10.001,20969.640,6989.240,-0.905,3.787,4.847,73.101,10426.312,10610.282,0.487,10.001,33027.160,11008.008,1.929,5.624,8.850,105.052,19785.688,13415.318,0.612
4,13.335,60219.400,15053.451,0.001,4.289,6.391,89.077,44376.400,16029.400,0.724,13.334,42485.051,10620.240,0.001,3.373,4.651,73.101,28485.901,14123.299,0.653,13.335,77953.749,19486.662,0.001,5.204,8.132,105.052,60266.899,17935.501,0.794
5,16.668,100253.000,20048.765,0.001,3.979,6.063,89.077,80360.600,20117.000,0.795,16.668,75138.660,15026.298,0.001,3.203,4.498,73.101,57840.792,17609.288,0.761,16.668,125367.340,25071.232,0.001,4.756,7.628,105.052,102880.408,22624.712,0.830
6,20.002,140363.200,23391.705,0.001,3.773,5.872,89.077,116407.200,24148.400,0.826,20.002,110696.409,18447.624,0.001,3.120,4.532,73.101,89721.006,21168.581,0.806,20.002,170029.991,28335.785,0.001,4.427,7.212,105.052,143093.394,27128.219,0.846
7,23.336,179896.800,25697.115,0.001,3.608,5.770,89.077,151888.600,28171.200,0.842,23.335,145664.437,20807.164,0.001,3.059,4.516,73.101,121133.849,24678.730,0.829,23.336,214129.163,30587.065,0.001,4.158,7.025,105.052,182643.351,31663.670,0.855
8,26.669,219841.600,27477.608,0.001,3.448,5.712,89.077,187849.600,32171.600,0.853,26.669,180278.743,22532.639,0.001,3.005,4.511,73.101,152224.967,28191.146,0.843,26.670,259404.457,32422.576,0.001,3.891,6.913,105.052,223474.233,36152.054,0.863
9,30.003,259714.400,28854.211,0.001,3.292,5.656,89.077,223655.800,36234.200,0.860,30.003,215696.793,23963.746,0.001,2.953,4.511,73.101,184093.270,31794.475,0.852,30.003,303732.007,33744.676,0.001,3.631,6.801,105.052,263218.330,40673.925,0.868
10,33.337,299034.600,29900.434,0.001,3.147,5.639,89.077,258979.000,40235.600,0.865,33.336,250414.702,25038.866,0.001,2.865,4.487,73.101,215313.172,35270.301,0.859,33.337,347654.498,34762.002,0.001,3.430,6.790,105.052,302644.828,45200.899,0.871
