time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.003,3.343,1410098,1406229.395,0.000511,0.000511,0.000511,68.157439,1453255,1049,0.999279
2.003,6.676,3486186,1740635.335,0.000511,0.000511,0.000511,68.157439,3511270,1049,0.999701
3.004,10.012,5484722,1825959.416,0.000511,0.000511,0.000511,68.157439,5500316,1049,0.999809
4.004,13.346,7601745,1898614.978,0.000511,0.000511,0.000511,68.157439,7628958,1049,0.999863
5.004,16.680,9727323,1943931.149,0.000511,0.000511,0.000511,68.157439,9751583,1049,0.999892
6.004,20.013,11729014,1953523.884,0.000511,0.000511,0.000511,68.157439,11736137,1049,0.999911
7.004,23.347,13788456,1968622.774,0.000511,0.000511,0.000511,68.157439,13793634,1049,0.999924
8.004,26.681,15956056,1993464.953,0.000511,0.000511,0.000511,68.157439,15973011,1049,0.999934
9.004,30.014,18024513,2001774.326,0.000511,0.000511,0.000511,68.157439,18037250,1049,0.999942
10.004,33.348,20223813,2021500.911,0.000511,0.000511,0.000511,68.157439,20244004,1049,0.999948
11.004,36.682,22359556,2031860.435,0.000511,0.000511,0.000511,68.157439,22384711,1049,0.999953
12.006,40.019,24493816,2040172.613,0.000511,0.000511,0.000511,68.157439,24527946,1049,0.999957
13.006,43.353,26638043,2048158.693,0.000511,0.000511,0.000511,68.157439,26650425,1049,0.999961
14.007,46.689,28765115,2053661.167,0.000511,0.000511,0.000511,68.157439,28769749,1049,0.999964
15.010,50.033,30882464,2057493.381,0.000511,0.000511,0.000511,68.157439,30899132,1049,0.999966
16.010,53.366,33005472,2061575.421,0.000511,0.000511,0.000511,68.157439,33015613,1049,0.999968
17.011,56.704,35105167,2063663.757,0.000511,0.000511,0.000511,68.157439,35122183,1049,0.999970
18.012,60.038,37193297,2064971.799,0.000511,0.000511,0.000511,68.157439,37212961,1049,0.999972
19.012,63.372,39278818,2066044.950,0.000511,0.000511,0.000511,68.157439,39295191,1049,0.999973
20.012,66.706,41327969,2065191.487,0.000511,0.000511,0.000511,68.157439,41335008,1049,0.999975
21.013,70.042,43391439,2065006.427,0.000511,0.000511,0.000511,68.157439,43430072,1049,0.999976
22.013,73.376,45514660,2067643.383,0.000511,0.000511,0.000511,68.157439,45525698,1049,0.999977
23.013,76.710,47602676,2068519.843,0.000511,0.000511,0.000511,68.157439,47610274,1049,0.999978
24.013,80.043,49731759,2071034.367,0.000511,0.000511,0.000511,68.157439,49742354,1049,0.999979
25.015,83.382,51873175,2073719.031,0.000511,0.000511,0.000511,68.157439,51893039,1049,0.999980
26.015,86.715,53987359,2075268.113,0.000511,0.000511,0.000511,68.157439,54008027,1049,0.999981
27.015,90.049,56036328,2074287.815,0.000511,0.000511,0.000511,68.157439,56046561,1049,0.999981
28.017,93.389,58122772,2074578.028,0.000511,0.000511,0.000511,68.157439,58148933,1049,0.999982
29.017,96.723,60222532,2075439.669,0.000511,0.000511,0.000511,68.157439,60235870,1049,0.999983
30.017,100.000,62421203,2079540.303,0.000511,0.000511,0.000511,68.157439,62429648,1049,0.999983
