time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.339,1364724.400,1362333.089,0.001,0.001,0.001,59.461,1391164.200,1044.400,0.999,3.334,1173876.369,1172862.074,0.001,0.001,0.001,-17.245,1196761.521,1039.958,0.999,3.344,1555572.431,1551804.104,0.001,0.001,0.001,136.166,1585566.879,1048.842,0.999
2,6.673,3477744.400,1737173.561,0.001,0.001,0.001,59.461,3493498.000,1044.400,1.000,6.667,3295190.978,1646717.454,0.001,0.001,0.001,-17.245,3305566.905,1039.958,1.000,6.679,3660297.822,1827629.669,0.001,0.001,0.001,136.166,3681429.095,1048.842,1.000
3,10.008,5552922.800,1849563.780,0.001,0.001,0.001,60.047,5571229.400,1044.400,1.000,10.002,5383578.481,1793274.126,0.001,0.001,0.001,-16.047,5396192.059,1039.958,1.000,10.013,5722267.119,1905853.434,0.001,0.001,0.001,136.142,5746266.741,1048.842,1.000
4,13.342,7670778.000,1916387.902,0.001,0.001,0.001,60.047,7693500.400,1044.400,1.000,13.336,7481123.807,1869177.169,0.001,0.001,0.001,-16.047,7509558.194,1039.958,1.000,13.349,7860432.193,1963598.636,0.001,0.001,0.001,136.142,7877442.606,1048.842,1.000
5,16.678,9789994.400,1956711.172,0.001,0.001,0.001,60.047,9808275.400,1044.400,1.000,16.671,9570109.448,1912909.491,0.001,0.001,0.001,-16.047,9586975.576,1039.958,1.000,16.685,10009879.352,2000512.853,0.001,0.001,0.001,136.142,10029575.224,1048.842,1.000
6,20.014,11888153.800,1979987.425,0.001,0.001,0.001,60.047,11902997.600,1044.400,1.000,20.007,11591395.142,1930462.633,0.001,0.001,0.001,-16.047,11601834.079,1039.958,1.000,20.020,12184912.458,2029512.217,0.001,0.001,0.001,136.142,12204161.121,1048.842,1.000
7,23.349,13949727.400,1991512.646,0.001,0.001,0.001,60.500,13961185.400,1044.400,1.000,23.341,13577195.590,1938235.545,0.001,0.001,0.001,-15.143,13588031.137,1039.958,1.000,23.356,14322259.210,2044789.748,0.001,0.001,0.001,136.142,14334339.663,1048.842,1.000
8,26.690,16049009.000,2004354.212,0.001,0.001,0.001,60.500,16066109.000,1044.400,1.000,26.668,15637786.552,1953815.420,0.001,0.001,0.001,-15.143,15651654.403,1039.958,1.000,26.712,16460231.448,2054893.003,0.001,0.001,0.001,136.142,16480563.597,1048.842,1.000
9,30.025,18138135.800,2013653.628,0.001,0.001,0.001,60.500,18154312.200,1044.400,1.000,29.999,17631392.713,1958070.652,0.001,0.001,0.001,-15.143,17644377.499,1039.958,1.000,30.051,18644878.887,2069236.604,0.001,0.001,0.001,136.142,18664246.901,1048.842,1.000
10,33.360,20220997.800,2020457.916,0.001,0.001,0.001,61.299,20244667.600,1044.400,1.000,33.334,19732037.278,1971980.888,0.001,0.001,0.001,-13.589,19750972.502,1039.958,1.000,33.387,20709958.322,2068934.943,0.001,0.001,0.001,136.187,20738362.698,1048.842,1.000
11,36.695,22323394.000,2027826.512,0.001,0.001,0.001,61.299,22336827.800,1044.400,1.000,36.669,21787615.220,1979424.833,0.001,0.001,0.001,-13.589,21795319.133,1039.958,1.000,36.721,22859172.780,2076228.192,0.001,0.001,0.001,136.187,22878336.467,1048.842,1.000
12,40.031,24405298.400,2032198.520,0.001,0.001,0.001,61.299,24423190.800,1044.400,1.000,40.007,23877689.121,1988383.561,0.001,0.001,0.001,-13.589,23902784.690,1039.958,1.000,40.055,24932907.679,2076013.479,0.001,0.001,0.001,136.187,24943596.910,1048.842,1.000
13,43.367,26488799.000,2036026.760,0.001,0.001,0.001,61.299,26505938.800,1044.400,1.000,43.343,25972599.602,1996446.394,0.001,0.001,0.001,-13.589,25994399.544,1039.958,1.000,43.391,27004998.398,2075607.125,0.001,0.001,0.001,136.187,27017478.056,1048.842,1.000
14,46.701,28575475.600,2039606.219,0.001,0.001,0.001,61.299,28587615.000,1044.400,1.000,46.677,28107023.355,2006187.861,0.001,0.001,0.001,-13.589,28118398.343,1039.958,1.000,46.724,29043927.845,2073024.576,0.001,0.001,0.001,136.187,29056831.657,1048.842,1.000
15,50.038,30662090.800,2042571.852,0.001,0.001,0.001,61.299,30684170.000,1044.400,1.000,50.013,30154889.014,2008898.048,0.001,0.001,0.001,-13.589,30179724.539,1039.958,1.000,50.064,31169292.586,2076245.656,0.001,0.001,0.001,136.187,31188615.461,1048.842,1.000
16,53.372,32773022.000,2046830.868,0.001,0.001,0.001,61.299,32794775.400,1044.400,1.000,53.346,32261167.551,2015027.401,0.001,0.001,0.001,-13.589,32286702.870,1039.958,1.000,53.398,33284876.449,2078634.336,0.001,0.001,0.001,136.187,33302847.930,1048.842,1.000
17,56.707,34856701.400,2048944.019,0.001,0.001,0.001,61.640,34874143.800,1044.400,1.000,56.682,34276638.783,2015091.567,0.001,0.001,0.001,-12.875,34297292.345,1039.958,1.000,56.731,35436764.017,2082796.472,0.001,0.001,0.001,136.155,35450995.255,1048.842,1.000
