time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.333,1125776,1125722.250,0.000511,0.000511,0.000511,166.985727,1133313,1009,0.999110
2.000,6.667,3164995,1582351.771,0.000511,0.000511,0.000511,166.985727,3179292,1009,0.999683
3.001,10.003,5152609,1716941.469,0.000511,0.000511,0.000511,166.985727,5163186,1009,0.999805
4.001,13.337,7116217,1778548.393,0.000511,0.000511,0.000511,166.985727,7147277,1009,0.999859
5.001,16.671,9219402,1843434.685,0.000511,0.000511,0.000511,166.985727,9224010,1009,0.999891
6.001,20.004,11090128,1847957.614,0.000511,0.000511,0.000511,166.985727,11090876,1009,0.999909
7.001,23.338,13073190,1867235.155,0.000511,0.000511,0.000511,166.985727,13087661,1009,0.999923
8.002,26.673,15069853,1883251.893,0.000511,0.000511,0.000511,166.985727,15072007,1009,0.999933
9.002,30.007,17094035,1898883.882,0.000511,0.000511,0.000511,166.985727,17099524,1009,0.999941
10.004,33.347,19170263,1916251.927,0.000511,0.000511,0.000511,166.985727,19187868,1009,0.999947
11.004,36.681,21198542,1926411.596,0.000511,0.000511,0.000511,166.985727,21210819,1009,0.999952
12.004,40.014,23132386,1927016.009,0.000511,0.000511,0.000511,166.985727,23140206,1009,0.999956
13.005,43.350,25010939,1923172.809,0.000511,0.000511,0.000511,166.985727,25029427,1009,0.999960
14.007,46.690,27046514,1930925.412,0.000511,0.000511,0.000511,166.985727,27062547,1009,0.999963
15.009,50.030,29067879,1936693.875,0.000511,0.000511,0.000511,166.985727,29082851,1009,0.999965
16.009,53.364,31097474,1942487.035,0.000511,0.000511,0.000511,166.985727,31122533,1009,0.999968
17.009,56.697,33123405,1947383.119,0.000511,0.000511,0.000511,166.985727,33149794,1009,0.999970
18.009,60.031,35193571,1954190.996,0.000511,0.000511,0.000511,166.985727,35203735,1009,0.999971
19.011,63.370,37207518,1957155.012,0.000511,0.000511,0.000511,166.985727,37227149,1009,0.999973
20.012,66.707,39287199,1963177.870,0.000511,0.000511,0.000511,166.985727,39296297,1009,0.999974
21.012,70.040,41407941,1970670.136,0.000511,0.000511,0.000511,166.985727,41421466,1009,0.999976
22.012,73.374,43445227,1973689.226,0.000511,0.000511,0.000511,166.985727,43459030,1009,0.999977
23.012,76.708,45449520,1975009.727,0.000511,0.000511,0.000511,166.985727,45455637,1009,0.999978
24.012,80.041,47573853,1981221.296,0.000511,0.000511,0.000511,166.985727,47586690,1009,0.999979
25.014,83.379,49585242,1982326.293,0.000511,0.000511,0.000511,166.985727,49589389,1009,0.999980
26.016,86.720,51553413,1981606.435,0.000511,0.000511,0.000511,166.985727,51564350,1009,0.999980
27.016,90.053,53550104,1982159.411,0.000511,0.000511,0.000511,166.985727,53578194,1009,0.999981
28.016,93.387,55523095,1981827.211,0.000511,0.000511,0.000511,166.985727,55545896,1009,0.999982
29.016,96.721,57595232,1984934.254,0.000511,0.000511,0.000511,166.985727,57612813,1009,0.999982
30.016,100.000,59629341,1986566.144,0.000511,0.000511,0.000511,166.985727,59637771,1009,0.999983
