time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.335,1209690.800,1209045.664,0.001,0.001,0.001,83.028,1219540.000,1008.000,0.999,3.333,1065609.695,1065398.040,0.001,0.001,0.000,-24.740,1074702.770,1004.835,0.999,3.337,1353771.905,1352693.289,0.001,0.001,0.001,190.795,1364377.230,1011.165,0.999
2,6.674,3228060.400,1612326.110,0.001,0.001,0.001,83.028,3247144.000,1008.000,1.000,6.667,3060037.737,1528479.535,0.001,0.001,0.000,-24.740,3077336.724,1004.835,1.000,6.681,3396083.063,1696172.684,0.001,0.001,0.001,190.795,3416951.276,1011.165,1.000
3,10.011,5222509.200,1738988.918,0.001,0.001,0.001,83.028,5235774.400,1008.000,1.000,9.999,5024399.583,1673129.601,0.001,0.001,0.000,-24.740,5042166.837,1004.835,1.000,10.022,5420618.817,1804848.235,0.001,0.001,0.001,190.795,5429381.963,1011.165,1.000
4,13.346,7236457.200,1807340.727,0.001,0.001,0.001,83.028,7248933.600,1008.000,1.000,13.334,7073798.172,1767377.525,0.001,0.001,0.000,-24.740,7089421.119,1004.835,1.000,13.359,7399116.228,1847303.929,0.001,0.001,0.001,190.795,7408446.081,1011.165,1.000
5,16.680,9206958.400,1839909.821,0.001,0.001,0.001,83.028,9219515.800,1008.000,1.000,16.668,9048779.389,1808778.816,0.001,0.001,0.001,-24.740,9064151.929,1004.835,1.000,16.693,9365137.411,1871040.825,0.001,0.001,0.001,190.795,9374879.671,1011.165,1.000
6,20.018,11143475.600,1855548.690,0.001,0.001,0.001,83.028,11155835.800,1008.000,1.000,19.994,10991290.043,1831287.995,0.001,0.001,0.001,-24.740,10997148.588,1004.835,1.000,20.042,11295661.157,1879809.385,0.001,0.001,0.001,190.795,11314523.012,1011.165,1.000
7,23.354,13193559.200,1883155.353,0.001,0.001,0.001,83.028,13216696.000,1008.000,1.000,23.328,12989316.310,1855172.405,0.001,0.001,0.001,-24.740,13003657.888,1004.835,1.000,23.379,13397802.090,1911138.301,0.001,0.001,0.001,190.795,13429734.112,1011.165,1.000
8,26.689,15203680.200,1898864.233,0.001,0.001,0.001,83.028,15214798.200,1008.000,1.000,26.663,14973123.585,1871214.830,0.001,0.001,0.001,-24.740,14988767.850,1004.835,1.000,26.715,15434236.815,1926513.637,0.001,0.001,0.001,190.795,15440828.550,1011.165,1.000
9,30.026,17209218.600,1910445.240,0.001,0.001,0.001,83.028,17225041.800,1008.000,1.000,30.001,17001730.046,1888592.755,0.001,0.001,0.001,-24.740,17015165.291,1004.835,1.000,30.051,17416707.154,1932297.726,0.001,0.001,0.001,190.795,17434918.309,1011.165,1.000
10,33.363,19246024.000,1922868.064,0.001,0.001,0.001,83.028,19267890.000,1008.000,1.000,33.340,19047894.836,1904055.359,0.001,0.001,0.001,-24.740,19077611.207,1004.835,1.000,33.386,19444153.164,1941680.769,0.001,0.001,0.001,190.795,19458168.793,1011.165,1.000
