time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1240,1239.857,6.062079,8.429567,136.183807,204.865535,0,0,0.000000
2.000,6.667,2711,1355.369,5.984255,7.942143,133.627903,204.865535,0,0,0.000000
3.000,10.001,4121,1373.543,6.017023,8.105983,133.627903,204.865535,0,0,0.000000
4.000,13.335,5536,1383.871,5.980159,8.130559,133.955583,204.865535,0,0,0.000000
5.000,16.668,6959,1391.676,5.980159,8.146943,133.758975,204.865535,0,0,0.000000
6.001,20.002,8489,1414.705,5.832703,8.118271,133.955583,204.865535,0,0,0.000000
7.001,23.335,10146,1449.297,5.627903,8.024063,133.627903,204.865535,0,0,0.000000
8.001,26.669,11638,1454.621,5.627903,8.003583,133.562367,204.865535,0,0,0.000000
9.001,30.003,13087,1453.980,5.640191,8.048639,133.431295,204.865535,0,0,0.000000
10.001,33.336,14593,1459.164,5.619711,8.028159,133.300223,204.865535,0,0,0.000000
11.001,36.670,16049,1458.864,5.640191,8.032255,133.365759,204.865535,0,0,0.000000
12.001,40.004,17505,1458.616,5.672959,8.003583,133.365759,204.865535,0,0,0.000000
13.001,43.337,18862,1450.792,5.697535,8.077311,133.365759,204.865535,0,0,0.000000
14.001,46.671,20280,1448.436,5.705727,8.077311,133.496831,204.865535,0,0,0.000000
15.001,50.005,21754,1450.135,5.689343,8.097791,133.562367,204.865535,0,0,0.000000
16.001,53.338,23104,1443.866,5.722111,8.142847,133.496831,204.865535,0,0,0.000000
17.002,56.672,24554,1444.221,5.701631,8.187903,133.627903,204.865535,0,0,0.000000
18.002,60.007,25801,1433.224,5.722111,8.290303,133.758975,204.865535,0,0,0.000000
19.002,63.340,27191,1430.944,5.734399,8.310783,133.824511,204.865535,0,0,0.000000
20.002,66.674,28134,1406.543,5.787647,8.527871,134.021119,204.865535,0,0,0.000000
21.002,70.008,29139,1387.418,5.828607,8.790015,134.217727,204.865535,0,0,0.000000
22.002,73.341,30160,1370.760,5.865471,9.035775,134.479871,204.865535,0,0,0.000000
23.002,76.675,31474,1368.288,5.865471,9.060351,134.479871,204.865535,0,0,0.000000
24.003,80.008,33114,1379.604,5.804031,8.994815,134.479871,204.865535,0,0,0.000000
25.003,83.342,34774,1390.814,5.746687,8.929279,134.479871,204.865535,0,0,0.000000
26.003,86.676,36471,1402.584,5.685247,8.847359,134.348799,204.865535,0,0,0.000000
27.003,90.009,37972,1406.223,5.681151,8.806399,134.217727,204.865535,0,0,0.000000
28.003,93.343,39286,1402.926,5.701631,8.822783,134.152191,204.865535,0,0,0.000000
29.003,96.677,40717,1403.890,5.713919,8.781823,134.217727,204.865535,0,0,0.000000
30.003,100.000,42091,1402.891,5.722111,8.790015,134.152191,204.865535,0,0,0.000000
