time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2577,2576.303,6.000639,7.962623,10.362879,103.612415,0,0,0.000000
2.000,6.668,5501,2750.010,5.931007,7.704575,9.478143,103.612415,0,0,0.000000
3.000,10.001,8336,2778.264,5.971967,7.692287,9.265151,103.612415,0,0,0.000000
4.001,13.335,11200,2799.642,5.959679,7.659519,9.158655,103.612415,0,0,0.000000
5.001,16.670,14059,2811.200,5.959679,7.647231,9.117695,103.612415,0,0,0.000000
6.001,20.004,16916,2818.787,5.951487,7.647231,9.093119,103.612415,0,0,0.000000
7.001,23.338,19810,2829.476,5.935103,7.647231,9.093119,103.612415,0,0,0.000000
8.001,26.671,22642,2829.766,5.935103,7.679999,9.224191,103.612415,0,0,0.000000
9.001,30.005,25718,2857.087,5.873663,7.667711,9.265151,103.612415,0,0,0.000000
10.002,33.339,28578,2857.354,5.873663,7.671807,9.256959,103.612415,0,0,0.000000
11.002,36.672,31457,2859.284,5.877759,7.675903,9.265151,103.612415,0,0,0.000000
12.002,40.006,34265,2854.993,5.885951,7.696383,9.306111,103.612415,0,0,0.000000
13.002,43.340,37704,2899.885,5.754879,7.659519,9.281535,103.612415,0,0,0.000000
14.002,46.673,40497,2892.229,5.763071,7.688191,9.371647,103.612415,0,0,0.000000
15.002,50.007,43752,2916.396,5.689343,7.667711,9.371647,103.612415,0,0,0.000000
16.002,53.341,46945,2933.657,5.631999,7.651327,9.379839,103.612415,0,0,0.000000
17.002,56.675,49970,2939.002,5.611519,7.647231,9.379839,103.612415,0,0,0.000000
18.003,60.009,52846,2935.456,5.623807,7.663615,9.371647,103.612415,0,0,0.000000
19.003,63.343,55851,2939.100,5.615615,7.655423,9.355263,103.612415,0,0,0.000000
20.003,66.677,58653,2932.208,5.636095,7.671807,9.388031,103.612415,0,0,0.000000
21.003,70.010,61626,2934.136,5.636095,7.671807,9.379839,103.612415,0,0,0.000000
22.003,73.344,64492,2931.029,5.648383,7.679999,9.388031,103.612415,0,0,0.000000
23.126,77.087,66150,2860.390,5.652479,7.684095,9.486335,148.766719,0,0,0.000000
24.126,80.421,67598,2801.832,5.656575,7.692287,9.568255,148.766719,0,0,0.000000
25.126,83.755,69038,2747.623,5.660671,7.696383,9.650175,148.766719,0,0,0.000000
26.127,87.088,70464,2697.030,5.668863,7.708671,9.740287,148.766719,0,0,0.000000
27.127,90.422,71832,2648.028,5.685247,7.720959,9.854975,148.766719,0,0,0.000000
28.127,93.756,73262,2604.716,5.685247,7.737343,10.002431,148.766719,0,0,0.000000
29.127,97.089,74663,2563.376,5.689343,7.753727,10.141695,148.766719,0,0,0.000000
30.127,100.000,76030,2523.659,5.697535,7.770111,10.354687,148.766719,0,0,0.000000
