time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.043,3.478,1789,1714.423,4.653055,6.553599,119.930879,124.190719,0,0,0.000000
2.044,6.812,3770,1844.801,4.579327,6.406143,120.455167,124.190719,0,0,0.000000
3.044,10.146,5719,1878.985,4.530175,6.365183,120.782847,132.513791,0,0,0.000000
4.044,13.479,7523,1860.396,4.554751,6.361087,126.091263,134.152191,0,0,0.000000
5.044,16.813,9420,1867.616,4.517887,6.303743,127.467519,134.348799,0,0,0.000000
6.044,20.147,11343,1876.710,4.476927,6.266879,128.122879,136.445951,0,0,0.000000
7.044,23.481,13189,1872.316,4.476927,6.258687,128.647167,137.101311,0,0,0.000000
8.044,26.814,15068,1873.128,4.460543,6.246399,128.712703,137.101311,0,0,0.000000
9.044,30.148,16825,1860.268,4.493311,6.258687,128.909311,137.101311,0,0,0.000000
10.044,33.482,18606,1852.357,4.497407,6.291455,129.105919,137.101311,0,0,0.000000
11.045,36.815,20510,1857.020,4.489215,6.275071,129.105919,137.101311,0,0,0.000000
12.045,40.149,22407,1860.325,4.485119,6.254591,129.171455,137.101311,0,0,0.000000
13.045,43.482,24320,1864.352,4.472831,6.217727,129.302527,137.101311,0,0,0.000000
14.045,46.816,26164,1862.893,4.481023,6.217727,129.302527,137.101311,0,0,0.000000
15.045,50.150,28023,1862.624,4.485119,6.217727,129.171455,137.101311,0,0,0.000000
16.045,53.483,29864,1861.267,4.485119,6.217727,129.302527,146.669567,0,0,0.000000
17.045,56.817,31744,1862.358,4.485119,6.205439,129.302527,146.669567,0,0,0.000000
18.045,60.150,33543,1858.839,4.493311,6.217727,129.368063,146.669567,0,0,0.000000
19.045,63.484,35344,1855.794,4.497407,6.225919,129.499135,146.669567,0,0,0.000000
20.045,66.818,37247,1858.142,4.489215,6.209535,129.499135,146.669567,0,0,0.000000
21.045,70.151,39079,1856.890,4.489215,6.213631,129.564671,146.669567,0,0,0.000000
22.045,73.485,40894,1854.984,4.489215,6.221823,129.564671,146.669567,0,0,0.000000
23.046,76.819,42806,1857.452,4.485119,6.221823,129.564671,146.669567,0,0,0.000000
24.046,80.152,44636,1856.304,4.485119,6.230015,129.564671,146.669567,0,0,0.000000
25.046,83.486,46374,1851.572,4.493311,6.254591,129.630207,146.669567,0,0,0.000000
26.046,86.819,48270,1853.270,4.489215,6.250495,129.630207,146.669567,0,0,0.000000
27.046,90.153,50250,1857.950,4.485119,6.250495,129.564671,146.669567,0,0,0.000000
28.046,93.487,52498,1871.855,4.481023,6.234111,129.433599,146.669567,0,0,0.000000
29.046,96.820,54523,1877.122,4.476927,6.225919,129.236991,146.669567,0,0,0.000000
30.046,100.000,56515,1880.940,4.476927,6.217727,129.105919,146.669567,0,0,0.000000
