time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3988,3987.594,4.210687,5.373951,7.299071,76.480511,0,0,0.000000
2.000,6.667,7940,3969.678,4.259839,5.484543,7.118847,76.480511,0,0,0.000000
3.000,10.001,11787,3928.663,4.284415,5.599231,7.286783,76.480511,0,0,0.000000
4.000,13.335,15519,3879.409,4.313087,5.742591,7.467007,76.480511,0,0,0.000000
5.000,16.668,19483,3896.264,4.292607,5.734399,7.409663,76.480511,0,0,0.000000
6.001,20.002,23498,3915.995,4.280319,5.701631,7.311359,76.480511,0,0,0.000000
7.001,23.335,27392,3912.805,4.272127,5.730303,7.319551,76.480511,0,0,0.000000
8.001,26.669,31367,3920.515,4.255743,5.718015,7.294975,76.480511,0,0,0.000000
9.001,30.003,35308,3922.758,4.255743,5.718015,7.286783,76.480511,0,0,0.000000
10.001,33.336,39251,3924.749,4.251647,5.713919,7.254015,76.480511,0,0,0.000000
11.001,36.670,43230,3929.654,4.243455,5.709823,7.262207,76.480511,0,0,0.000000
12.001,40.003,47168,3930.324,4.239359,5.713919,7.274495,76.480511,0,0,0.000000
13.001,43.337,51196,3937.809,4.231167,5.693439,7.249919,76.480511,0,0,0.000000
14.001,46.671,55248,3945.940,4.218879,5.681151,7.258111,76.480511,0,0,0.000000
15.001,50.004,59383,3958.518,4.210687,5.648383,7.221247,76.480511,0,0,0.000000
16.001,53.338,63545,3971.211,4.206591,5.623807,7.167999,76.480511,0,0,0.000000
17.002,56.672,67582,3975.052,4.206591,5.619711,7.163903,76.480511,0,0,0.000000
18.002,60.006,71609,3977.910,4.202495,5.607423,7.163903,76.480511,0,0,0.000000
19.002,63.339,75538,3975.321,4.206591,5.611519,7.213055,76.480511,0,0,0.000000
20.002,66.673,79434,3971.339,4.206591,5.623807,7.245823,76.480511,0,0,0.000000
21.002,70.006,83367,3969.494,4.206591,5.623807,7.229439,76.480511,0,0,0.000000
22.002,73.340,87401,3972.408,4.210687,5.611519,7.221247,76.480511,0,0,0.000000
23.002,76.674,91427,3974.715,4.206591,5.611519,7.204863,76.480511,0,0,0.000000
24.002,80.007,95451,3976.755,4.206591,5.607423,7.200767,76.480511,0,0,0.000000
25.002,83.341,99502,3979.698,4.206591,5.599231,7.180287,76.480511,0,0,0.000000
26.003,86.675,103507,3980.653,4.206591,5.595135,7.180287,76.480511,0,0,0.000000
27.003,90.009,107451,3979.284,4.202495,5.607423,7.229439,76.480511,0,0,0.000000
28.003,93.342,111440,3979.614,4.202495,5.611519,7.245823,76.480511,0,0,0.000000
29.003,96.676,115472,3981.404,4.202495,5.607423,7.229439,76.480511,0,0,0.000000
30.003,100.000,119622,3987.014,4.198399,5.595135,7.208959,76.480511,0,0,0.000000
