time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,3971,3970.723,3.948543,5.664767,8.437759,20.561919,0,0,0.000000
2.000,6.667,7909,3954.067,3.930111,5.656575,8.511487,20.561919,0,0,0.000000
3.000,10.001,11868,3955.581,3.923967,5.705727,8.257535,20.561919,0,0,0.000000
4.000,13.335,15897,3973.799,3.911679,5.685247,8.224767,20.561919,0,0,0.000000
5.001,16.668,19921,3983.767,3.913727,5.664767,8.200191,20.561919,0,0,0.000000
6.001,20.002,23803,3966.745,3.909631,5.742591,8.396799,20.561919,0,0,0.000000
7.001,23.336,27877,3982.018,3.899391,5.713919,8.343551,20.561919,0,0,0.000000
8.001,26.669,31772,3971.082,3.899391,5.746687,8.495103,20.561919,0,0,0.000000
9.001,30.003,35938,3992.694,3.880959,5.697535,8.372223,20.561919,0,0,0.000000
10.001,33.337,40031,4002.677,3.880959,5.652479,8.298495,20.561919,0,0,0.000000
11.001,36.670,44202,4017.949,3.872767,5.615615,8.224767,20.561919,0,0,0.000000
12.001,40.004,48546,4045.075,3.850239,5.550079,8.122367,20.561919,0,0,0.000000
13.001,43.338,52708,4054.041,3.848191,5.533695,8.056831,20.561919,0,0,0.000000
14.001,46.671,56816,4057.869,3.846143,5.529599,8.011775,20.561919,0,0,0.000000
15.002,50.005,61013,4067.117,3.837951,5.509119,7.974911,20.561919,0,0,0.000000
16.002,53.339,65191,4074.016,3.835903,5.488639,7.946239,20.561919,0,0,0.000000
17.002,56.673,69391,4081.395,3.829759,5.472255,7.905279,20.561919,0,0,0.000000
18.002,60.006,73376,4076.017,3.827711,5.484543,7.995391,20.561919,0,0,0.000000
19.002,63.340,77465,4076.671,3.831807,5.476351,7.991295,20.561919,0,0,0.000000
20.002,66.674,81653,4082.221,3.829759,5.455871,7.962623,20.561919,0,0,0.000000
21.002,70.007,85729,4081.910,3.831807,5.455871,7.950335,20.561919,0,0,0.000000
22.002,73.341,89825,4082.537,3.831807,5.455871,7.905279,20.561919,0,0,0.000000
23.002,76.674,94054,4088.889,3.823615,5.443583,7.843839,20.561919,0,0,0.000000
24.002,80.008,98205,4091.455,3.823615,5.439487,7.827455,20.561919,0,0,0.000000
25.003,83.342,102358,4093.898,3.821567,5.439487,7.819263,20.561919,0,0,0.000000
26.003,86.676,106543,4097.385,3.819519,5.427199,7.802879,20.561919,0,0,0.000000
27.003,90.009,110752,4101.501,3.817471,5.419007,7.774207,20.561919,0,0,0.000000
28.003,93.343,115040,4108.146,3.811327,5.402623,7.733247,20.561919,0,0,0.000000
29.003,96.677,119205,4110.090,3.807231,5.402623,7.720959,20.561919,0,0,0.000000
30.003,100.000,122194,4072.685,3.807231,5.402623,7.778303,133.496831,0,0,0.000000
