time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,7677,7676.097,2.047999,4.591615,6.168575,92.209151,3743,3956,0.486167
2.000,6.667,15180,7589.084,2.232319,4.636671,6.201343,92.209151,6999,8215,0.460037
3.000,10.001,21526,7174.504,2.390015,4.718591,6.393855,92.209151,9138,12416,0.423958
4.001,13.335,29655,7412.787,2.316287,4.726783,6.365183,92.209151,13194,16505,0.444257
5.001,16.669,38128,7624.642,2.248703,4.689919,6.406143,92.209151,17398,20776,0.455755
6.001,20.002,46476,7745.078,2.207743,4.677631,6.369279,92.209151,21554,24960,0.463387
7.001,23.336,54793,7826.684,2.183167,4.669439,6.340607,92.209151,25665,29170,0.468040
8.001,26.670,63281,7909.006,2.158591,4.665343,6.283263,92.209151,29944,33393,0.472773
9.001,30.004,71869,7984.356,2.127871,4.665343,6.270975,92.209151,34293,37622,0.476855
10.001,33.338,80397,8038.635,2.113535,4.648959,6.238207,92.209151,38511,41928,0.478760
11.001,36.671,88773,8069.210,2.080767,4.653055,6.287359,92.209151,42798,46003,0.481954
12.002,40.005,97330,8109.780,2.060287,4.644863,6.283263,92.209151,47133,50232,0.484086
13.002,43.339,105624,8123.851,2.052095,4.653055,6.291455,92.209151,51284,54399,0.485263
14.002,46.673,114296,8162.915,2.029567,4.640767,6.291455,92.209151,55657,58685,0.486759
15.002,50.007,122617,8173.387,2.021375,4.640767,6.336511,92.209151,59786,62891,0.487345
16.002,53.340,130892,8179.678,2.015231,4.636671,6.328319,92.209151,63861,67064,0.487768
17.002,56.674,138997,8175.209,2.007039,4.648959,6.352895,92.209151,67933,71099,0.488614
18.002,60.008,147314,8183.036,1.996799,4.653055,6.365183,92.209151,72136,75213,0.489559
19.002,63.342,155354,8175.463,1.989631,4.669439,6.430719,92.209151,76201,79186,0.490395
20.003,66.675,163605,8179.199,1.981439,4.669439,6.447103,92.209151,80328,83310,0.490888
21.003,70.009,171938,8186.469,1.979391,4.669439,6.434815,92.209151,84468,87499,0.491187
22.003,73.343,179530,8159.422,1.973247,4.689919,6.512639,92.209151,88305,91275,0.491731
23.003,76.676,187270,8141.148,1.969151,4.706303,6.569983,92.209151,92211,95106,0.492272
24.003,80.010,194299,8094.773,1.968127,4.730879,6.725631,92.209151,95685,98637,0.492404
25.003,83.344,200504,8019.160,1.963007,4.775935,6.983679,92.209151,98864,101687,0.492962
26.003,86.677,208214,8007.230,1.959935,4.788223,7.012351,92.209151,102732,105519,0.493309
27.003,90.011,215182,7968.720,1.958911,4.816895,7.102463,92.209151,106211,109005,0.493509
28.003,93.345,222823,7956.983,1.953791,4.833279,7.106559,92.209151,110070,112792,0.493893
29.004,96.679,229749,7921.386,1.951743,4.853759,7.192575,92.209151,113531,116258,0.494066
30.004,100.000,235419,7846.259,1.952767,4.886527,7.446527,92.209151,116350,119122,0.494114
