time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,7554.200,7553.066,2.022,4.712,6.722,87.373,3705.000,3870.600,0.489,3.334,7045.324,7044.385,1.968,4.399,5.657,77.385,3449.058,3618.345,0.487,3.334,8063.076,8061.747,2.075,5.025,7.788,97.360,3960.942,4122.855,0.492
2,6.667,14535.000,7266.512,2.231,4.955,7.120,87.373,6778.600,7800.600,0.465,6.667,13197.242,6597.853,2.187,4.252,5.442,77.385,6331.268,6947.019,0.454,6.668,15872.758,7935.171,2.276,5.657,8.799,97.360,7225.932,8654.181,0.477
3,10.001,20615.600,6870.998,2.477,5.004,7.131,87.373,8789.400,11863.200,0.426,10.001,18396.363,6131.375,2.325,4.227,5.460,77.385,7921.124,10489.559,0.417,10.002,22834.837,7610.620,2.629,5.780,8.802,97.360,9657.676,13236.841,0.435
4,13.335,28646.200,7160.665,2.411,4.927,7.023,87.373,12696.200,15993.800,0.442,13.335,25254.870,6313.007,2.221,4.189,5.425,77.385,11003.691,14287.181,0.435,13.335,32037.530,8008.322,2.601,5.665,8.621,97.360,14388.709,17700.419,0.449
5,16.669,36492.600,7297.434,2.348,4.925,7.120,87.373,16588.800,19944.000,0.454,16.668,32344.188,6467.964,2.176,4.169,5.581,77.385,14543.313,17844.075,0.449,16.670,40641.012,8126.905,2.520,5.681,8.660,97.360,18634.287,22043.925,0.459
6,20.003,44502.400,7415.968,2.299,4.902,7.084,87.373,20581.800,23961.800,0.462,20.001,39664.494,6609.844,2.137,4.169,5.621,77.385,18178.092,21527.286,0.458,20.005,49340.306,8222.093,2.462,5.635,8.546,97.360,22985.508,26396.314,0.466
7,23.337,52680.600,7524.692,2.261,4.865,7.009,89.050,24634.000,28089.600,0.467,23.335,47295.706,6755.591,2.119,4.170,5.599,75.864,21964.743,25360.584,0.464,23.338,58065.494,8293.793,2.404,5.560,8.419,102.237,27303.257,30818.616,0.470
8,26.671,60748.400,7592.349,2.225,4.855,6.950,89.050,28676.400,32113.400,0.472,26.669,54435.419,6803.427,2.092,4.164,5.611,75.864,25501.185,28968.852,0.468,26.672,67061.381,8381.272,2.358,5.545,8.289,102.237,31851.615,35257.948,0.475
9,30.004,69006.600,7666.236,2.183,4.826,6.911,89.050,32840.000,36207.400,0.475,30.002,62409.883,6933.420,2.065,4.211,5.671,75.864,29510.347,32936.451,0.473,30.006,75603.317,8399.052,2.302,5.441,8.150,102.237,36169.653,39478.349,0.478
10,33.338,77222.800,7721.148,2.148,4.803,6.900,89.050,36950.400,40316.600,0.478,33.336,70370.604,7036.065,2.048,4.258,5.751,75.864,33508.756,36898.960,0.476,33.340,84074.996,8406.232,2.249,5.348,8.049,102.237,40392.044,43734.240,0.480
11,36.672,85580.800,7778.953,2.115,4.780,6.867,89.050,41172.600,44437.800,0.481,36.670,78361.008,7122.743,2.024,4.272,5.791,75.864,37533.281,40866.423,0.479,36.674,92800.592,8435.163,2.207,5.288,7.943,102.237,44811.919,48009.177,0.483
12,40.005,93976.000,7830.235,2.091,4.766,6.838,89.050,45432.800,48581.200,0.483,40.003,86038.948,7168.940,2.001,4.288,5.802,75.864,41402.641,44680.155,0.481,40.007,101913.052,8491.529,2.181,5.244,7.873,102.237,49462.959,52482.245,0.485
13,43.339,102190.400,7859.707,2.075,4.760,6.825,89.050,49560.400,52678.800,0.485,43.337,93755.895,7211.029,1.997,4.310,5.800,75.864,45331.010,48474.058,0.483,43.341,110624.905,8508.385,2.153,5.211,7.850,102.237,53789.790,56883.542,0.486
14,46.673,110404.000,7884.893,2.058,4.756,6.801,89.050,53699.800,56746.400,0.486,46.671,101301.084,7234.844,1.989,4.317,5.791,75.864,49149.118,52195.931,0.485,46.675,119506.916,8534.942,2.128,5.196,7.811,102.237,58250.482,61296.869,0.487
15,50.007,118550.600,7902.247,2.049,4.751,6.794,89.050,57750.200,60844.400,0.487,50.004,108957.343,7262.836,1.983,4.332,5.833,75.864,52974.555,56019.603,0.486,50.010,128143.857,8541.658,2.116,5.170,7.755,102.237,62525.845,65669.197,0.488
16,53.341,126665.800,7915.485,2.041,4.737,6.793,89.457,61773.200,64930.200,0.488,53.338,117088.750,7317.011,1.980,4.354,5.900,75.372,57030.506,60095.473,0.487,53.343,136242.850,8513.959,2.103,5.119,7.685,103.541,66515.894,69764.927,0.488
17,56.675,134782.200,7927.232,2.031,4.732,6.781,89.457,65834.000,68984.600,0.488,56.672,124833.761,7342.099,1.970,4.364,5.916,75.372,60863.732,64006.557,0.487,56.677,144730.639,8512.365,2.091,5.099,7.645,103.541,70804.268,73962.643,0.489
18,60.008,142766.600,7930.350,2.019,4.739,6.800,89.457,69843.800,72962.400,0.489,60.006,131764.021,7319.161,1.956,4.344,5.873,75.372,64275.425,67523.390,0.488,60.011,153769.179,8541.539,2.083,5.134,7.727,103.541,75412.175,78401.410,0.490
19,63.342,150854.800,7938.611,2.010,4.743,6.818,89.457,73929.200,76973.200,0.490,63.340,139096.455,7319.833,1.950,4.337,5.851,75.372,68041.256,71117.785,0.489,63.345,162613.145,8557.390,2.070,5.150,7.785,103.541,79817.144,82828.615,0.491
20,66.676,158775.600,7937.676,2.004,4.752,6.834,89.457,77882.200,80933.000,0.490,66.674,146019.808,7299.976,1.945,4.318,5.817,75.372,71508.289,74554.839,0.490,66.678,171531.392,8575.376,2.062,5.187,7.851,103.541,84256.111,87311.161,0.491
21,70.010,166606.200,7932.524,1.996,4.761,6.852,89.457,81819.000,84824.600,0.491,70.007,152937.360,7281.701,1.939,4.315,5.806,75.372,75006.888,77976.085,0.490,70.013,180275.040,8583.348,2.053,5.208,7.898,103.541,88631.112,91673.115,0.492
22,73.344,174342.400,7923.564,1.991,4.772,6.880,89.457,85709.000,88674.800,0.491,73.341,159631.156,7254.962,1.929,4.308,5.791,75.372,78330.789,81338.158,0.491,73.347,189053.644,8592.166,2.053,5.236,7.969,103.541,93087.211,96011.442,0.492
23,76.677,182069.000,7914.951,1.986,4.781,6.920,89.457,89575.400,92535.600,0.492,76.675,166207.575,7225.450,1.920,4.289,5.742,75.372,81598.578,84637.894,0.491,76.679,197930.425,8604.452,2.051,5.272,8.097,103.541,97552.222,100433.306,0.493
24,80.011,190000.000,7915.578,1.979,4.782,6.937,89.706,93562.400,96477.800,0.492,80.008,173710.562,7236.979,1.913,4.295,5.787,75.055,85356.814,88392.247,0.491,80.013,206289.438,8594.177,2.045,5.269,8.087,104.356,101767.986,104563.353,0.493
25,83.345,196843.800,7872.670,1.973,4.790,6.986,102.852,97014.800,99868.000,0.493,83.342,181449.641,7257.049,1.909,4.310,5.875,75.097,89275.487,92215.103,0.492,83.347,212237.959,8488.291,2.038,5.270,8.097,130.607,104754.113,107520.897,0.494
26,86.679,203961.800,7843.606,1.967,4.791,6.998,102.852,100582.800,103413.800,0.493,86.676,189255.674,7278.131,1.902,4.313,5.927,75.097,93184.322,96106.840,0.492,86.681,218667.926,8409.081,2.031,5.268,8.070,130.607,107981.278,110720.760,0.494
27,90.012,210970.600,7812.661,1.962,4.793,7.015,102.852,104106.600,106912.000,0.493,90.010,196685.919,7283.770,1.896,4.322,5.959,75.097,96932.970,99815.143,0.493,90.014,225255.281,8341.552,2.029,5.264,8.070,130.607,111280.230,114008.857,0.494
28,93.346,218050.400,7786.451,1.956,4.798,7.021,102.852,107667.200,110429.600,0.494,93.344,203591.229,7270.236,1.894,4.318,5.953,75.097,100434.825,103197.018,0.493,93.348,232509.571,8302.666,2.018,5.278,8.089,130.607,114899.575,117662.182,0.494
29,96.680,225044.800,7759.106,1.953,4.796,7.034,102.852,111159.800,113928.800,0.494,96.678,210785.791,7267.607,1.893,4.320,5.995,75.097,104054.736,106775.924,0.493,96.682,239303.809,8250.605,2.013,5.272,8.072,130.607,118264.864,121081.676,0.494
30,100.000,231871.800,7727.998,1.949,4.798,7.084,103.114,114560.000,117347.800,0.494,100.000,217506.247,7249.356,1.891,4.325,6.049,75.271,107414.858,110124.024,0.494,100.000,246237.353,8206.639,2.007,5.271,8.118,130.957,121705.142,124571.576,0.494
