time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,7296,7295.230,1.863679,5.042175,8.056831,114.622463,3693,3720,0.498179
2.002,6.674,14259,7121.740,2.131967,5.103615,8.003583,114.622463,6554,7734,0.458707
3.002,10.008,20366,6783.256,2.265087,5.275647,8.724479,114.622463,9072,11413,0.442861
4.004,13.347,42882,10709.554,0.000511,4.657151,8.372223,114.622463,28061,15035,0.651128
5.004,16.681,71688,14325.482,0.000511,4.288511,7.852031,114.622463,53068,18712,0.739315
6.004,20.015,98882,16468.349,0.000511,4.100095,7.757823,114.622463,76730,22269,0.775058
7.005,23.349,127252,18166.541,0.000511,3.991551,7.524351,114.622463,101554,25897,0.796808
8.005,26.683,154178,19260.164,0.000511,3.919871,7.454719,114.622463,124870,29415,0.809346
9.005,30.017,180263,20017.881,0.000511,3.852287,7.495679,114.622463,147586,32820,0.818077
10.005,33.351,210293,21018.394,0.000511,3.788799,7.262207,114.622463,173836,36729,0.825569
11.005,36.685,238853,21703.214,0.000511,3.727359,7.139327,114.622463,198619,40383,0.831035
12.006,40.018,266812,22224.095,0.000511,3.690495,7.045119,114.622463,222934,44069,0.834949
13.006,43.352,296368,22787.644,0.000511,3.641343,6.946815,114.622463,248512,47956,0.838242
14.006,46.686,327255,23365.784,0.000511,3.594239,6.819839,114.622463,275462,51932,0.841378
15.006,50.019,357510,23824.762,0.000511,3.559423,6.737919,114.622463,301751,55879,0.843752
16.006,53.353,387716,24223.316,0.000511,3.524607,6.692863,114.622463,328025,59835,0.845730
17.006,56.687,418184,24590.341,0.000511,3.481599,6.680575,114.622463,354697,63730,0.847691
18.006,60.020,448314,24897.898,0.000511,3.450879,6.664191,114.622463,380947,67592,0.849306
19.006,63.354,478462,25174.020,0.000511,3.416063,6.664191,114.622463,407157,71372,0.850851
20.006,66.688,507973,25390.656,0.000511,3.387391,6.647807,114.622463,432966,75251,0.851931
21.007,70.022,537587,25591.387,0.000511,3.366911,6.631423,114.622463,458570,79214,0.852703
22.007,73.358,567829,25801.739,0.000511,3.344383,6.598655,114.622463,484941,83206,0.853548
23.008,76.692,598701,26021.815,0.000511,3.317759,6.565887,114.622463,511702,87154,0.854466
24.008,80.026,630774,26273.735,0.000511,3.291135,6.512639,114.622463,539681,91221,0.855412
25.008,83.360,661458,26449.983,0.000511,3.272703,6.483967,114.622463,566352,95305,0.855960
26.008,86.693,692852,26639.951,0.000511,3.246079,6.471679,114.622463,593640,99340,0.856648
27.008,90.027,723008,26770.031,0.000511,3.225599,6.467583,114.622463,619946,103310,0.857160
28.008,93.361,750485,26795.194,0.000511,3.209215,6.500351,114.622463,643925,106782,0.857758
29.008,96.694,779840,26883.333,0.000511,3.196927,6.492159,114.622463,669316,110648,0.858137
30.008,100.000,809339,26970.426,0.000511,3.182591,6.488063,114.622463,694959,114512,0.858535
