time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,7494.600,7493.232,1.906,4.842,6.919,86.914,3733.400,3800.600,0.495,3.334,7179.121,7177.283,1.831,4.572,6.420,58.242,3544.864,3646.177,0.493,3.334,7810.079,7809.181,1.980,5.113,7.418,115.585,3921.936,3955.023,0.498
2,6.668,14392.600,7195.275,2.277,4.943,7.016,86.914,6613.800,7799.000,0.459,6.667,13585.665,6791.565,2.188,4.526,6.238,58.242,6325.575,7282.161,0.453,6.668,15199.535,7598.986,2.367,5.360,7.794,115.585,6902.025,8315.839,0.465
3,10.001,22418.400,7471.883,1.834,4.905,7.039,86.914,10667.000,11825.400,0.471,10.001,19324.901,6440.654,0.503,4.433,6.167,58.242,8277.838,11055.922,0.430,10.002,25511.899,8503.113,3.166,5.378,7.910,115.585,13056.162,12594.878,0.513
4,13.335,50012.200,12501.561,0.001,4.403,6.491,86.914,34253.800,15923.600,0.679,13.334,40931.740,10231.451,0.000,3.945,5.675,58.242,26282.429,14796.737,0.640,13.335,59092.660,14771.672,0.001,4.860,7.306,115.585,42225.171,17050.463,0.718
5,16.669,80921.000,16182.306,0.001,4.149,6.264,86.914,61132.400,19941.200,0.753,16.668,69087.835,13815.544,0.000,3.770,5.498,58.242,50868.734,18402.262,0.734,16.669,92754.165,18549.068,0.001,4.528,7.031,115.585,71396.066,21480.138,0.771
6,20.003,112407.200,18732.071,0.001,3.984,6.124,86.914,88559.200,23982.600,0.786,20.002,97207.368,16198.860,0.001,3.645,5.351,58.242,75256.402,22074.371,0.773,20.003,127607.032,21265.281,0.001,4.323,6.898,115.585,101861.998,25890.829,0.799
7,23.337,142237.600,20316.997,0.001,3.900,6.143,86.914,114545.800,27854.800,0.804,23.335,121411.080,17341.910,0.001,3.536,5.120,58.242,96458.322,25137.973,0.793,23.338,163064.120,23292.083,0.001,4.264,7.167,115.585,132633.278,30571.627,0.814
8,26.670,172700.200,21584.655,0.001,3.820,6.101,86.914,140995.400,31836.600,0.815,26.669,147959.397,18492.188,0.001,3.466,5.052,58.242,119460.116,28619.441,0.806,26.671,197441.003,24677.123,0.001,4.175,7.149,115.585,162530.684,35053.759,0.824
9,30.004,204142.600,22679.472,0.001,3.748,6.033,86.914,168333.200,35928.000,0.824,30.003,176370.301,19593.540,0.001,3.419,5.008,58.242,144159.365,32335.467,0.817,30.005,231914.899,25765.405,0.001,4.077,7.058,115.585,192507.035,39520.533,0.831
10,33.338,235379.200,23534.758,0.001,3.693,5.978,86.914,195519.000,39993.200,0.830,33.336,204927.887,20489.603,0.001,3.386,4.989,58.242,169041.154,36052.221,0.824,33.339,265830.513,26579.913,0.001,3.999,6.967,115.585,221996.846,43934.179,0.836
