time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.335,151414,151348.422,0.000511,0.000511,0.000511,794.296319,177956,1043,0.994173
2.000,6.668,2520080,1259736.901,0.000511,0.000511,0.000511,794.296319,2554782,1043,0.999592
3.001,10.002,5162819,1720606.986,0.000511,0.000511,0.000511,794.296319,5181099,1043,0.999799
4.001,13.336,7740554,1934819.159,0.000511,0.000511,0.000511,794.296319,7807805,1043,0.999866
5.001,16.669,10259128,2051523.333,0.000511,0.000511,0.000511,794.296319,10276991,1043,0.999899
6.001,20.003,12620553,2103143.245,0.000511,0.000511,0.000511,794.296319,12645716,1043,0.999918
7.001,23.337,15047328,2149306.943,0.000511,0.000511,0.000511,794.296319,15063654,1043,0.999931
8.001,26.670,17473443,2183881.084,0.000511,0.000511,0.000511,794.296319,17497651,1043,0.999940
9.001,30.004,20153302,2238965.743,0.000511,0.000511,0.000511,794.296319,20220291,1043,0.999948
10.002,33.340,22759010,2275469.346,0.000511,0.000511,0.000511,794.296319,22778167,1043,0.999954
11.003,36.676,25293897,2298829.518,0.000511,0.000511,0.000511,794.296319,25376310,1043,0.999959
12.003,40.010,27739364,2311029.211,0.000511,0.000511,0.000511,794.296319,27777762,1043,0.999962
13.003,43.344,30194938,2322133.257,0.000511,0.000511,0.000511,794.296319,30237210,1043,0.999966
14.003,46.677,32852029,2346041.806,0.000511,0.000511,0.000511,794.296319,32880592,1043,0.999968
15.003,50.011,35402585,2359661.351,0.000511,0.000511,0.000511,794.296319,35433536,1043,0.999971
16.003,53.344,37677448,2354350.963,0.000511,0.000511,0.000511,794.296319,37713403,1043,0.999972
17.003,56.678,40174461,2362731.610,0.000511,0.000511,0.000511,794.296319,40225855,1043,0.999974
18.003,60.012,42725326,2373172.187,0.000511,0.000511,0.000511,794.296319,42753941,1043,0.999976
19.004,63.345,45310207,2384302.298,0.000511,0.000511,0.000511,794.296319,45352651,1043,0.999977
20.004,66.679,47760419,2387588.865,0.000511,0.000511,0.000511,794.296319,47799632,1043,0.999978
21.004,70.013,50208818,2390437.208,0.000511,0.000511,0.000511,794.296319,50227241,1043,0.999979
22.004,73.348,52394187,2381087.675,0.000511,0.000511,0.000511,794.296319,52439593,1043,0.999980
23.004,76.681,54975835,2389793.093,0.000511,0.000511,0.000511,794.296319,55009944,1043,0.999981
24.005,80.016,57591604,2399161.654,0.000511,0.000511,0.000511,794.296319,57632287,1043,0.999982
25.005,83.350,60153260,2405652.111,0.000511,0.000511,0.000511,794.296319,60175751,1043,0.999983
26.012,86.708,62750420,2412340.028,0.000511,0.000511,0.000511,794.296319,62798356,1043,0.999983
27.014,90.045,65226668,2414595.185,0.000511,0.000511,0.000511,794.296319,65251760,1043,0.999984
28.014,93.379,67800293,2420266.055,0.000511,0.000511,0.000511,794.296319,67844199,1043,0.999985
29.014,96.712,70503659,2430017.818,0.000511,0.000511,0.000511,794.296319,70558424,1043,0.999985
30.014,100.000,73028774,2433179.295,0.000511,0.000511,0.000511,794.296319,73054270,1043,0.999986
