time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.337,1224390.600,1222968.750,0.001,0.001,0.001,389.009,1258126.600,1042.800,0.998,3.334,54314.697,54306.720,0.001,0.001,0.001,-35.681,96105.717,1040.412,0.997,3.340,2394466.503,2391630.780,0.001,0.001,0.001,813.699,2420147.483,1045.188,1.000
2,6.672,4110253.200,2053517.544,0.001,0.001,0.001,389.009,4128405.400,1042.800,1.000,6.668,2820913.488,1408952.810,0.001,0.001,0.001,-35.681,2824519.555,1040.412,1.000,6.677,5399592.912,2698082.278,0.001,0.001,0.001,813.699,5432291.245,1045.188,1.000
3,10.011,7013947.400,2335577.127,0.001,0.001,0.001,389.009,7074925.600,1042.800,1.000,9.999,5778291.661,1922678.524,0.001,0.001,0.001,-35.681,5825289.960,1040.412,1.000,10.022,8249603.139,2748475.730,0.001,0.001,0.001,813.699,8324561.240,1045.188,1.000
4,13.352,10043755.800,2507468.739,0.001,0.001,0.001,389.009,10086916.800,1042.800,1.000,13.336,8854390.363,2209099.538,0.001,0.001,0.001,-35.681,8896223.625,1040.412,1.000,13.369,11233121.237,2805837.941,0.001,0.001,0.001,813.699,11277609.975,1045.188,1.000
5,16.687,13026508.000,2602136.883,0.001,0.001,0.001,389.186,13039743.400,1042.800,1.000,16.672,11764433.315,2348748.110,0.001,0.001,0.001,-35.206,11784551.245,1040.412,1.000,16.702,14288582.685,2855525.657,0.001,0.001,0.001,813.577,14294935.555,1045.188,1.000
6,20.025,15999194.600,2663209.777,0.001,0.001,0.001,389.186,16039698.600,1042.800,1.000,20.013,14724280.815,2449979.245,0.001,0.001,0.001,-35.206,14758779.467,1040.412,1.000,20.037,17274108.385,2876440.309,0.001,0.001,0.001,813.577,17320617.733,1045.188,1.000
7,23.360,18871598.600,2692893.267,0.001,0.001,0.001,389.186,18914885.000,1042.800,1.000,23.346,17542976.184,2502349.752,0.001,0.001,0.001,-35.206,17592975.213,1040.412,1.000,23.374,20200221.016,2883436.782,0.001,0.001,0.001,813.577,20236794.787,1045.188,1.000
8,26.695,21828315.800,2725690.726,0.001,0.001,0.001,389.186,21868427.400,1042.800,1.000,26.680,20545086.220,2564467.508,0.001,0.001,0.001,-35.206,20588544.935,1040.412,1.000,26.709,23111545.380,2886913.945,0.001,0.001,0.001,813.577,23148309.865,1045.188,1.000
9,30.031,24777427.800,2750205.044,0.001,0.001,0.001,389.579,24806421.000,1042.800,1.000,30.018,23422249.907,2598908.570,0.001,0.001,0.001,-34.151,23441611.181,1040.412,1.000,30.045,26132605.693,2901501.518,0.001,0.001,0.001,813.309,26171230.819,1045.188,1.000
10,33.470,27493947.600,2738562.543,0.001,0.001,0.001,389.579,27556264.200,1042.800,1.000,33.278,25852942.467,2564031.766,0.001,0.001,0.001,-34.151,25918719.327,1040.412,1.000,33.661,29134952.733,2913093.321,0.001,0.001,0.001,813.309,29193809.073,1045.188,1.000
11,36.805,29916798.600,2710038.196,0.001,0.001,0.001,389.579,29975781.800,1042.800,1.000,36.615,27362390.398,2466887.263,0.001,0.001,0.001,-34.151,27404864.044,1040.412,1.000,36.995,32471206.802,2953189.128,0.001,0.001,0.001,813.309,32546699.556,1045.188,1.000
12,40.155,32393894.600,2689821.935,0.001,0.001,0.001,389.579,32455364.200,1042.800,1.000,39.930,28864364.878,2383720.998,0.001,0.001,0.001,-34.151,28947309.020,1040.412,1.000,40.381,35923424.322,2995922.871,0.001,0.001,0.001,813.309,35963419.380,1045.188,1.000
13,43.579,34582134.800,2645537.776,0.001,0.001,0.001,410.734,34623482.200,1042.800,1.000,43.321,30482669.636,2327275.343,0.001,0.001,0.001,19.748,30543346.564,1040.412,1.000,43.836,38681599.964,2963800.209,0.001,0.001,0.001,801.719,38703617.836,1045.188,1.000
14,46.927,36697061.600,2607108.662,0.001,0.001,0.001,414.627,36743207.400,1042.800,1.000,46.654,32024081.020,2268839.461,0.001,0.001,0.001,28.994,32069710.855,1040.412,1.000,47.201,41370042.180,2945377.863,0.001,0.001,0.001,800.259,41416703.945,1045.188,1.000
15,50.268,38543088.600,2556345.501,0.001,0.001,0.001,433.875,38599362.800,1042.800,1.000,49.992,33642274.040,2224155.562,0.001,0.001,0.001,83.159,33703085.395,1040.412,1.000,50.544,43443903.160,2888535.440,0.001,0.001,0.001,784.590,43495640.205,1045.188,1.000
16,53.605,40323436.400,2507927.233,0.001,0.001,0.001,433.979,40365739.400,1042.800,1.000,53.328,35051191.156,2173098.171,0.001,0.001,0.001,83.441,35090928.465,1040.412,1.000,53.883,45595681.644,2842756.294,0.001,0.001,0.001,784.518,45640550.335,1045.188,1.000
17,56.939,42118245.000,2466218.689,0.001,0.001,0.001,434.359,42153475.600,1042.800,1.000,56.661,36291494.452,2118027.094,0.001,0.001,0.001,84.463,36330029.112,1040.412,1.000,57.217,47944995.548,2814410.284,0.001,0.001,0.001,784.256,47976922.088,1045.188,1.000
18,60.276,43859753.200,2426039.628,0.001,0.001,0.001,436.221,43890483.600,1042.800,1.000,59.995,37380442.447,2060807.002,0.001,0.001,0.001,89.261,37405632.303,1040.412,1.000,60.557,50339063.953,2791272.255,0.001,0.001,0.001,783.180,50375334.897,1045.188,1.000
19,63.614,45673281.200,2393782.915,0.001,0.001,0.001,436.221,45724100.600,1042.800,1.000,63.330,38534567.385,2012839.727,0.001,0.001,0.001,89.261,38561787.974,1040.412,1.000,63.899,52811995.015,2774726.103,0.001,0.001,0.001,783.180,52886413.226,1045.188,1.000
20,66.951,47501072.200,2365502.731,0.001,0.001,0.001,436.221,47557211.400,1042.800,1.000,66.667,39684852.720,1969700.957,0.001,0.001,0.001,89.261,39742750.318,1040.412,1.000,67.235,55317291.680,2761304.505,0.001,0.001,0.001,783.180,55371672.482,1045.188,1.000
21,70.323,49252671.600,2334957.989,0.001,0.001,0.001,442.709,49328578.200,1042.800,1.000,70.069,40862623.456,1932779.600,0.001,0.001,0.001,106.550,40986866.152,1040.412,1.000,70.578,57642719.744,2737136.378,0.001,0.001,0.001,778.868,57670290.248,1045.188,1.000
22,73.660,50747046.000,2296808.669,0.001,0.001,0.001,442.709,50778241.000,1042.800,1.000,73.405,42268466.002,1909028.934,0.001,0.001,0.001,106.550,42292919.101,1040.412,1.000,73.915,59225625.998,2684588.405,0.001,0.001,0.001,778.868,59263562.899,1045.188,1.000
23,77.080,52174134.600,2256137.507,0.001,0.001,0.001,442.709,52283526.000,1042.800,1.000,76.806,43870030.952,1899256.731,0.001,0.001,0.001,106.550,43977639.917,1040.412,1.000,77.354,60478238.248,2613018.283,0.001,0.001,0.001,778.868,60589412.083,1045.188,1.000
24,80.425,53426374.000,2214233.996,0.001,0.001,0.001,442.709,53448292.200,1042.800,1.000,80.144,45435406.623,1884715.246,0.001,0.001,0.001,106.550,45441981.573,1040.412,1.000,80.707,61417341.377,2543752.746,0.001,0.001,0.001,778.868,61454602.827,1045.188,1.000
25,83.760,54891499.200,2184377.214,0.001,0.001,0.001,442.709,54921683.600,1042.800,1.000,83.480,46856841.548,1866203.650,0.001,0.001,0.001,106.550,46880679.300,1040.412,1.000,84.041,62926156.852,2502550.777,0.001,0.001,0.001,778.868,62962687.900,1045.188,1.000
26,87.179,56425955.800,2157069.807,0.001,0.001,0.001,442.709,56443203.800,1042.800,1.000,86.748,48467761.197,1859321.271,0.001,0.001,0.001,106.550,48483156.764,1040.412,1.000,87.610,64384150.403,2454818.342,0.001,0.001,0.001,778.868,64403250.836,1045.188,1.000
27,90.519,57918348.200,2132465.576,0.001,0.001,0.001,442.709,57972075.200,1042.800,1.000,90.093,49987203.734,1846364.329,0.001,0.001,0.001,106.550,50064801.899,1040.412,1.000,90.945,65849492.666,2418566.824,0.001,0.001,0.001,778.868,65879348.501,1045.188,1.000
28,93.854,59284207.400,2105208.583,0.001,0.001,0.001,451.543,59321407.200,1042.800,1.000,93.427,51293677.732,1827123.670,0.001,0.001,0.001,129.370,51341717.342,1040.412,1.000,94.281,67274737.068,2383293.497,0.001,0.001,0.001,773.716,67301097.058,1045.188,1.000
29,97.340,60680485.800,2077608.284,0.001,0.001,0.001,451.543,60734758.400,1042.800,1.000,96.701,52675346.338,1809144.886,0.001,0.001,0.001,129.370,52728589.987,1040.412,1.000,97.980,68685625.262,2346071.683,0.001,0.001,0.001,773.716,68740926.813,1045.188,1.000
30,100.000,61857258.000,2051111.251,0.001,0.001,0.001,533.398,61935686.750,1043.500,1.000,100.000,50033636.901,1666481.825,0.001,0.001,0.001,188.705,50074713.636,1041.446,1.000,100.000,73680879.099,2435740.677,0.001,0.001,0.001,878.090,73796659.864,1045.554,1.000
