time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.001,3.335,1623588,1622692.785,0.000511,0.000511,0.000511,27.901951,1683628,1010,0.999400
2.001,6.669,4080855,2039816.301,0.000511,0.000511,0.000511,27.901951,4113009,1010,0.999754
3.001,10.003,6259317,2085862.817,0.000511,0.000511,0.000511,27.901951,6273620,1010,0.999839
4.001,13.336,8438521,2109145.272,0.000511,0.000511,0.000511,27.901951,8450959,1010,0.999881
5.001,16.670,11022052,2203920.077,0.000511,0.000511,0.000511,27.901951,11031265,1010,0.999908
6.003,20.008,13677722,2278667.143,0.000511,0.000511,0.000511,27.901951,13702968,1010,0.999926
7.005,23.349,16463335,2350365.676,0.000511,0.000511,0.000511,27.901951,16478966,1010,0.999939
8.007,26.690,19105525,2386107.238,0.000511,0.000511,0.000511,27.901951,19136623,1010,0.999947
9.007,30.024,21697542,2408949.107,0.000511,0.000511,0.000511,27.901951,21740730,1010,0.999954
10.007,33.357,24447792,2443038.251,0.000511,0.000511,0.000511,27.901951,24484005,1010,0.999959
11.008,36.692,27106148,2462479.057,0.000511,0.000511,0.000511,27.901951,27150471,1010,0.999963
12.008,40.026,29749219,2477498.278,0.000511,0.000511,0.000511,27.901951,29784120,1010,0.999966
13.009,43.362,32305436,2483409.488,0.000511,0.000511,0.000511,27.901951,32356874,1010,0.999969
14.009,46.695,34458990,2459849.283,0.000511,0.000511,0.000511,27.901951,34482506,1010,0.999971
15.009,50.029,37015084,2466225.500,0.000511,0.000511,0.000511,27.901951,37047473,1010,0.999973
16.009,53.363,39779701,2484853.261,0.000511,0.000511,0.000511,27.901951,39833501,1010,0.999975
17.009,56.696,42526610,2500249.345,0.000511,0.000511,0.000511,27.901951,42543560,1010,0.999976
18.010,60.032,45060665,2502048.334,0.000511,0.000511,0.000511,27.901951,45082884,1010,0.999978
19.010,63.365,47856315,2517483.670,0.000511,0.000511,0.000511,27.901951,47924389,1010,0.999979
20.010,66.699,50560433,2526797.590,0.000511,0.000511,0.000511,27.901951,50580225,1010,0.999980
21.011,70.035,53194033,2531782.994,0.000511,0.000511,0.000511,27.901951,53231505,1010,0.999981
22.011,73.369,55817020,2535914.257,0.000511,0.000511,0.000511,27.901951,55837583,1010,0.999982
23.011,76.702,58430023,2539256.809,0.000511,0.000511,0.000511,27.901951,58496184,1010,0.999983
24.016,80.055,61095803,2543911.113,0.000511,0.000511,0.000511,27.901951,61147034,1010,0.999983
25.017,83.389,62687117,2505824.272,0.000511,0.000511,0.000511,123.535359,62709480,1010,0.999984
26.018,86.728,63966050,2458484.480,0.000511,0.000511,0.000511,127.926271,64004087,1010,0.999984
27.019,90.063,65223771,2414011.149,0.000511,0.000511,0.000511,135.004159,65233376,1010,0.999985
28.019,93.397,66384622,2369271.167,0.000511,0.000511,0.000511,135.004159,66402453,1010,0.999985
29.019,96.730,67655460,2331409.373,0.000511,0.000511,0.000511,135.004159,67664215,1010,0.999985
30.019,100.000,68987363,2298108.091,0.000511,0.000511,0.000511,135.004159,69019680,1010,0.999985
