time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.335,1753577.200,1752466.369,0.001,0.001,0.001,134.214,1787438.800,1007.800,0.999,3.333,940668.653,940468.260,0.001,0.001,0.001,-171.151,980502.463,1006.181,0.999,3.338,2566485.747,2564464.478,0.001,0.001,0.001,439.580,2594375.137,1009.419,1.000
2,6.675,4557119.000,2275832.300,0.001,0.001,0.001,134.214,4588930.800,1007.800,1.000,6.663,3759051.768,1875438.943,0.001,0.001,0.001,-171.151,3786902.679,1006.181,1.000,6.687,5355186.232,2676225.657,0.001,0.001,0.001,439.580,5390958.921,1009.419,1.000
3,10.012,7241986.200,2411238.275,0.001,0.001,0.001,134.414,7266434.000,1007.800,1.000,9.997,6416836.178,2136274.381,0.001,0.001,0.001,-170.804,6432307.962,1006.181,1.000,10.026,8067136.222,2686202.169,0.001,0.001,0.001,439.632,8100560.038,1009.419,1.000
4,13.351,10024752.800,2502766.196,0.001,0.001,0.001,134.414,10067180.400,1007.800,1.000,13.334,9159008.047,2287893.475,0.001,0.001,0.001,-170.804,9201009.118,1006.181,1.000,13.369,10890497.553,2717638.917,0.001,0.001,0.001,439.632,10933351.682,1009.419,1.000
5,16.686,12806277.400,2558236.191,0.001,0.001,0.001,134.414,12843540.800,1007.800,1.000,16.668,11770286.305,2352202.458,0.001,0.001,0.001,-170.804,11805829.209,1006.181,1.000,16.704,13842268.495,2764269.925,0.001,0.001,0.001,439.632,13881252.391,1009.419,1.000
6,20.020,15571409.800,2592625.658,0.001,0.001,0.001,134.837,15614955.000,1007.800,1.000,20.002,14329943.717,2386960.986,0.001,0.001,0.001,-170.072,14359927.285,1006.181,1.000,20.038,16812875.883,2798290.330,0.001,0.001,0.001,439.747,16869982.715,1009.419,1.000
7,23.360,18279729.600,2608368.337,0.001,0.001,0.001,134.837,18342171.800,1007.800,1.000,23.333,16704660.618,2384843.579,0.001,0.001,0.001,-170.072,16762613.549,1006.181,1.000,23.386,19854798.582,2831893.095,0.001,0.001,0.001,439.747,19921730.051,1009.419,1.000
8,26.695,20939152.800,2614580.681,0.001,0.001,0.001,134.837,20973397.800,1007.800,1.000,26.668,18944474.699,2366660.166,0.001,0.001,0.001,-170.072,18976211.329,1006.181,1.000,26.721,22933830.901,2862501.196,0.001,0.001,0.001,439.747,22970584.271,1009.419,1.000
9,30.031,23664224.800,2626641.019,0.001,0.001,0.001,135.024,23696004.600,1007.800,1.000,30.005,21490751.543,2386289.513,0.001,0.001,0.001,-169.751,21537737.133,1006.181,1.000,30.056,25837698.057,2866992.526,0.001,0.001,0.001,439.798,25854272.067,1009.419,1.000
10,33.371,26427111.600,2639705.800,0.001,0.001,0.001,135.024,26469420.800,1007.800,1.000,33.349,24057457.608,2403913.665,0.001,0.001,0.001,-169.751,24089636.202,1006.181,1.000,33.392,28796765.592,2875497.936,0.001,0.001,0.001,439.798,28849205.398,1009.419,1.000
11,36.709,29232004.000,2654359.973,0.001,0.001,0.001,135.024,29259190.200,1007.800,1.000,36.684,26861148.862,2440143.090,0.001,0.001,0.001,-169.751,26893409.424,1006.181,1.000,36.734,31602859.138,2868576.856,0.001,0.001,0.001,439.798,31624970.976,1009.419,1.000
12,40.046,32006607.800,2664103.853,0.001,0.001,0.001,135.024,32048160.800,1007.800,1.000,40.019,29603630.646,2465070.460,0.001,0.001,0.001,-169.751,29649429.720,1006.181,1.000,40.073,34409584.954,2863137.246,0.001,0.001,0.001,439.798,34446891.880,1009.419,1.000
13,43.384,34710035.000,2666859.419,0.001,0.001,0.001,135.024,34739863.200,1007.800,1.000,43.350,32261981.022,2479724.478,0.001,0.001,0.001,-169.751,32281620.939,1006.181,1.000,43.417,37158088.978,2853994.359,0.001,0.001,0.001,439.798,37198105.461,1009.419,1.000
14,46.720,37532270.000,2677791.800,0.001,0.001,0.001,135.024,37576340.000,1007.800,1.000,46.685,34974665.041,2496236.023,0.001,0.001,0.001,-169.751,35003125.564,1006.181,1.000,46.755,40089874.959,2859347.577,0.001,0.001,0.001,439.798,40149554.436,1009.419,1.000
15,50.060,40353497.200,2686992.782,0.001,0.001,0.001,135.024,40412233.200,1007.800,1.000,50.024,37694447.205,2511070.222,0.001,0.001,0.001,-169.751,37752703.723,1006.181,1.000,50.096,43012547.195,2862915.342,0.001,0.001,0.001,439.798,43071762.677,1009.419,1.000
16,53.395,43085257.400,2689689.085,0.001,0.001,0.001,135.024,43129476.600,1007.800,1.000,53.360,40351764.890,2520015.361,0.001,0.001,0.001,-169.751,40399954.235,1006.181,1.000,53.430,45818749.910,2859362.809,0.001,0.001,0.001,439.798,45858998.965,1009.419,1.000
17,56.730,45892925.000,2696531.704,0.001,0.001,0.001,135.024,45930163.000,1007.800,1.000,56.694,42885064.059,2520745.336,0.001,0.001,0.001,-169.751,42934675.303,1006.181,1.000,56.766,48900785.941,2872318.071,0.001,0.001,0.001,439.798,48925650.697,1009.419,1.000
18,60.067,48665958.000,2700598.311,0.001,0.001,0.001,135.024,48686281.800,1007.800,1.000,60.032,45620705.866,2532414.893,0.001,0.001,0.001,-169.751,45627979.210,1006.181,1.000,60.103,51711210.134,2868781.730,0.001,0.001,0.001,439.798,51744584.390,1009.419,1.000
19,63.404,51447733.200,2704747.209,0.001,0.001,0.001,135.024,51475590.800,1007.800,1.000,63.370,48361459.517,2543126.568,0.001,0.001,0.001,-169.751,48380294.798,1006.181,1.000,63.437,54534006.883,2866367.850,0.001,0.001,0.001,439.798,54570886.802,1009.419,1.000
20,66.744,54298862.800,2711801.252,0.001,0.001,0.001,135.024,54333991.200,1007.800,1.000,66.707,51158901.369,2555544.792,0.001,0.001,0.001,-169.751,51187167.557,1006.181,1.000,66.780,57438824.231,2868057.712,0.001,0.001,0.001,439.798,57480814.843,1009.419,1.000
21,70.078,57064592.000,2714305.026,0.001,0.001,0.001,135.024,57093701.400,1007.800,1.000,70.041,53807070.121,2559876.412,0.001,0.001,0.001,-169.751,53842339.784,1006.181,1.000,70.115,60322113.879,2868733.639,0.001,0.001,0.001,439.798,60345063.016,1009.419,1.000
22,73.412,59897131.600,2719656.771,0.001,0.001,0.001,135.024,59927453.000,1007.800,1.000,73.375,56498574.304,2565808.253,0.001,0.001,0.001,-169.751,56521009.489,1006.181,1.000,73.449,63295688.896,2873505.288,0.001,0.001,0.001,439.798,63333896.511,1009.419,1.000
23,76.750,62734196.200,2724605.090,0.001,0.001,0.001,135.024,62761111.600,1007.800,1.000,76.708,59271642.653,2574718.710,0.001,0.001,0.001,-169.751,59296774.365,1006.181,1.000,76.792,66196749.747,2874491.471,0.001,0.001,0.001,439.798,66225448.835,1009.419,1.000
24,80.092,65530415.400,2727290.477,0.001,0.001,0.001,135.024,65559098.600,1007.800,1.000,80.045,61982524.614,2580240.428,0.001,0.001,0.001,-169.751,62012189.050,1006.181,1.000,80.139,69078306.186,2874340.526,0.001,0.001,0.001,439.798,69106008.150,1009.419,1.000
25,83.425,68408034.600,2733288.934,0.001,0.001,0.001,135.024,68443403.600,1007.800,1.000,83.378,64800815.960,2589727.566,0.001,0.001,0.001,-169.751,64824763.664,1006.181,1.000,83.473,72015253.240,2876850.301,0.001,0.001,0.001,439.798,72062043.536,1009.419,1.000
26,86.764,71320214.600,2739986.816,0.001,0.001,0.001,135.024,71371537.600,1007.800,1.000,86.714,67583366.263,2597150.962,0.001,0.001,0.001,-169.751,67615519.723,1006.181,1.000,86.815,75057062.937,2882822.670,0.001,0.001,0.001,439.798,75127555.477,1009.419,1.000
27,90.100,74176924.600,2744212.769,0.001,0.001,0.001,135.024,74234216.400,1007.800,1.000,90.050,70364086.830,2603724.163,0.001,0.001,0.001,-169.751,70402694.388,1006.181,1.000,90.150,77989762.370,2884701.375,0.001,0.001,0.001,439.798,78065738.412,1009.419,1.000
28,93.435,77036821.200,2748301.535,0.001,0.001,0.001,135.024,77070108.400,1007.800,1.000,93.384,73086110.862,2607882.424,0.001,0.001,0.001,-169.751,73114152.356,1006.181,1.000,93.486,80987531.538,2888720.645,0.001,0.001,0.001,439.798,81026064.444,1009.419,1.000
29,96.770,79911938.000,2752627.385,0.001,0.001,0.001,135.024,79965486.400,1007.800,1.000,96.718,75825127.814,2612370.913,0.001,0.001,0.001,-169.751,75859199.556,1006.181,1.000,96.822,83998748.186,2892883.856,0.001,0.001,0.001,439.798,84071773.244,1009.419,1.000
30,100.000,82739818.200,2754947.816,0.001,0.001,0.001,135.024,82793924.200,1007.800,1.000,100.000,78642636.414,2619075.803,0.001,0.001,0.001,-169.751,78683703.596,1006.181,1.000,100.000,86836999.986,2890819.829,0.001,0.001,0.001,439.798,86904144.804,1009.419,1.000
