time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,7219,7217.908,1.941503,5.070847,7.077887,79.822847,3591,3648,0.496063
2.000,6.668,14573,7285.532,2.207743,5.029887,7.028735,79.822847,7002,7609,0.479228
3.000,10.001,24619,8205.351,0.002047,4.898815,6.635519,79.822847,12930,11784,0.523185
4.000,13.335,58732,14681.365,0.001535,4.349951,6.111231,79.822847,42965,15923,0.729605
5.001,16.668,91632,18324.471,0.001023,4.120575,6.434815,79.822847,72486,19275,0.789943
6.001,20.003,126697,21113.011,0.001023,3.934207,6.500351,79.822847,104141,22751,0.820706
7.001,23.337,162978,23279.267,0.001023,3.723263,6.426623,79.822847,136734,26449,0.837918
8.001,26.670,200319,25036.387,0.001023,3.516415,6.344703,79.822847,170269,30238,0.849192
9.001,30.004,235431,26155.192,0.001023,3.356671,6.369279,79.822847,201856,33704,0.856920
10.002,33.338,270640,27059.895,0.001023,3.211263,6.352895,79.822847,233433,37326,0.862143
11.003,36.677,307948,27987.494,0.001023,3.071999,6.303743,79.822847,266908,41124,0.866494
12.003,40.011,345040,28745.492,0.001023,2.965503,6.270975,79.822847,300279,44966,0.869756
13.003,43.345,380674,29274.810,0.001023,2.899967,6.275071,79.822847,332302,48557,0.872507
14.004,46.679,415082,29641.149,0.001023,2.863103,6.295551,79.822847,363186,52064,0.874620
15.004,50.012,453177,30204.357,0.001023,2.795519,6.275071,79.822847,397450,55851,0.876790
16.004,53.346,490318,30637.651,0.001023,2.746367,6.246399,79.822847,430852,59624,0.878436
17.004,56.680,524499,30845.597,0.001023,2.719743,6.270975,79.822847,461545,63095,0.879737
18.004,60.014,558415,31015.947,0.001023,2.695167,6.287359,79.822847,492051,66604,0.880778
19.005,63.348,594811,31298.415,0.001023,2.664447,6.279167,79.822847,524785,70244,0.881949
20.005,66.682,622190,31102.273,0.001023,2.650111,6.385663,79.822847,549444,72947,0.882796
21.005,70.016,647552,30828.749,0.001023,2.650111,6.508543,79.822847,572201,75616,0.883276
22.005,73.350,677909,30807.187,0.001023,2.637823,6.565887,79.822847,599395,78709,0.883928
23.005,76.683,701939,30512.450,0.001023,2.637823,6.713343,79.822847,620919,81168,0.884390
24.005,80.017,727388,30301.416,0.001023,2.635775,6.832127,79.822847,643739,83777,0.884845
25.005,83.351,755593,30217.431,0.001023,2.627583,6.926335,79.822847,669187,86602,0.885415
26.005,86.684,788071,30304.224,0.001023,2.617343,6.930431,79.822847,698302,89943,0.885895
27.005,90.018,820554,30384.724,0.001023,2.603007,6.930431,79.822847,727447,93295,0.886328
28.006,93.352,855703,30554.625,0.001023,2.586623,6.918143,79.822847,759059,96804,0.886893
29.006,96.686,892203,30759.491,0.001023,2.568191,6.881279,79.822847,792060,100486,0.887416
30.006,100.000,929670,30982.564,0.001023,2.547711,6.852607,79.822847,825665,104207,0.887934
