time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,7232.600,7231.298,1.928,5.022,7.343,88.460,3591.600,3663.400,0.495,3.334,6947.719,6946.359,1.824,4.740,6.896,78.295,3439.541,3534.929,0.493,3.334,7517.481,7516.237,2.033,5.304,7.790,98.626,3743.659,3791.871,0.497
2,6.668,14427.600,7212.169,2.173,5.089,7.338,88.460,6922.000,7532.600,0.479,6.667,13982.640,6988.314,2.114,4.857,7.067,78.295,6736.604,7275.166,0.477,6.670,14872.560,7436.024,2.231,5.321,7.608,98.626,7107.396,7790.034,0.481
3,10.002,22753.600,7583.075,0.934,5.086,7.316,88.460,11411.200,11426.200,0.497,10.000,20134.444,6708.834,-0.653,4.730,6.676,78.295,9281.534,10897.081,0.460,10.004,25372.756,8457.315,2.520,5.441,7.956,98.626,13540.866,11955.319,0.534
4,13.336,53244.600,13308.952,0.002,4.496,6.721,88.460,38072.600,15340.800,0.711,13.333,46363.705,11587.251,0.002,4.247,6.085,78.295,31969.506,14612.968,0.688,13.338,60125.495,15030.652,0.002,4.744,7.356,98.626,44175.694,16068.632,0.735
5,16.669,90444.600,18086.040,0.001,4.123,6.488,88.460,71462.600,19154.200,0.788,16.667,85202.511,17035.683,0.001,3.992,6.204,78.295,66776.971,18606.294,0.782,16.672,95686.689,19136.396,0.001,4.254,6.772,98.626,76148.229,19702.106,0.795
6,20.004,128272.400,21374.899,0.001,3.889,6.415,88.460,105566.400,22911.600,0.821,20.002,119265.280,19871.925,0.001,3.751,5.965,78.295,97449.282,21984.171,0.816,20.005,137279.520,22877.872,0.001,4.026,6.866,98.626,113683.518,23839.029,0.827
7,23.338,166911.800,23840.286,0.001,3.685,6.245,88.460,140252.000,26854.400,0.839,23.335,156415.497,22338.970,0.001,3.556,5.838,78.295,130877.419,25773.538,0.836,23.340,177408.103,25341.602,0.001,3.813,6.651,98.626,149626.581,27935.262,0.843
8,26.671,206013.200,25747.225,0.001,3.504,6.137,88.460,175424.600,30788.000,0.851,26.668,194403.397,24294.370,0.001,3.393,5.780,78.295,164988.368,29657.242,0.848,26.674,217623.003,27200.081,0.001,3.615,6.495,98.626,185860.832,31918.758,0.854
9,30.005,244462.800,27157.954,0.001,3.335,6.080,88.460,209976.600,34635.800,0.858,30.002,232590.753,25837.363,0.001,3.244,5.741,78.295,199306.518,33413.296,0.856,30.008,256334.847,28478.546,0.001,3.426,6.419,98.626,220646.682,35858.304,0.860
10,33.339,282847.400,28280.091,0.001,3.171,6.024,88.460,244427.200,38573.400,0.864,33.336,268968.864,26890.984,0.001,3.080,5.672,78.295,231943.106,37154.595,0.862,33.341,296725.936,29669.198,0.001,3.263,6.375,98.626,256911.294,39992.205,0.865
11,36.674,320246.800,29107.633,0.001,3.033,6.007,88.460,278037.600,42381.800,0.868,36.670,307033.054,27904.135,0.001,2.972,5.703,78.295,266132.415,41031.206,0.866,36.678,333460.546,30311.132,0.001,3.093,6.312,98.626,289942.785,43732.394,0.869
12,40.008,357554.200,29790.260,0.001,2.927,6.000,88.460,311596.200,46209.800,0.871,40.005,343665.181,28631.401,0.001,2.869,5.706,78.295,299043.089,44822.292,0.870,40.011,371443.219,30949.118,0.001,2.985,6.294,98.626,324149.311,47597.308,0.872
13,43.342,395248.000,30397.732,0.001,2.838,5.990,88.460,345423.000,50033.400,0.873,43.338,379809.775,29209.399,0.001,2.763,5.685,78.295,331525.199,48472.265,0.872,43.346,410686.225,31586.065,0.001,2.914,6.295,98.626,359320.801,51594.535,0.874
14,46.676,432044.800,30854.365,0.001,2.775,5.995,88.460,378522.400,53751.400,0.876,46.672,415257.426,29654.803,0.001,2.692,5.696,78.295,363380.002,52081.320,0.875,46.680,448832.174,32053.928,0.001,2.859,6.294,98.626,393664.798,55421.480,0.877
15,50.010,469073.800,31265.649,0.001,2.719,5.993,88.460,411780.200,57481.400,0.877,50.006,451111.163,30067.852,0.001,2.637,5.692,78.295,395603.938,55663.995,0.877,50.013,487036.437,32463.447,0.001,2.801,6.294,98.626,427956.462,59298.805,0.878
16,53.343,506428.200,31645.841,0.001,2.670,5.991,88.460,445402.800,61235.400,0.879,53.340,488478.686,30523.890,0.001,2.595,5.705,78.295,429225.671,59405.771,0.878,53.346,524377.714,32767.792,0.001,2.745,6.277,98.626,461579.929,63065.029,0.880
17,56.678,542184.200,31887.082,0.001,2.638,6.005,88.460,477439.400,64923.200,0.880,56.674,524926.232,30871.666,0.001,2.568,5.747,78.295,461889.796,63142.454,0.880,56.681,559442.168,32902.499,0.001,2.708,6.262,98.626,492989.004,66703.946,0.881
18,60.012,576938.400,32045.891,0.001,2.614,6.034,88.460,508704.200,68455.400,0.881,60.008,558488.222,31020.627,0.001,2.545,5.783,78.295,492123.352,66617.407,0.881,60.016,595388.578,33071.155,0.001,2.684,6.285,98.626,525285.048,70293.393,0.882
19,63.346,613747.600,32296.153,0.001,2.585,6.042,88.460,541828.000,72140.800,0.882,63.341,593543.803,31232.419,0.001,2.517,5.789,78.295,523611.862,70137.306,0.882,63.350,633951.397,33359.887,0.001,2.654,6.296,98.626,560044.138,74144.294,0.883
20,66.680,649168.000,32452.127,0.001,2.564,6.060,88.460,573626.000,75746.400,0.883,66.675,625105.928,31248.760,0.001,2.496,5.764,78.295,552053.402,73273.197,0.883,66.684,673230.072,33655.495,0.001,2.632,6.355,98.626,595198.598,78219.603,0.884
21,70.014,684051.000,32567.517,0.001,2.548,6.076,88.460,604918.000,79335.000,0.884,70.009,654411.724,31155.907,0.001,2.473,5.721,78.295,578356.417,76307.692,0.883,70.018,713690.276,33979.127,0.001,2.624,6.431,98.626,631479.583,82362.308,0.885
22,73.347,718666.000,32660.307,0.001,2.534,6.096,88.460,635991.400,82874.600,0.885,73.343,684861.513,31123.770,0.001,2.456,5.706,78.295,605613.063,79451.606,0.884,73.352,752470.487,34196.844,0.001,2.612,6.485,98.626,666369.737,86297.594,0.885
23,76.681,752645.800,32717.502,0.001,2.522,6.133,88.460,666517.600,86311.200,0.885,76.677,712251.791,30961.282,0.001,2.437,5.672,78.295,630196.901,82198.874,0.885,76.685,793039.809,34473.723,0.001,2.607,6.595,98.626,702838.299,90423.526,0.886
24,80.015,784048.800,32662.484,0.001,2.517,6.188,88.460,694651.000,89553.000,0.886,80.011,739320.441,30798.953,0.001,2.430,5.681,78.295,654479.849,84996.324,0.885,80.019,828777.159,34526.015,0.001,2.605,6.695,98.626,734822.151,94109.676,0.887
25,83.349,818046.600,32715.729,0.001,2.506,6.224,88.460,725288.200,93001.400,0.886,83.345,768094.323,30717.875,0.001,2.415,5.667,78.295,680381.562,87927.887,0.886,83.353,867998.877,34713.582,0.001,2.598,6.781,98.626,770194.838,98074.913,0.887
26,86.683,854005.800,32840.312,0.001,2.493,6.237,88.460,757592.200,96614.800,0.887,86.678,799602.223,30748.212,0.001,2.401,5.657,78.295,708646.799,91155.070,0.886,86.687,908409.377,34932.411,0.001,2.585,6.816,98.626,806537.601,102074.530,0.888
27,90.017,890796.800,32986.391,0.001,2.478,6.234,88.460,790688.600,100290.000,0.887,90.012,833889.688,30879.051,0.001,2.386,5.659,78.295,739447.991,94626.762,0.887,90.021,947703.912,35093.730,0.001,2.570,6.810,98.626,841929.209,105953.238,0.888
28,93.350,927410.600,33115.715,0.001,2.467,6.229,88.460,823644.400,103972.800,0.888,93.346,868528.419,31013.169,0.001,2.378,5.654,78.295,770637.503,98072.443,0.887,93.355,986292.781,35218.260,0.001,2.556,6.804,98.626,876651.297,109873.157,0.889
29,96.684,964042.000,33236.821,0.001,2.456,6.219,88.460,856568.400,107691.400,0.888,96.680,904476.740,31183.238,0.001,2.371,5.659,78.295,803053.151,101690.177,0.888,96.688,1023607.260,35290.404,0.001,2.540,6.778,98.626,910083.649,113692.623,0.889
30,100.000,1001067.800,33362.918,0.001,2.444,6.210,88.460,889776.600,111468.600,0.889,100.000,941320.353,31371.569,0.001,2.365,5.667,78.295,836083.210,105394.554,0.888,100.000,1060815.247,35354.268,0.001,2.523,6.752,98.626,943469.990,117542.646,0.889
