time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1477625,1477455.876,0.000511,0.000511,0.000511,15.310847,1477342,1047,0.999292
2.000,6.668,3285894,1642599.714,0.000511,0.000511,0.000511,15.310847,3312594,1047,0.999684
3.002,10.005,5090410,1695870.751,0.000511,0.000511,0.000511,20.004863,5107373,1047,0.999795
4.002,13.339,7049755,1761666.213,0.000511,0.000511,0.000511,20.004863,7092913,1047,0.999852
5.003,16.675,9186653,1836392.541,0.000511,0.000511,0.000511,20.004863,9200558,1047,0.999886
6.003,20.009,11145581,1856772.867,0.000511,0.000511,0.000511,20.004863,11156100,1047,0.999906
7.003,23.343,13186630,1883055.428,0.000511,0.000511,0.000511,20.004863,13198520,1047,0.999921
8.004,26.678,15101874,1886901.555,0.000511,0.000511,0.000511,20.004863,15117482,1047,0.999931
9.006,30.019,16949553,1882097.477,0.000511,0.000511,0.000511,20.004863,16972414,1047,0.999938
10.006,33.352,18576654,1856601.188,0.000511,0.000511,0.000511,20.004863,18578491,1047,0.999944
11.006,36.686,20402454,1853778.303,0.000511,0.000511,0.000511,20.004863,20427537,1047,0.999949
12.006,40.020,22271233,1855011.909,0.000511,0.000511,0.000511,20.004863,22280296,1047,0.999953
13.007,43.355,24004828,1845588.890,0.000511,0.000511,0.001023,20.004863,24022232,1047,0.999956
14.007,46.689,25751404,1838511.943,0.000511,0.000511,0.001023,20.004863,25758670,1047,0.999959
15.008,50.025,27577225,1837544.791,0.000511,0.000511,0.001023,20.004863,27595101,1047,0.999962
16.008,53.359,29303518,1830580.627,0.000511,0.000511,0.001023,20.152319,29328792,1047,0.999964
17.008,56.693,31199009,1834389.364,0.000511,0.000511,0.001023,21.987327,31211881,1047,0.999966
18.008,60.026,33173415,1842154.443,0.000511,0.000511,0.000511,21.987327,33181239,1047,0.999968
19.010,63.365,35132547,1848143.987,0.000511,0.000511,0.000511,21.987327,35139657,1047,0.999970
20.010,66.699,37056144,1851905.976,0.000511,0.000511,0.000511,21.987327,37058216,1047,0.999972
21.010,70.033,38969456,1854814.613,0.000511,0.000511,0.000511,21.987327,38987928,1047,0.999973
22.010,73.367,40505896,1840333.463,0.000511,0.000511,0.001023,21.987327,40514234,1047,0.999974
23.010,76.701,42081014,1828800.228,0.000511,0.000511,0.001023,21.987327,42095349,1047,0.999975
24.012,80.039,43744075,1821786.134,0.000511,0.000511,0.001023,21.987327,43760672,1047,0.999976
25.012,83.372,44611735,1783633.527,0.000511,0.000511,0.001023,125.698047,44616277,1047,0.999977
26.012,86.706,45509060,1749553.776,0.000511,0.000511,0.001023,127.139839,45515616,1047,0.999977
27.016,90.054,46426170,1718450.821,0.000511,0.000511,0.001023,130.613247,46441452,1047,0.999977
28.016,93.388,47343152,1689839.178,0.000511,0.000511,0.001023,130.613247,47364560,1047,0.999978
29.017,96.722,48234873,1662316.538,0.000511,0.000511,0.001023,132.120575,48236791,1047,0.999978
30.017,100.000,49139100,1637026.283,0.000511,0.000511,0.001023,132.120575,49157560,1047,0.999979
