time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.339,1450344.800,1448088.680,0.001,0.001,0.001,25.364,1456962.200,1043.800,0.999,3.335,1342334.053,1339801.789,0.001,0.001,0.000,3.838,1341245.259,1041.412,0.999,3.342,1558355.547,1556375.572,0.001,0.001,0.001,46.890,1572679.141,1046.188,0.999
2,6.672,3377786.400,1687426.365,0.001,0.001,0.001,26.683,3397784.400,1043.800,1.000,6.669,3186875.723,1591928.739,0.001,0.001,0.000,7.045,3210782.340,1041.412,1.000,6.676,3568697.077,1782923.992,0.001,0.001,0.001,46.321,3584786.460,1046.188,1.000
3,10.009,5281919.200,1759073.139,0.001,0.001,0.001,28.454,5288568.400,1043.800,1.000,10.004,4999385.508,1664609.386,0.001,0.001,0.000,10.761,5009424.000,1041.412,1.000,10.014,5564452.892,1853536.891,0.001,0.001,0.001,46.147,5567712.800,1046.188,1.000
4,13.348,7260968.800,1813249.746,0.001,0.001,0.001,28.454,7287202.600,1043.800,1.000,13.332,6943496.055,1732683.964,0.001,0.001,0.000,10.761,6985671.998,1041.412,1.000,13.364,7578441.545,1893815.529,0.001,0.001,0.001,46.147,7588733.202,1046.188,1.000
5,16.682,9289458.800,1856176.903,0.001,0.001,0.001,28.454,9297324.800,1043.800,1.000,16.666,8936653.634,1784378.936,0.001,0.001,0.000,10.761,8944053.915,1041.412,1.000,16.698,9642263.966,1927974.871,0.001,0.001,0.001,46.147,9650595.685,1046.188,1.000
6,20.017,11274847.200,1877569.359,0.001,0.001,0.001,28.454,11290175.000,1043.800,1.000,20.002,10914753.117,1816499.678,0.001,0.001,0.001,10.761,10928689.558,1041.412,1.000,20.033,11634941.283,1938639.041,0.001,0.001,0.001,46.147,11651660.442,1046.188,1.000
7,23.354,13273788.800,1894633.406,0.001,0.001,0.001,28.454,13288850.800,1043.800,1.000,23.336,12883290.132,1837774.217,0.001,0.001,0.001,10.761,12897371.109,1041.412,1.000,23.371,13664287.468,1951492.595,0.001,0.001,0.001,46.147,13680330.491,1046.188,1.000
8,26.689,15209141.000,1899539.301,0.001,0.001,0.001,28.454,15222149.800,1043.800,1.000,26.669,14719163.882,1837157.249,0.001,0.001,0.000,10.761,14726972.027,1041.412,1.000,26.710,15699118.118,1961921.353,0.001,0.001,0.001,46.147,15717327.573,1046.188,1.000
9,30.025,17146151.800,1903588.235,0.001,0.001,0.001,28.454,17163273.600,1043.800,1.000,30.006,16496114.770,1830372.690,0.001,0.001,0.000,10.761,16516284.010,1041.412,1.000,30.044,17796188.830,1976803.779,0.001,0.001,0.001,46.147,17810263.190,1046.188,1.000
10,33.359,19075969.600,1906130.938,0.001,0.001,0.001,28.454,19086744.000,1043.800,1.000,33.339,18346846.677,1832452.476,0.001,0.001,0.000,10.761,18344796.899,1041.412,1.000,33.379,19805092.523,1979809.400,0.001,0.001,0.001,46.147,19828691.101,1046.188,1.000
