time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.002,3.339,1345632,1343224.496,0.000511,0.000511,0.000511,77.987839,1366607,1011,0.999261
2.002,6.673,3369707,1683294.528,0.000511,0.000511,0.000511,77.987839,3396955,1011,0.999702
3.002,10.006,5343602,1780059.632,0.000511,0.000511,0.000511,77.987839,5358365,1011,0.999811
4.004,13.346,7339748,1833214.660,0.000511,0.000511,0.000511,77.987839,7346155,1011,0.999862
5.004,16.680,9281886,1854944.534,0.000511,0.000511,0.000511,77.987839,9305770,1011,0.999891
6.004,20.013,11284040,1879441.098,0.000511,0.000511,0.000511,77.987839,11290402,1011,0.999910
7.005,23.348,13191662,1883308.385,0.000511,0.000511,0.000511,77.987839,13207313,1011,0.999923
8.005,26.682,15168291,1894942.803,0.000511,0.000511,0.000511,77.987839,15192927,1011,0.999933
9.005,30.016,17040517,1892404.998,0.000511,0.000511,0.000511,77.987839,17054201,1011,0.999941
10.005,33.349,18946671,1893762.579,0.000511,0.000511,0.000511,77.987839,18951806,1011,0.999947
11.005,36.683,20809535,1890941.634,0.000511,0.000511,0.000511,77.987839,20817315,1011,0.999951
12.007,40.023,22747913,1894590.800,0.000511,0.000511,0.000511,77.987839,22756392,1011,0.999956
13.007,43.356,24527659,1885747.824,0.000511,0.000511,0.000511,77.987839,24541962,1011,0.999959
14.007,46.690,26349005,1881136.969,0.000511,0.000511,0.000511,77.987839,26368334,1011,0.999962
15.008,50.028,28254820,1882597.441,0.000511,0.000511,0.000511,77.987839,28259311,1011,0.999964
16.010,53.366,30143762,1882832.516,0.000511,0.000511,0.000511,77.987839,30157788,1011,0.999966
17.010,56.700,31885802,1874547.598,0.000511,0.000511,0.000511,77.987839,31900545,1011,0.999968
18.012,60.039,33897692,1881974.206,0.000511,0.000511,0.000511,77.987839,33902310,1011,0.999970
19.012,63.373,35745687,1880175.592,0.000511,0.000511,0.000511,77.987839,35759715,1011,0.999972
20.012,66.707,37493017,1873527.082,0.000511,0.000511,0.000511,77.987839,37512968,1011,0.999973
21.013,70.043,38921349,1852270.763,0.000511,0.000511,0.000511,77.987839,38928836,1011,0.999974
22.014,73.381,40776836,1852294.706,0.000511,0.000511,0.000511,77.987839,40794618,1011,0.999975
23.016,76.719,42655619,1853319.023,0.000511,0.000511,0.000511,77.987839,42670524,1011,0.999976
24.017,80.055,44391462,1848364.885,0.000511,0.000511,0.000511,77.987839,44402779,1011,0.999977
25.017,83.389,46190064,1846369.187,0.000511,0.000511,0.000511,77.987839,46201670,1011,0.999978
26.018,86.725,48129291,1849872.307,0.000511,0.000511,0.000511,77.987839,48147835,1011,0.999979
27.018,90.059,50000403,1850651.384,0.000511,0.000511,0.000511,77.987839,50002371,1011,0.999980
28.019,93.396,51301057,1830953.681,0.000511,0.000511,0.001023,77.987839,51316679,1011,0.999980
29.019,96.730,53331996,1837836.940,0.000511,0.000511,0.001023,77.987839,53349038,1011,0.999981
30.019,100.000,55258404,1840783.154,0.000511,0.000511,0.001023,77.987839,55273951,1011,0.999982
