time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,423,422.878,2.234367,2.754559,3.389439,14.270463,0,0,0.000000
2.001,6.669,810,404.863,2.322431,3.024895,3.883007,14.270463,0,0,0.000000
3.001,10.003,1231,410.218,2.297855,2.975743,3.883007,14.270463,0,0,0.000000
4.001,13.337,1660,414.900,2.273279,2.926591,3.839999,14.270463,0,0,0.000000
5.001,16.670,2103,420.506,2.234367,2.899967,3.706879,14.270463,0,0,0.000000
6.001,20.004,2545,424.080,2.207743,2.883583,3.702783,14.270463,0,0,0.000000
7.001,23.338,2989,426.918,2.197503,2.854911,3.653631,14.270463,0,0,0.000000
8.002,26.672,3384,422.920,2.211839,2.908159,3.702783,14.270463,0,0,0.000000
9.002,30.006,3744,415.922,2.236415,2.985983,3.966975,14.270463,0,0,0.000000
10.002,33.339,4058,405.725,2.273279,3.106815,4.276223,14.270463,0,0,0.000000
11.002,36.673,4423,402.018,2.295807,3.153919,4.251647,14.270463,0,0,0.000000
12.002,40.008,4856,404.589,2.283519,3.110911,4.202495,14.270463,0,0,0.000000
13.002,43.341,5312,408.539,2.265087,3.071999,4.128767,14.270463,0,0,0.000000
14.003,46.675,5741,409.995,2.258943,3.053567,4.120575,14.270463,0,0,0.000000
15.003,50.009,6150,409.923,2.258943,3.047423,4.112383,14.270463,0,0,0.000000
16.003,53.343,6540,408.674,2.260991,3.057663,4.198399,14.270463,0,0,0.000000
17.003,56.677,6923,407.159,2.271231,3.069951,4.218879,14.270463,0,0,0.000000
18.003,60.011,7296,405.259,2.277375,3.084287,4.304895,14.270463,0,0,0.000000
19.003,63.345,7713,405.875,2.279423,3.078143,4.251647,14.270463,0,0,0.000000
20.004,66.678,8091,404.479,2.285567,3.094527,4.317183,14.270463,0,0,0.000000
21.004,70.012,8490,404.215,2.285567,3.096575,4.321279,14.270463,0,0,0.000000
22.004,73.346,8900,404.475,2.285567,3.096575,4.304895,14.270463,0,0,0.000000
23.004,76.680,9253,402.234,2.293759,3.125247,4.386815,14.270463,0,0,0.000000
24.004,80.014,9674,403.013,2.291711,3.117055,4.362239,14.270463,0,0,0.000000
25.004,83.348,10126,404.969,2.279423,3.098623,4.349951,14.270463,0,0,0.000000
26.004,86.682,10580,406.853,2.267135,3.082239,4.337663,14.270463,0,0,0.000000
27.005,90.016,10990,406.966,2.271231,3.080191,4.329471,14.270463,0,0,0.000000
28.005,93.349,11315,404.038,2.277375,3.112959,4.509695,14.270463,0,0,0.000000
29.005,96.683,11695,403.208,2.281471,3.121151,4.534271,14.270463,0,0,0.000000
30.005,100.000,12025,400.766,2.287615,3.162111,4.648959,14.270463,0,0,0.000000
