time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,467.000,466.904,2.040,2.441,3.024,20.183,0.000,0.000,0.000,3.334,422.195,422.104,1.868,2.155,2.738,12.892,0.000,0.000,0.000,3.334,511.805,511.704,2.212,2.726,3.309,27.475,0.000,0.000,0.000
2,6.668,946.000,472.901,2.020,2.482,3.142,20.183,0.000,0.000,0.000,6.668,824.159,411.974,1.779,2.040,2.445,12.892,0.000,0.000,0.000,6.669,1067.841,533.829,2.260,2.924,3.838,27.475,0.000,0.000,0.000
3,10.002,1433.600,477.776,2.009,2.458,3.112,20.183,0.000,0.000,0.000,10.001,1248.011,415.902,1.771,2.026,2.415,12.892,0.000,0.000,0.000,10.003,1619.189,539.650,2.247,2.891,3.809,27.475,0.000,0.000,0.000
4,13.336,1911.800,477.865,2.008,2.477,3.164,20.183,0.000,0.000,0.000,13.335,1653.105,413.189,1.767,2.025,2.371,12.892,0.000,0.000,0.000,13.337,2170.495,542.542,2.248,2.929,3.957,27.475,0.000,0.000,0.000
5,16.670,2402.600,480.432,2.000,2.467,3.149,20.183,0.000,0.000,0.000,16.669,2082.151,416.334,1.769,2.029,2.442,12.892,0.000,0.000,0.000,16.670,2723.049,544.529,2.231,2.904,3.855,27.475,0.000,0.000,0.000
6,20.003,2866.200,477.617,2.003,2.495,3.385,20.183,0.000,0.000,0.000,20.003,2472.968,412.073,1.775,2.053,2.316,12.892,0.000,0.000,0.000,20.004,3259.432,543.162,2.231,2.937,4.454,27.475,0.000,0.000,0.000
7,23.337,3319.200,474.093,2.012,2.551,3.506,20.183,0.000,0.000,0.000,23.336,2826.009,403.633,1.774,2.021,2.194,12.892,0.000,0.000,0.000,23.338,3812.391,544.553,2.250,3.080,4.818,27.475,0.000,0.000,0.000
8,26.671,3784.000,472.922,2.019,2.558,3.492,20.183,0.000,0.000,0.000,26.670,3216.711,402.005,1.773,2.029,2.208,12.892,0.000,0.000,0.000,26.672,4351.289,543.839,2.265,3.087,4.776,27.475,0.000,0.000,0.000
9,30.005,4244.000,471.478,2.026,2.572,3.536,20.183,0.000,0.000,0.000,30.004,3586.040,398.366,1.770,2.019,2.217,12.892,0.000,0.000,0.000,30.006,4901.960,544.591,2.281,3.126,4.855,27.475,0.000,0.000,0.000
10,33.339,4696.200,469.544,2.031,2.593,3.583,20.183,0.000,0.000,0.000,33.338,3945.700,394.490,1.769,2.022,2.261,12.892,0.000,0.000,0.000,33.340,5446.700,544.598,2.294,3.164,4.905,27.475,0.000,0.000,0.000
11,36.673,5162.600,469.251,2.033,2.596,3.562,20.183,0.000,0.000,0.000,36.671,4348.439,395.235,1.770,2.026,2.293,12.892,0.000,0.000,0.000,36.674,5976.761,543.267,2.296,3.165,4.831,27.475,0.000,0.000,0.000
