time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,3952.000,3951.513,3.723,5.319,8.150,83.834,0.000,0.000,0.000,3.334,3664.968,3664.558,3.491,4.829,7.795,53.500,0.000,0.000,0.000,3.334,4239.032,4238.468,3.954,5.809,8.506,114.167,0.000,0.000,0.000
2,6.667,8221.600,4110.366,3.709,5.179,7.399,83.834,0.000,0.000,0.000,6.667,7675.283,3837.267,3.511,4.748,7.052,53.500,0.000,0.000,0.000,6.668,8767.917,4383.465,3.908,5.610,7.746,114.167,0.000,0.000,0.000
3,10.001,12422.400,4140.376,3.718,5.189,7.297,83.834,0.000,0.000,0.000,10.001,11623.476,3874.082,3.536,4.755,6.829,53.500,0.000,0.000,0.000,10.001,13221.324,4406.671,3.899,5.622,7.766,114.167,0.000,0.000,0.000
4,13.335,16669.800,4167.028,3.706,5.180,7.376,83.834,0.000,0.000,0.000,13.335,15519.663,3879.501,3.521,4.710,6.622,53.500,0.000,0.000,0.000,13.335,17819.937,4454.554,3.892,5.650,8.130,114.167,0.000,0.000,0.000
5,16.668,21023.800,4204.319,3.689,5.136,7.293,83.834,0.000,0.000,0.000,16.668,19613.513,3922.261,3.507,4.671,6.522,53.500,0.000,0.000,0.000,16.669,22434.087,4486.376,3.872,5.602,8.063,114.167,0.000,0.000,0.000
6,20.002,25209.000,4201.051,3.694,5.168,7.351,83.834,0.000,0.000,0.000,20.002,23612.708,3935.057,3.524,4.692,6.465,53.500,0.000,0.000,0.000,20.002,26805.292,4467.046,3.865,5.645,8.236,114.167,0.000,0.000,0.000
7,23.336,29381.400,4196.878,3.699,5.192,7.438,83.834,0.000,0.000,0.000,23.336,27403.430,3914.350,3.519,4.669,6.512,53.500,0.000,0.000,0.000,23.336,31359.370,4479.405,3.879,5.716,8.363,114.167,0.000,0.000,0.000
8,26.670,33594.800,4198.883,3.706,5.204,7.419,83.834,0.000,0.000,0.000,26.669,31214.962,3901.480,3.517,4.650,6.454,53.500,0.000,0.000,0.000,26.670,35974.638,4496.285,3.894,5.757,8.385,114.167,0.000,0.000,0.000
9,30.003,37867.800,4207.060,3.705,5.203,7.389,83.834,0.000,0.000,0.000,30.003,35241.479,3915.309,3.520,4.662,6.439,53.500,0.000,0.000,0.000,30.004,40494.121,4498.811,3.890,5.743,8.339,114.167,0.000,0.000,0.000
10,33.337,42003.200,4199.830,3.713,5.217,7.386,83.834,0.000,0.000,0.000,33.337,39215.134,3921.094,3.535,4.705,6.473,53.500,0.000,0.000,0.000,33.338,44791.266,4478.565,3.892,5.728,8.298,114.167,0.000,0.000,0.000
