time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1564,1563.764,2.519039,3.336191,4.329471,60.653567,0,0,0.000000
2.000,6.667,3193,1596.364,2.555903,3.319807,4.231167,60.653567,0,0,0.000000
3.000,10.001,4769,1589.526,2.586623,3.377151,4.235263,60.653567,0,0,0.000000
4.000,13.334,6415,1603.612,2.574335,3.356671,4.157439,60.653567,0,0,0.000000
5.000,16.668,8056,1611.066,2.574335,3.346431,4.155391,60.653567,0,0,0.000000
6.001,20.002,9747,1624.349,2.557951,3.315711,4.069375,60.653567,0,0,0.000000
7.001,23.335,11431,1632.852,2.551807,3.297279,4.052991,60.653567,0,0,0.000000
8.001,26.669,13129,1640.975,2.539519,3.287039,4.030463,60.653567,0,0,0.000000
9.001,30.003,14751,1638.848,2.545663,3.295231,4.059135,60.653567,0,0,0.000000
10.001,33.337,16367,1636.544,2.551807,3.299327,4.052991,60.653567,0,0,0.000000
11.001,36.670,18054,1641.118,2.547711,3.293183,4.036607,60.653567,0,0,0.000000
12.001,40.004,19736,1644.511,2.543615,3.282943,4.030463,60.653567,0,0,0.000000
13.001,43.338,21314,1639.377,2.549759,3.301375,4.069375,60.653567,0,0,0.000000
14.001,46.671,22967,1640.340,2.547711,3.301375,4.059135,60.653567,0,0,0.000000
15.001,50.005,24631,1641.908,2.547711,3.297279,4.052991,60.653567,0,0,0.000000
16.002,53.338,26306,1643.968,2.545663,3.293183,4.038655,60.653567,0,0,0.000000
17.002,56.672,27936,1643.139,2.547711,3.293183,4.038655,60.653567,0,0,0.000000
18.002,60.006,29564,1642.288,2.549759,3.297279,4.052991,60.653567,0,0,0.000000
19.002,63.340,31185,1641.153,2.549759,3.301375,4.055039,60.653567,0,0,0.000000
20.002,66.673,32821,1640.889,2.551807,3.301375,4.048895,60.653567,0,0,0.000000
21.002,70.007,34408,1638.315,2.555903,3.307519,4.055039,60.653567,0,0,0.000000
22.002,73.341,36005,1636.430,2.557951,3.311615,4.059135,60.653567,0,0,0.000000
23.002,76.674,37580,1633.754,2.562047,3.323903,4.098047,60.653567,0,0,0.000000
24.002,80.008,39191,1632.801,2.564095,3.325951,4.102143,60.653567,0,0,0.000000
25.002,83.341,40710,1628.242,2.568191,3.338239,4.157439,60.653567,0,0,0.000000
26.003,86.675,42343,1628.419,2.568191,3.336191,4.157439,60.653567,0,0,0.000000
27.003,90.009,43995,1629.288,2.566143,3.336191,4.165631,60.653567,0,0,0.000000
28.003,93.342,45575,1627.519,2.568191,3.342335,4.182015,60.653567,0,0,0.000000
29.003,96.676,47109,1624.289,2.570239,3.352575,4.210687,60.653567,0,0,0.000000
30.003,100.000,48679,1622.468,2.572287,3.356671,4.222975,60.653567,0,0,0.000000
