time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1473,1472.852,2.596863,3.604479,5.287935,57.638911,0,0,0.000000
2.000,6.667,3098,1548.840,2.578431,3.467263,4.890623,57.638911,0,0,0.000000
3.000,10.001,4722,1573.892,2.586623,3.403775,4.734975,57.638911,0,0,0.000000
4.000,13.334,6308,1576.886,2.584575,3.422207,4.751359,57.638911,0,0,0.000000
5.000,16.668,7906,1581.066,2.586623,3.416063,4.681727,57.638911,0,0,0.000000
6.001,20.002,9460,1576.523,2.596863,3.428351,4.685823,57.638911,0,0,0.000000
7.001,23.335,11182,1597.288,2.576383,3.381247,4.599807,57.638911,0,0,0.000000
8.001,26.669,12916,1614.357,2.553855,3.340287,4.509695,57.638911,0,0,0.000000
9.001,30.003,14621,1624.413,2.545663,3.313663,4.419583,57.638911,0,0,0.000000
10.001,33.336,16307,1630.558,2.541567,3.295231,4.366335,57.638911,0,0,0.000000
11.001,36.670,17971,1633.587,2.539519,3.284991,4.358143,57.638911,0,0,0.000000
12.001,40.004,19634,1636.020,2.539519,3.278847,4.308991,57.638911,0,0,0.000000
13.001,43.337,21239,1633.619,2.541567,3.287039,4.317183,57.638911,0,0,0.000000
14.001,46.671,22909,1636.213,2.539519,3.282943,4.292607,57.638911,0,0,0.000000
15.001,50.005,24605,1640.177,2.537471,3.274751,4.251647,57.638911,0,0,0.000000
16.002,53.338,26329,1645.407,2.533375,3.266559,4.214783,57.638911,0,0,0.000000
17.002,56.672,28018,1647.963,2.531327,3.262463,4.198399,57.638911,0,0,0.000000
18.002,60.006,29644,1646.734,2.533375,3.266559,4.214783,57.638911,0,0,0.000000
19.002,63.339,31201,1642.003,2.535423,3.282943,4.317183,57.638911,0,0,0.000000
20.002,66.673,32675,1633.595,2.543615,3.311615,4.395007,57.638911,0,0,0.000000
21.002,70.007,34355,1635.799,2.541567,3.305471,4.362239,57.638911,0,0,0.000000
22.002,73.340,36024,1637.302,2.539519,3.303423,4.358143,57.638911,0,0,0.000000
23.002,76.674,37703,1639.109,2.539519,3.295231,4.333567,57.638911,0,0,0.000000
24.002,80.007,39444,1643.348,2.533375,3.284991,4.317183,57.638911,0,0,0.000000
25.002,83.341,41173,1646.769,2.529279,3.274751,4.292607,57.638911,0,0,0.000000
26.002,86.675,42915,1650.426,2.525183,3.266559,4.263935,57.638911,0,0,0.000000
27.002,90.008,44638,1653.109,2.523135,3.260415,4.251647,57.638911,0,0,0.000000
28.003,93.342,46291,1653.101,2.523135,3.260415,4.239359,57.638911,0,0,0.000000
29.003,96.676,47914,1652.055,2.525183,3.262463,4.231167,57.638911,0,0,0.000000
30.003,100.000,49528,1650.782,2.527231,3.266559,4.231167,57.638911,0,0,0.000000
