time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.005,3.350,8506,8464.729,7.229439,10.854399,14.581759,26.034175,0,0,0.000000
2.005,6.683,17289,8623.675,6.946815,10.821631,15.982591,26.034175,0,0,0.000000
3.005,10.017,26214,8723.492,6.881279,10.682367,15.966207,26.034175,0,0,0.000000
4.005,13.350,35185,8784.981,6.807551,10.625023,16.769023,29.360127,0,0,0.000000
5.005,16.684,44423,8875.277,6.688767,10.567679,17.530879,32.784383,0,0,0.000000
6.005,20.018,53230,8863.672,6.680575,10.608639,18.268159,32.784383,0,0,0.000000
7.006,23.352,62371,8903.098,6.635519,10.600447,18.431999,32.784383,0,0,0.000000
8.006,26.686,70491,8804.933,6.619135,10.756095,19.038207,116.457471,0,0,0.000000
9.006,30.020,77648,8621.875,6.668287,11.132927,19.218431,116.457471,0,0,0.000000
10.006,33.353,85830,8577.843,6.668287,11.157503,19.316735,116.457471,0,0,0.000000
11.006,36.687,93101,8459.047,6.709247,11.419647,19.333119,118.751231,0,0,0.000000
12.006,40.021,100435,8365.278,6.762495,11.526143,19.349503,118.751231,0,0,0.000000
13.006,43.354,108084,8310.124,6.795263,11.567103,19.333119,118.751231,0,0,0.000000
14.006,46.688,115902,8274.943,6.803455,11.583487,19.398655,118.751231,0,0,0.000000
15.006,50.022,123338,8218.994,6.819839,11.681791,19.415039,118.751231,0,0,0.000000
16.007,53.355,131558,8219.014,6.828031,11.616255,19.447807,119.341055,0,0,0.000000
17.007,56.689,139785,8219.446,6.828031,11.558911,19.382271,119.341055,0,0,0.000000
18.007,60.022,148681,8256.985,6.803455,11.419647,19.316735,119.341055,0,0,0.000000
19.007,63.356,156519,8234.903,6.823935,11.386879,19.267583,119.341055,0,0,0.000000
20.007,66.690,165147,8254.484,6.807551,11.296767,19.202047,119.341055,0,0,0.000000
21.007,70.024,173221,8245.845,6.819839,11.255807,19.169279,119.341055,0,0,0.000000
22.007,73.357,181411,8243.265,6.811647,11.255807,19.169279,125.632511,0,0,0.000000
23.007,76.691,189379,8231.273,6.807551,11.272191,19.251199,125.632511,0,0,0.000000
24.007,80.025,197264,8216.809,6.807551,11.304959,19.251199,125.632511,0,0,0.000000
25.008,83.359,205425,8214.519,6.807551,11.288575,19.202047,125.632511,0,0,0.000000
26.008,86.692,213701,8216.852,6.807551,11.255807,19.136511,125.632511,0,0,0.000000
27.008,90.026,222077,8222.716,6.791167,11.239423,19.136511,125.632511,0,0,0.000000
28.008,93.360,230184,8218.549,6.787071,11.247615,19.365887,125.632511,0,0,0.000000
29.008,96.693,238458,8220.434,6.778879,11.255807,19.349503,125.632511,0,0,0.000000
30.008,100.000,247053,8232.895,6.758399,11.239423,19.382271,125.632511,0,0,0.000000
