time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.337,8788.400,8778.963,6.552,9.757,14.808,459.532,0.000,0.000,0.000,3.328,8259.703,8241.603,5.910,8.618,11.490,-404.503,0.000,0.000,0.000,3.346,9317.097,9316.322,7.194,10.896,18.126,1323.567,0.000,0.000,0.000
2,6.671,17762.000,8875.825,6.608,9.925,14.872,459.532,0.000,0.000,0.000,6.662,17008.699,8494.145,6.132,9.118,13.122,-404.503,0.000,0.000,0.000,6.679,18515.301,9257.506,7.085,10.733,16.622,1323.567,0.000,0.000,0.000
3,10.005,26972.800,8986.936,6.594,9.917,15.352,459.532,0.000,0.000,0.000,9.996,25967.467,8647.954,6.207,9.352,12.944,-404.503,0.000,0.000,0.000,10.013,27978.133,9325.919,6.980,10.483,17.760,1323.567,0.000,0.000,0.000
4,13.338,36254.800,9060.443,6.570,9.916,15.548,460.197,0.000,0.000,0.000,13.330,35122.646,8773.713,6.208,9.363,13.092,-403.197,0.000,0.000,0.000,13.346,37386.954,9347.173,6.932,10.468,18.005,1323.591,0.000,0.000,0.000
5,16.672,45332.200,9063.605,6.577,10.020,15.686,460.882,0.000,0.000,0.000,16.664,44126.835,8820.171,6.245,9.549,13.260,-401.856,0.000,0.000,0.000,16.680,46537.565,9307.038,6.908,10.492,18.112,1323.620,0.000,0.000,0.000
6,20.005,54603.000,9097.986,6.554,10.037,15.843,461.783,0.000,0.000,0.000,19.997,53085.568,8842.721,6.247,9.550,13.420,-400.073,0.000,0.000,0.000,20.014,56120.432,9353.252,6.860,10.523,18.267,1323.639,0.000,0.000,0.000
7,23.340,63862.600,9120.846,6.527,10.068,16.243,462.966,0.000,0.000,0.000,23.331,62084.171,8865.003,6.218,9.575,14.112,-397.742,0.000,0.000,0.000,23.348,65641.029,9376.689,6.835,10.561,18.375,1323.674,0.000,0.000,0.000
8,26.673,72967.800,9118.700,6.495,10.152,16.581,479.779,0.000,0.000,0.000,26.665,70431.091,8799.695,6.185,9.630,14.632,-365.858,0.000,0.000,0.000,26.682,75504.509,9437.705,6.806,10.674,18.529,1325.416,0.000,0.000,0.000
9,30.007,81858.800,9093.324,6.491,10.245,16.700,480.071,0.000,0.000,0.000,29.998,78293.398,8695.167,6.185,9.568,14.700,-365.268,0.000,0.000,0.000,30.016,85424.202,9491.481,6.797,10.922,18.700,1325.410,0.000,0.000,0.000
10,33.341,91056.000,9103.596,6.474,10.247,16.862,480.071,0.000,0.000,0.000,33.332,86834.365,8679.600,6.178,9.576,14.746,-365.268,0.000,0.000,0.000,33.349,95277.635,9527.591,6.770,10.917,18.979,1325.410,0.000,0.000,0.000
