time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,2658.800,2658.351,2.895,3.863,5.507,71.795,0.000,0.000,0.000,3.334,2449.394,2448.995,2.725,3.572,5.010,57.247,0.000,0.000,0.000,3.334,2868.206,2867.707,3.066,4.153,6.005,86.342,0.000,0.000,0.000
2,6.668,5562.200,2780.740,2.855,3.794,5.351,71.795,0.000,0.000,0.000,6.667,5084.877,2542.137,2.678,3.461,4.207,57.247,0.000,0.000,0.000,6.668,6039.523,3019.343,3.033,4.127,6.495,86.342,0.000,0.000,0.000
3,10.001,8486.600,2828.522,2.839,3.763,5.083,71.795,0.000,0.000,0.000,10.001,7868.088,2622.431,2.685,3.486,4.520,57.247,0.000,0.000,0.000,10.002,9105.112,3034.613,2.993,4.041,5.646,86.342,0.000,0.000,0.000
4,13.335,11375.600,2843.523,2.844,3.764,5.004,71.795,0.000,0.000,0.000,13.335,10493.492,2623.063,2.677,3.445,4.437,57.247,0.000,0.000,0.000,13.336,12257.708,3063.983,3.010,4.083,5.572,86.342,0.000,0.000,0.000
5,16.669,14265.000,2852.644,2.843,3.766,5.018,71.795,0.000,0.000,0.000,16.668,13200.176,2639.747,2.684,3.449,4.448,57.247,0.000,0.000,0.000,16.669,15329.824,3065.541,3.002,4.084,5.587,86.342,0.000,0.000,0.000
6,20.002,17207.000,2867.456,2.834,3.748,4.991,71.795,0.000,0.000,0.000,20.001,15981.573,2663.287,2.679,3.458,4.514,57.247,0.000,0.000,0.000,20.004,18432.427,3071.625,2.989,4.038,5.468,86.342,0.000,0.000,0.000
7,23.336,20109.800,2872.453,2.838,3.742,4.962,71.795,0.000,0.000,0.000,23.336,18669.023,2666.683,2.680,3.448,4.520,57.247,0.000,0.000,0.000,23.337,21550.577,3078.224,2.996,4.036,5.404,86.342,0.000,0.000,0.000
8,26.670,22941.000,2867.249,2.842,3.756,5.002,71.795,0.000,0.000,0.000,26.670,21325.253,2665.337,2.683,3.468,4.545,57.247,0.000,0.000,0.000,26.671,24556.747,3069.161,3.002,4.045,5.459,86.342,0.000,0.000,0.000
9,30.004,25799.600,2866.247,2.844,3.759,5.027,71.795,0.000,0.000,0.000,30.004,24051.116,2672.005,2.686,3.490,4.622,57.247,0.000,0.000,0.000,30.005,27548.084,3060.488,3.002,4.029,5.433,86.342,0.000,0.000,0.000
10,33.337,28747.600,2874.388,2.838,3.750,5.028,71.795,0.000,0.000,0.000,33.337,26817.402,2681.393,2.679,3.484,4.686,57.247,0.000,0.000,0.000,33.338,30677.798,3067.382,2.997,4.016,5.370,86.342,0.000,0.000,0.000
11,36.671,31602.800,2872.607,2.841,3.757,5.049,71.795,0.000,0.000,0.000,36.671,29499.097,2681.402,2.682,3.491,4.731,57.247,0.000,0.000,0.000,36.672,33706.503,3063.812,3.000,4.024,5.367,86.342,0.000,0.000,0.000
12,40.005,34556.000,2879.275,2.838,3.748,5.014,71.795,0.000,0.000,0.000,40.005,32288.455,2690.349,2.679,3.484,4.695,57.247,0.000,0.000,0.000,40.006,36823.545,3068.201,2.996,4.011,5.333,86.342,0.000,0.000,0.000
13,43.339,37506.600,2884.739,2.836,3.742,4.990,71.795,0.000,0.000,0.000,43.338,35030.732,2694.325,2.677,3.479,4.679,57.247,0.000,0.000,0.000,43.339,39982.468,3075.154,2.996,4.005,5.301,86.342,0.000,0.000,0.000
14,46.673,40396.600,2885.088,2.838,3.744,4.981,71.795,0.000,0.000,0.000,46.672,37691.165,2691.883,2.674,3.477,4.656,57.247,0.000,0.000,0.000,46.674,43102.035,3078.293,3.002,4.012,5.305,86.342,0.000,0.000,0.000
15,50.007,43227.000,2881.399,2.841,3.752,5.000,71.795,0.000,0.000,0.000,50.006,40417.571,2694.160,2.678,3.494,4.682,57.247,0.000,0.000,0.000,50.009,46036.429,3068.639,3.003,4.011,5.319,86.342,0.000,0.000,0.000
16,53.341,46064.400,2878.630,2.843,3.760,5.003,71.795,0.000,0.000,0.000,53.339,43027.419,2688.876,2.678,3.495,4.665,57.247,0.000,0.000,0.000,53.342,49101.381,3068.383,3.009,4.024,5.340,86.342,0.000,0.000,0.000
17,56.674,48910.200,2876.681,2.845,3.764,5.042,71.795,0.000,0.000,0.000,56.673,45755.579,2691.173,2.679,3.507,4.780,57.247,0.000,0.000,0.000,56.676,52064.821,3062.190,3.011,4.020,5.305,86.342,0.000,0.000,0.000
18,60.008,51739.600,2874.037,2.846,3.771,5.063,71.795,0.000,0.000,0.000,60.006,48379.502,2687.427,2.679,3.511,4.793,57.247,0.000,0.000,0.000,60.010,55099.698,3060.646,3.013,4.030,5.334,86.342,0.000,0.000,0.000
19,63.342,54606.600,2873.634,2.848,3.772,5.064,71.795,0.000,0.000,0.000,63.341,51029.446,2685.428,2.678,3.510,4.783,57.247,0.000,0.000,0.000,63.344,58183.754,3061.840,3.017,4.035,5.345,86.342,0.000,0.000,0.000
20,66.676,57458.200,2872.517,2.848,3.778,5.095,71.795,0.000,0.000,0.000,66.674,53664.544,2682.895,2.675,3.509,4.769,57.247,0.000,0.000,0.000,66.677,61251.856,3062.138,3.020,4.047,5.422,86.342,0.000,0.000,0.000
21,70.010,60328.600,2872.386,2.848,3.779,5.104,71.795,0.000,0.000,0.000,70.008,56342.118,2682.627,2.674,3.511,4.763,57.247,0.000,0.000,0.000,70.011,64315.082,3062.145,3.022,4.048,5.446,86.342,0.000,0.000,0.000
22,73.343,63207.200,2872.654,2.848,3.782,5.110,71.795,0.000,0.000,0.000,73.342,58945.283,2678.995,2.671,3.504,4.747,57.247,0.000,0.000,0.000,73.345,67469.117,3066.313,3.025,4.060,5.474,86.342,0.000,0.000,0.000
23,76.678,66031.000,2870.500,2.848,3.789,5.145,71.795,0.000,0.000,0.000,76.676,61477.460,2672.594,2.668,3.499,4.728,57.247,0.000,0.000,0.000,76.679,70584.540,3068.406,3.028,4.078,5.562,86.342,0.000,0.000,0.000
24,80.012,68838.400,2867.854,2.848,3.795,5.182,71.795,0.000,0.000,0.000,80.010,64014.329,2666.925,2.664,3.496,4.725,57.247,0.000,0.000,0.000,80.013,73662.471,3068.782,3.031,4.095,5.639,86.342,0.000,0.000,0.000
25,83.345,71337.800,2853.106,2.848,3.804,5.236,86.396,0.000,0.000,0.000,83.343,66417.547,2656.364,2.660,3.495,4.754,55.464,0.000,0.000,0.000,83.347,76258.053,3049.847,3.036,4.112,5.719,117.328,0.000,0.000,0.000
26,86.679,73796.200,2837.907,2.850,3.813,5.282,86.501,0.000,0.000,0.000,86.678,68691.796,2641.639,2.659,3.497,4.769,55.291,0.000,0.000,0.000,86.680,78900.604,3034.174,3.041,4.130,5.795,117.710,0.000,0.000,0.000
27,90.013,76320.600,2826.284,2.852,3.817,5.300,86.501,0.000,0.000,0.000,90.011,70978.379,2628.471,2.658,3.498,4.777,55.291,0.000,0.000,0.000,90.014,81662.821,3024.098,3.047,4.136,5.823,117.710,0.000,0.000,0.000
28,93.346,78766.800,2812.701,2.855,3.826,5.339,86.553,0.000,0.000,0.000,93.345,73017.781,2607.425,2.658,3.499,4.788,55.205,0.000,0.000,0.000,93.348,84515.819,3017.978,3.052,4.154,5.889,117.902,0.000,0.000,0.000
29,96.680,81257.400,2801.584,2.858,3.833,5.364,86.553,0.000,0.000,0.000,96.679,75018.098,2586.482,2.658,3.494,4.788,55.205,0.000,0.000,0.000,96.681,87496.702,3016.686,3.057,4.172,5.940,117.902,0.000,0.000,0.000
30,100.000,83778.400,2792.220,2.858,3.838,5.372,86.881,0.000,0.000,0.000,100.000,76970.834,2565.348,2.656,3.488,4.784,54.664,0.000,0.000,0.000,100.000,90585.966,3019.091,3.060,4.188,5.961,119.098,0.000,0.000,0.000
