time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2426,2425.660,5.824511,10.305535,63.602687,225.312767,1362,1518,0.472917
2.000,6.668,5048,2523.555,5.562367,9.871359,63.602687,225.312767,2752,2881,0.488550
3.000,10.001,7863,2620.633,5.431295,9.977855,57.475071,225.312767,4145,4296,0.491056
4.000,13.335,10685,2670.924,5.414911,9.977855,26.492927,236.322815,5464,5679,0.490353
5.001,16.669,13034,2606.488,5.652479,10.043391,26.492927,236.322815,6414,7052,0.476311
6.001,20.002,15072,2511.725,5.976063,10.051583,30.277631,236.322815,7035,8262,0.459894
7.001,23.336,16896,2413.467,6.258687,10.158079,55.410687,236.322815,7626,9650,0.441422
8.001,26.669,18907,2363.132,6.467583,10.231807,33.308671,236.322815,8158,11044,0.424852
9.001,30.003,20884,2320.186,6.488063,10.190847,58.916863,236.322815,9088,12325,0.424415
10.001,33.337,23811,2380.840,6.406143,10.190847,26.492927,236.322815,10401,13622,0.432960
11.001,36.671,26416,2401.171,6.340607,10.207231,26.132479,236.322815,11846,15084,0.439881
12.001,40.005,29064,2421.726,6.283263,10.158079,31.096831,236.322815,13217,16419,0.445978
13.001,43.338,31606,2430.966,6.176767,10.100735,31.948799,236.322815,14406,17559,0.450680
14.002,46.672,34610,2471.873,6.111231,10.076159,26.066943,236.322815,16013,19161,0.455251
15.002,50.005,37399,2492.994,6.041599,10.035199,24.805375,236.322815,17278,20489,0.457489
16.002,53.339,39996,2499.487,6.004735,10.035199,24.330239,236.322815,18647,21893,0.459965
17.002,56.672,42882,2522.212,5.967871,10.035199,22.790143,426.508287,20081,23346,0.462408
18.002,60.006,45730,2540.285,5.935103,10.043391,20.840447,426.508287,21512,24757,0.464933
19.002,63.340,48404,2547.309,5.935103,10.100735,22.134783,426.508287,22854,26151,0.466361
20.002,66.674,51369,2568.184,5.894143,10.108927,21.200895,426.508287,24322,27615,0.468298
21.002,70.007,54256,2583.351,5.849087,10.067967,21.413887,426.508287,25760,29068,0.469833
22.002,73.341,57263,2602.598,5.808127,10.059775,21.430271,426.508287,27288,30491,0.472282
23.002,76.675,60105,2612.985,5.779455,10.035199,21.053439,426.508287,28634,31832,0.473555
24.003,80.008,62596,2607.893,5.767167,10.059775,21.430271,426.508287,29846,33112,0.474062
25.003,83.342,65180,2606.927,5.746687,10.076159,23.330815,438.304767,31172,34347,0.475770
26.003,86.676,67686,2603.039,5.730303,10.084351,24.133631,438.304767,32447,35614,0.476734
27.003,90.009,70347,2605.183,5.709823,10.084351,23.887871,438.304767,33751,36917,0.477599
28.003,93.343,73079,2609.707,5.697535,10.084351,23.363583,438.304767,35133,38326,0.478267
29.003,96.676,75826,2614.435,5.685247,10.084351,22.888447,438.304767,36600,39779,0.479189
30.003,100.000,78376,2612.278,5.685247,10.100735,22.872063,438.304767,37801,41032,0.479507
