time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,2249,2248.866,10.436607,15.802367,21.561343,28.852223,1096,1175,0.482607
2.000,6.667,4423,2211.330,9.887743,16.588799,23.543807,28.852223,2193,2250,0.493585
3.000,10.001,6638,2212.483,9.781247,16.556031,24.166399,28.852223,3293,3365,0.494593
4.000,13.334,9005,2251.055,9.388031,16.277503,23.871487,28.852223,4492,4532,0.497784
5.001,16.668,11053,2210.365,9.887743,16.654335,24.182783,28.852223,5464,5605,0.493631
6.001,20.002,13049,2174.603,10.330111,16.875519,24.199167,29.687807,6351,6714,0.486108
7.001,23.336,14853,2121.647,10.592255,17.317887,24.199167,29.687807,7081,7790,0.476162
8.001,26.669,16705,2087.928,10.805247,17.334271,24.248319,29.687807,7853,8914,0.468360
9.001,30.003,18494,2054.704,10.919935,17.580031,24.248319,29.687807,8551,9990,0.461194
10.001,33.336,20965,2096.317,10.723327,17.498111,24.199167,29.687807,9925,11089,0.472304
11.001,36.670,27164,2469.245,0.001023,16.383999,23.838719,29.687807,15049,12210,0.552075
12.001,40.003,35162,2929.924,0.001023,15.474687,23.691263,33.521663,21968,13321,0.622517
13.001,43.337,44942,3456.797,0.000511,14.680063,23.445503,33.521663,30575,14431,0.679354
14.001,46.670,54725,3908.618,0.000511,14.286847,23.265279,33.521663,39352,15486,0.717605
15.001,50.004,65217,4347.421,0.000511,13.926399,23.003135,33.521663,48861,16601,0.746402
16.002,53.338,76505,4781.113,0.000511,13.631487,22.790143,33.521663,58942,17709,0.768966
17.002,56.672,85906,5052.779,0.000511,13.524991,22.806527,35.782655,67405,18694,0.782878
18.002,60.006,94866,5269.808,0.000511,13.475839,22.790143,35.782655,75392,19609,0.793592
19.002,63.340,106593,5609.610,0.000511,13.246463,22.560767,35.782655,85969,20760,0.805489
20.002,66.673,118243,5911.584,0.000511,13.058047,22.462463,35.782655,96491,21877,0.815178
21.002,70.007,129117,6147.851,0.000511,12.918783,22.364159,35.782655,106319,23006,0.822107
22.002,73.340,140910,6404.408,0.000511,12.771327,22.216703,35.782655,117029,24167,0.828841
23.002,76.674,151244,6575.205,0.000511,12.664831,22.167551,56.229887,126109,25247,0.833195
24.002,80.007,162136,6755.034,0.000511,12.574719,22.102015,56.229887,135906,26345,0.837628
25.002,83.341,172012,6879.838,0.000511,12.517375,22.167551,56.229887,144834,27393,0.840948
26.002,86.675,182943,7035.611,0.000511,12.451839,22.118399,56.229887,154581,28464,0.844497
27.002,90.008,193340,7160.079,0.000511,12.394495,22.102015,56.229887,163921,29546,0.847281
28.003,93.342,204312,7296.149,0.000511,12.337151,22.036479,56.229887,173881,30618,0.850278
29.003,96.676,214457,7394.361,0.000511,12.296191,22.052863,56.229887,183051,31598,0.852792
30.003,100.000,224598,7485.892,0.000511,12.247039,22.085631,56.229887,192103,32671,0.854650
